     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.513880e+01   5.686186e+00   1.812461e+06   1.014874e+06  -1.303000e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.452100e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.439661e-01   1.522178e+01   5.581940e+00   1.786622e+06   1.059484e+06  -1.303177e+06  -3.254865e+11   5.448539e+11  -3.269815e+09   2.452100e+06   3.107290e-19   0.000000e+00   0.000000e+00
       16000   1.599900e-07   3.858496e-01   1.530826e+01   5.477672e+00   1.760412e+06   1.102038e+06  -1.303556e+06  -3.295445e+11   5.187181e+11  -6.513655e+09   2.452100e+06   2.913616e-19   0.000000e+00   0.000000e+00
       24000   2.399900e-07   5.256242e-01   1.539806e+01   5.373363e+00   1.733910e+06   1.142512e+06  -1.304231e+06  -3.328132e+11   4.930083e+11  -1.058371e+10   2.452100e+06   2.730205e-19   0.000000e+00   0.000000e+00
       32000   3.199900e-07   6.632701e-01   1.549101e+01   5.268985e+00   1.707210e+06   1.180884e+06  -1.305275e+06  -3.347522e+11   4.668269e+11  -1.549635e+10   2.452100e+06   2.547331e-19   0.000000e+00   0.000000e+00
       40000   3.999900e-07   7.987739e-01   1.558694e+01   5.164507e+00   1.680369e+06   1.217191e+06  -1.306753e+06  -3.360793e+11   4.408060e+11  -2.157640e+10   2.452100e+06   2.373755e-19   0.000000e+00   0.000000e+00
       48000   4.799900e-07   9.321268e-01   1.568570e+01   5.059892e+00   1.653446e+06   1.251474e+06  -1.308711e+06  -3.367077e+11   4.155496e+11  -2.802857e+10   2.452100e+06   2.212647e-19   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.063325e+00   1.578712e+01   4.955099e+00   1.626524e+06   1.283724e+06  -1.311209e+06  -3.360876e+11   3.901779e+11  -3.491178e+10   2.452100e+06   2.055079e-19   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.192373e+00   1.589104e+01   4.850082e+00   1.599679e+06   1.313908e+06  -1.314333e+06  -3.347878e+11   3.644425e+11  -4.314851e+10   2.452100e+06   1.903505e-19   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.319279e+00   1.599729e+01   4.744788e+00   1.573006e+06   1.341992e+06  -1.318145e+06  -3.321066e+11   3.381354e+11  -5.206785e+10   2.452101e+06   1.753689e-19   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.444060e+00   1.610571e+01   4.639159e+00   1.546573e+06   1.367996e+06  -1.322685e+06  -3.287208e+11   3.122258e+11  -6.144269e+10   2.452101e+06   1.614655e-19   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.566738e+00   1.621612e+01   4.533138e+00   1.520432e+06   1.391955e+06  -1.327986e+06  -3.247035e+11   2.867362e+11  -7.121140e+10   2.452101e+06   1.486632e-19   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.687339e+00   1.632836e+01   4.426660e+00   1.494650e+06   1.413866e+06  -1.334093e+06  -3.198626e+11   2.612359e+11  -8.150244e+10   2.452101e+06   1.366896e-19   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.805894e+00   1.644228e+01   4.319660e+00   1.469302e+06   1.433716e+06  -1.341047e+06  -3.136923e+11   2.350527e+11  -9.239920e+10   2.452101e+06   1.251122e-19   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.922441e+00   1.655770e+01   4.212069e+00   1.444491e+06   1.451459e+06  -1.348893e+06  -3.064576e+11   2.085600e+11  -1.037595e+11   2.452101e+06   1.143044e-19   0.000000e+00   0.000000e+00
      120000   1.199990e-06   2.037028e+00   1.667446e+01   4.103813e+00   1.420281e+06   1.467097e+06  -1.357654e+06  -2.987009e+11   1.824698e+11  -1.153016e+11   2.452101e+06   1.047641e-19   0.000000e+00   0.000000e+00
      128000   1.279990e-06   2.149703e+00   1.679238e+01   3.994820e+00   1.396710e+06   1.480676e+06  -1.367332e+06  -2.903174e+11   1.568758e+11  -1.266762e+11   2.452101e+06   9.637835e-20   0.000000e+00   0.000000e+00
      136000   1.359990e-06   2.260521e+00   1.691131e+01   3.885015e+00   1.373858e+06   1.492173e+06  -1.377944e+06  -2.806464e+11   1.305228e+11  -1.384723e+11   2.452101e+06   8.868925e-20   0.000000e+00   0.000000e+00
      144000   1.439990e-06   2.369543e+00   1.703107e+01   3.774323e+00   1.351827e+06   1.501533e+06  -1.389518e+06  -2.699008e+11   1.033561e+11  -1.508923e+11   2.452101e+06   8.199675e-20   0.000000e+00   0.000000e+00
      152000   1.519990e-06   2.476837e+00   1.715150e+01   3.662666e+00   1.330679e+06   1.508733e+06  -1.402075e+06  -2.586757e+11   7.654766e+10  -1.631335e+11   2.452101e+06   7.666461e-20   0.000000e+00   0.000000e+00
      160000   1.599990e-06   2.582476e+00   1.727241e+01   3.549965e+00   1.310450e+06   1.513809e+06  -1.415592e+06  -2.468726e+11   5.024621e+10  -1.748046e+11   2.452101e+06   7.253156e-20   0.000000e+00   0.000000e+00
      168000   1.679990e-06   2.686536e+00   1.739365e+01   3.436146e+00   1.291213e+06   1.516748e+06  -1.430050e+06  -2.339145e+11   2.337438e+10  -1.864140e+11   2.452101e+06   6.943443e-20   0.000000e+00   0.000000e+00
      176000   1.759990e-06   2.789098e+00   1.751504e+01   3.321132e+00   1.273036e+06   1.517521e+06  -1.445444e+06  -2.203029e+11  -3.831633e+09  -1.980491e+11   2.452101e+06   6.770553e-20   0.000000e+00   0.000000e+00
      184000   1.839990e-06   2.890251e+00   1.763640e+01   3.204851e+00   1.255988e+06   1.516104e+06  -1.461752e+06  -2.056181e+11  -3.202628e+10  -2.098919e+11   2.452101e+06   6.738724e-20   0.000000e+00   0.000000e+00
      192000   1.919990e-06   2.990088e+00   1.775755e+01   3.087228e+00   1.240133e+06   1.512450e+06  -1.478973e+06  -1.907444e+11  -5.915914e+10  -2.204399e+11   2.452101e+06   6.824945e-20   0.000000e+00   0.000000e+00
      200000   1.999990e-06   3.088706e+00   1.787833e+01   2.968193e+00   1.225522e+06   1.506579e+06  -1.497035e+06  -1.746417e+11  -8.732020e+10  -2.308448e+11   2.452101e+06   7.051470e-20   0.000000e+00   0.000000e+00
      208000   2.079990e-06   3.186206e+00   1.799855e+01   2.847680e+00   1.212198e+06   1.498464e+06  -1.515909e+06  -1.581432e+11  -1.157998e+11  -2.409271e+11   2.452101e+06   7.441068e-20   0.000000e+00   0.000000e+00
      216000   2.159990e-06   3.282693e+00   1.811802e+01   2.725627e+00   1.200217e+06   1.488070e+06  -1.535554e+06  -1.408255e+11  -1.449854e+11  -2.505743e+11   2.452101e+06   7.994532e-20   0.000000e+00   0.000000e+00
      224000   2.239990e-06   3.378279e+00   1.823657e+01   2.601971e+00   1.189656e+06   1.475312e+06  -1.555947e+06  -1.229882e+11  -1.742652e+11  -2.592700e+11   2.452101e+06   8.694572e-20   0.000000e+00   0.000000e+00
      232000   2.319990e-06   3.473076e+00   1.835401e+01   2.476658e+00   1.180532e+06   1.460207e+06  -1.577003e+06  -1.049436e+11  -2.036653e+11  -2.671422e+11   2.452101e+06   9.554052e-20   0.000000e+00   0.000000e+00
      240000   2.399990e-06   3.567203e+00   1.847014e+01   2.349635e+00   1.172884e+06   1.442729e+06  -1.598648e+06  -8.607648e+10  -2.334950e+11  -2.738748e+11   2.452101e+06   1.056291e-19   0.000000e+00   0.000000e+00
      248000   2.479990e-06   3.660778e+00   1.858478e+01   2.220860e+00   1.166742e+06   1.422843e+06  -1.620811e+06  -6.728959e+10  -2.638106e+11  -2.800278e+11   2.452101e+06   1.176647e-19   0.000000e+00   0.000000e+00
