     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.029129e+01   2.097450e+01   1.246065e+03  -1.044861e+04   1.470544e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.002838e-01   1.029029e+01   2.098624e+01   5.943316e+03  -1.423975e+04   1.466207e+05   6.207468e+10  -4.160452e+10  -6.556451e+09   1.474304e+05   4.358132e-25   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.009637e-01   1.028903e+01   2.099795e+01   1.112100e+04  -1.708505e+04   1.460142e+05   6.700671e+10  -2.943886e+10  -8.547745e+09   1.474304e+05   4.205110e-25   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.020715e-01   1.028758e+01   2.100960e+01   1.661346e+04  -1.894210e+04   1.452615e+05   6.997425e+10  -1.702394e+10  -1.022246e+10   1.474304e+05   4.097529e-25   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.036260e-01   1.028603e+01   2.102119e+01   2.226124e+04  -1.980882e+04   1.443876e+05   7.087738e+10  -4.669793e+09  -1.156796e+10   1.474304e+05   4.011190e-25   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.056331e-01   1.028444e+01   2.103270e+01   2.790037e+04  -1.969772e+04   1.434200e+05   6.977728e+10   7.363917e+09  -1.256246e+10   1.474304e+05   3.935046e-25   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.080857e-01   1.028290e+01   2.104413e+01   3.337587e+04  -1.864778e+04   1.423870e+05   6.681428e+10   1.875017e+10  -1.320546e+10   1.474305e+05   3.864715e-25   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.109651e-01   1.028148e+01   2.105548e+01   3.854587e+04  -1.672247e+04   1.413164e+05   6.217450e+10   2.920484e+10  -1.350264e+10   1.474305e+05   3.795643e-25   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.142416e-01   1.028025e+01   2.106675e+01   4.328492e+04  -1.400609e+04   1.402355e+05   5.608007e+10   3.849190e+10  -1.346487e+10   1.474305e+05   3.723610e-25   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.178763e-01   1.027926e+01   2.107792e+01   4.748642e+04  -1.059979e+04   1.391705e+05   4.877891e+10   4.642644e+10  -1.310751e+10   1.474305e+05   3.645158e-25   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.218227e-01   1.027857e+01   2.108901e+01   5.106432e+04  -6.617439e+03   1.381463e+05   4.053482e+10   5.287561e+10  -1.245010e+10   1.474305e+05   3.557879e-25   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.260282e-01   1.027821e+01   2.110003e+01   5.395388e+04  -2.181266e+03   1.371859e+05   3.114841e+10   5.882129e+10  -1.131477e+10   1.474305e+05   3.530219e-25   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.304342e-01   1.027823e+01   2.111097e+01   5.606852e+04   2.668093e+03   1.363267e+05   2.166664e+10   6.214445e+10  -1.012699e+10   1.474305e+05   3.433984e-25   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.349787e-01   1.027864e+01   2.112184e+01   5.741553e+04   7.719154e+03   1.355715e+05   1.199996e+10   6.386706e+10  -8.718209e+09   1.474305e+05   3.329491e-25   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.396000e-01   1.027947e+01   2.113266e+01   5.799006e+04   1.284513e+04   1.349367e+05   2.394303e+09   6.402702e+10  -7.123631e+09   1.474306e+05   3.218688e-25   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.442369e-01   1.028070e+01   2.114343e+01   5.780625e+04   1.792375e+04   1.344357e+05  -6.922357e+09   6.269851e+10  -5.382478e+09   1.474306e+05   3.104109e-25   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.488297e-01   1.028233e+01   2.115417e+01   5.689560e+04   2.283997e+04   1.340783e+05  -1.574447e+10   5.998714e+10  -3.537296e+09   1.474306e+05   2.988607e-25   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.533220e-01   1.028434e+01   2.116489e+01   5.530506e+04   2.748828e+04   1.338713e+05  -2.389232e+10   5.602466e+10  -1.633047e+09   1.474306e+05   2.875080e-25   0.000000e+00   0.000000e+00
      144000   1.439990e-06   1.576619e-01   1.028672e+01   2.117560e+01   5.309480e+04   3.177456e+04   1.338174e+05  -3.121441e+10   5.096367e+10   2.840448e+08   1.474306e+05   2.766222e-25   0.000000e+00   0.000000e+00
      152000   1.519990e-06   1.618026e-01   1.028942e+01   2.118631e+01   5.033598e+04   3.561759e+04   1.339159e+05  -3.758883e+10   4.497224e+10   2.167796e+09   1.474306e+05   2.664305e-25   0.000000e+00   0.000000e+00
      160000   1.599990e-06   1.657032e-01   1.029240e+01   2.119703e+01   4.710827e+04   3.895000e+04   1.341622e+05  -4.292382e+10   3.822876e+10   3.973475e+09   1.474306e+05   2.571026e-25   0.000000e+00   0.000000e+00
      168000   1.679990e-06   1.693274e-01   1.029564e+01   2.120778e+01   4.341670e+04   4.183100e+04   1.345398e+05  -4.868911e+10   3.279115e+10   5.517094e+09   1.474306e+05   2.692343e-25   0.000000e+00   0.000000e+00
      176000   1.759990e-06   1.726409e-01   1.029908e+01   2.121856e+01   3.937579e+04   4.413970e+04   1.350445e+05  -5.213665e+10   2.486606e+10   7.074520e+09   1.474306e+05   2.622851e-25   0.000000e+00   0.000000e+00
      184000   1.839990e-06   1.756214e-01   1.030268e+01   2.122939e+01   3.510464e+04   4.580128e+04   1.356676e+05  -5.442766e+10   1.665134e+10   8.462180e+09   1.474306e+05   2.564490e-25   0.000000e+00   0.000000e+00
      192000   1.919990e-06   1.782541e-01   1.030639e+01   2.124027e+01   3.069951e+04   4.680171e+04   1.363926e+05  -5.550575e+10   8.360210e+09   9.624858e+09   1.474307e+05   2.511959e-25   0.000000e+00   0.000000e+00
      200000   1.999990e-06   1.805322e-01   1.031015e+01   2.125121e+01   2.625438e+04   4.714106e+04   1.372014e+05  -5.543458e+10   1.521262e+08   1.055573e+10   1.474307e+05   2.466280e-25   0.000000e+00   0.000000e+00
      208000   2.079990e-06   1.824562e-01   1.031392e+01   2.126222e+01   2.185923e+04   4.683254e+04   1.380749e+05  -5.426711e+10  -7.810167e+09   1.124055e+10   1.474307e+05   2.425874e-25   0.000000e+00   0.000000e+00
      216000   2.159990e-06   1.840333e-01   1.031763e+01   2.127330e+01   1.759897e+04   4.590189e+04   1.389932e+05  -5.207594e+10  -1.537793e+10   1.167244e+10   1.474307e+05   2.388980e-25   0.000000e+00   0.000000e+00
      224000   2.239990e-06   1.852777e-01   1.032124e+01   2.128446e+01   1.355204e+04   4.438607e+04   1.399358e+05  -4.895040e+10  -2.241869e+10   1.185176e+10   1.474307e+05   2.353798e-25   0.000000e+00   0.000000e+00
      232000   2.319990e-06   1.862092e-01   1.032472e+01   2.129569e+01   9.789123e+03   4.233195e+04   1.408829e+05  -4.499355e+10  -2.881803e+10   1.178568e+10   1.474307e+05   2.318635e-25   0.000000e+00   0.000000e+00
      240000   2.399990e-06   1.868514e-01   1.032801e+01   2.130700e+01   6.298897e+03   3.988458e+04   1.417934e+05  -4.187639e+10  -3.275737e+10   1.107470e+10   1.474307e+05   2.284191e-25   0.000000e+00   0.000000e+00
      248000   2.479990e-06   1.872266e-01   1.033109e+01   2.131838e+01   3.147830e+03   3.705149e+04   1.426643e+05  -3.680089e+10  -3.793524e+10   1.066440e+10   1.474307e+05   2.251501e-25   0.000000e+00   0.000000e+00
      256000   2.559990e-06   1.873665e-01   1.033393e+01   2.132983e+01   4.251798e+02   3.383717e+04   1.434945e+05  -3.118659e+10  -4.227858e+10   1.006224e+10   1.474307e+05   2.216041e-25   0.000000e+00   0.000000e+00
      264000   2.639990e-06   1.873070e-01   1.033649e+01   2.134134e+01  -1.830927e+03   3.031043e+04   1.442697e+05  -2.515836e+10  -4.573950e+10   9.290576e+09   1.474307e+05   2.177340e-25   0.000000e+00   0.000000e+00
      272000   2.719990e-06   1.870867e-01   1.033877e+01   2.135291e+01  -3.592426e+03   2.654313e+04   1.449772e+05  -1.884244e+10  -4.828948e+10   8.374363e+09   1.474307e+05   2.135272e-25   0.000000e+00   0.000000e+00
      280000   2.799990e-06   1.867459e-01   1.034074e+01   2.136453e+01  -4.841319e+03   2.260865e+04   1.456064e+05  -1.236387e+10  -4.991885e+10   7.340112e+09   1.474307e+05   2.090038e-25   0.000000e+00   0.000000e+00
      288000   2.879990e-06   1.863260e-01   1.034238e+01   2.137620e+01  -5.569487e+03   1.858044e+04   1.461492e+05  -5.844156e+09  -5.063581e+10   6.214975e+09   1.474308e+05   2.042123e-25   0.000000e+00   0.000000e+00
      296000   2.959990e-06   1.858687e-01   1.034371e+01   2.138791e+01  -5.778317e+03   1.453060e+04   1.465991e+05   6.008858e+08  -5.046520e+10   5.025867e+09   1.474308e+05   1.992240e-25   0.000000e+00   0.000000e+00
      304000   3.039990e-06   1.854151e-01   1.034471e+01   2.139966e+01  -5.478168e+03   1.052863e+04   1.469523e+05   6.863008e+09  -4.944699e+10   3.798723e+09   1.474308e+05   1.941263e-25   0.000000e+00   0.000000e+00
