       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.27960773e-04   5.54396379e-05  -1.83308181e-03  -2.21685740e-17   4.94425405e-18  -1.39797373e-18
  8.00000000e-08   1.29317824e-04   5.59865580e-05  -1.82761636e-03  -2.21546941e-17   4.58381205e-18  -1.42719502e-18
  1.60000000e-07   1.30621424e-04   5.65100295e-05  -1.82215210e-03  -2.21358524e-17   4.22644503e-18  -1.45574018e-18
  2.40000000e-07   1.31871611e-04   5.70100767e-05  -1.81668878e-03  -2.21121345e-17   3.87221881e-18  -1.48358229e-18
  3.20000000e-07   1.33068434e-04   5.74867291e-05  -1.81122616e-03  -2.20836261e-17   3.52119725e-18  -1.51069562e-18
  4.00000000e-07   1.34411545e-04   5.80308034e-05  -1.80568605e-03  -2.20476213e-17   3.16938801e-18  -1.53932225e-18
  4.80000000e-07   1.35596736e-04   5.85107510e-05  -1.80012728e-03  -2.20074929e-17   2.82286906e-18  -1.56598705e-18
  5.60000000e-07   1.36727246e-04   5.89668498e-05  -1.79456868e-03  -2.19628137e-17   2.47982588e-18  -1.59185188e-18
  6.40000000e-07   1.37803168e-04   5.93991505e-05  -1.78901000e-03  -2.19136728e-17   2.14031447e-18  -1.61689464e-18
  7.20000000e-07   1.38824605e-04   5.98077085e-05  -1.78345103e-03  -2.18601596e-17   1.80438888e-18  -1.64109449e-18
  8.00000000e-07   1.39791674e-04   6.01925839e-05  -1.77789153e-03  -2.18023632e-17   1.47210125e-18  -1.66443184e-18
  8.80000000e-07   1.40704500e-04   6.05538414e-05  -1.77233130e-03  -2.17403733e-17   1.14350180e-18  -1.68688829e-18
  9.60000000e-07   1.41563220e-04   6.08915503e-05  -1.76677011e-03  -2.16742791e-17   8.18638859e-19  -1.70844669e-18
  1.04000000e-06   1.42367982e-04   6.12057843e-05  -1.76120775e-03  -2.16041702e-17   4.97558878e-19  -1.72909109e-18
  1.12000000e-06   1.43118943e-04   6.14966213e-05  -1.75564402e-03  -2.15301361e-17   1.80306435e-19  -1.74880673e-18
