       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00  -1.79538245e-01  -6.89071316e-02  -1.05314399e-01   4.46346839e-14  -4.63251511e-13   2.27012642e-13
  8.00000000e-08  -1.22642301e-01  -4.68086768e-02  -1.33800519e-01   1.78103161e-13  -2.71621593e-13  -6.82264468e-14
  1.60000000e-07  -6.83916444e-02  -2.62071793e-02  -1.00487833e-01   1.54024929e-13  -5.62735649e-14  -9.01526730e-14
  2.40000000e-07  -5.09176150e-02  -1.95715585e-02  -8.00292441e-02   1.17589470e-13   1.89842094e-14  -7.94575283e-14
  3.20000000e-07  -4.25762569e-02  -1.64650715e-02  -6.42063112e-02   8.36208851e-14   4.63326233e-14  -6.73319205e-14
  4.00000000e-07  -3.75764780e-02  -1.45624597e-02  -5.25380351e-02   5.73498469e-14   5.48278825e-14  -5.62151607e-14
  4.80000000e-07  -3.40177498e-02  -1.32134459e-02  -4.38996621e-02   3.81948207e-14   5.56538683e-14  -4.63484486e-14
  5.60000000e-07  -3.12471564e-02  -1.21494373e-02  -3.74102658e-02   2.44769166e-14   5.33079971e-14  -3.77569145e-14
  6.40000000e-07  -2.88735909e-02  -1.12192797e-02  -3.25859665e-02   1.45886572e-14   5.02429503e-14  -3.02251779e-14
  7.20000000e-07  -2.65961006e-02  -1.03036194e-02  -2.84300591e-02   7.32417659e-15   4.60004489e-14  -2.35231890e-14
  8.00000000e-07  -2.47584109e-02  -9.57699667e-03  -2.52970438e-02   2.15622989e-15   4.21273461e-14  -1.80589591e-14
  8.80000000e-07  -2.29094528e-02  -8.82801627e-03  -2.26801321e-02  -1.65826501e-15   3.84240583e-14  -1.32811514e-14
  9.60000000e-07  -2.13369563e-02  -8.18121365e-03  -2.05883060e-02  -4.43907074e-15   3.50508168e-14  -9.32772043e-15
  1.04000000e-06  -1.98473984e-02  -7.56620984e-03  -1.88714751e-02  -6.52017594e-15   3.20599918e-14  -5.99656861e-15
  1.12000000e-06  -1.85015167e-02  -7.00897190e-03  -1.74435037e-02  -8.07375072e-15   2.93524374e-14  -3.23064540e-15
  1.20000000e-06  -1.72413250e-02  -6.48379231e-03  -1.62290581e-02  -9.24448831e-15   2.69031911e-14  -9.27193428e-16
  1.28000000e-06  -1.60486871e-02  -5.98234819e-03  -1.52459890e-02  -1.01968535e-14   2.48454118e-14   9.84665957e-16
  1.36000000e-06  -1.49791450e-02  -5.53564931e-03  -1.44186874e-02  -1.09518169e-14   2.29991343e-14   2.54764602e-15
  1.44000000e-06  -1.39803889e-02  -5.11287381e-03  -1.37126138e-02  -1.15775318e-14   2.13535938e-14   3.84173042e-15
  1.52000000e-06  -1.30341484e-02  -4.71518125e-03  -1.31510015e-02  -1.21627715e-14   1.99998240e-14   4.88393027e-15
  1.60000000e-06  -1.21305161e-02  -4.33288289e-03  -1.26340192e-02  -1.26469360e-14   1.87247453e-14   5.72119851e-15
  1.68000000e-06  -1.13188688e-02  -3.98988825e-03  -1.22494394e-02  -1.31578378e-14   1.76956156e-14   6.39444042e-15
  1.76000000e-06  -1.05335606e-02  -3.66490167e-03  -1.19087334e-02  -1.36296029e-14   1.67669008e-14   6.89571284e-15
  1.84000000e-06  -9.79408925e-03  -3.35647651e-03  -1.16471348e-02  -1.41341747e-14   1.60018163e-14   7.27403339e-15
  1.92000000e-06  -9.08821257e-03  -3.05254003e-03  -1.14302787e-02  -1.46543413e-14   1.53309273e-14   7.55742725e-15
  2.00000000e-06  -8.43316766e-03  -2.78654843e-03  -1.12784773e-02  -1.52066412e-14   1.47754692e-14   7.71980050e-15
  2.08000000e-06  -7.79289679e-03  -2.52080152e-03  -1.11826746e-02  -1.58266252e-14   1.43411892e-14   7.79634283e-15
  2.16000000e-06  -7.20209481e-03  -2.27647021e-03  -1.10923368e-02  -1.64210114e-14   1.38887745e-14   7.81154607e-15
  2.24000000e-06  -6.61962630e-03  -2.04444300e-03  -1.10771828e-02  -1.71234912e-14   1.35850158e-14   7.72554932e-15
  2.32000000e-06  -6.08638070e-03  -1.82421466e-03  -1.10621011e-02  -1.78125916e-14   1.32381158e-14   7.61745423e-15
  2.40000000e-06  -5.56444441e-03  -1.61211915e-03  -1.11049899e-02  -1.85981792e-14   1.29841498e-14   7.43418397e-15
  2.48000000e-06  -5.07430725e-03  -1.42190594e-03  -1.11093173e-02  -1.92918784e-14   1.26269422e-14   7.19563513e-15
  2.56000000e-06  -4.61908918e-03  -1.24431433e-03  -1.11940931e-02  -2.01251507e-14   1.23557224e-14   6.93092894e-15
  2.64000000e-06  -4.17305758e-03  -1.07365185e-03  -1.13122525e-02  -2.10237346e-14   1.21036284e-14   6.60683376e-15
  2.72000000e-06  -3.75719729e-03  -9.15711456e-04  -1.14646692e-02  -2.19851099e-14   1.18347860e-14   6.25967875e-15
  2.80000000e-06  -3.36512858e-03  -7.68669343e-04  -1.16256078e-02  -2.29595663e-14   1.15087512e-14   5.88489391e-15
  2.88000000e-06  -2.98980946e-03  -6.30592082e-04  -1.17867477e-02  -2.39278010e-14   1.11177395e-14   5.47469149e-15
  2.96000000e-06  -2.64509048e-03  -5.10550889e-04  -1.19622284e-02  -2.49061318e-14   1.06534316e-14   5.05255803e-15
  3.04000000e-06  -2.32508439e-03  -4.01830250e-04  -1.21777101e-02  -2.59557712e-14   1.01399703e-14   4.62113250e-15
  3.12000000e-06  -2.02261700e-03  -2.99027275e-04  -1.24247603e-02  -2.70629479e-14   9.56195700e-15   4.17542804e-15
  3.20000000e-06  -1.74868072e-03  -2.10986382e-04  -1.26413397e-02  -2.80739748e-14   8.83605060e-15   3.73600688e-15
  3.28000000e-06  -1.49845614e-03  -1.33305101e-04  -1.28903566e-02  -2.91267321e-14   8.02175145e-15   3.30291797e-15
  3.36000000e-06  -1.27422405e-03  -6.36184242e-05  -1.31562450e-02  -3.01832033e-14   7.09263037e-15   2.88904179e-15
  3.44000000e-06  -1.06633212e-03   1.39127584e-06  -1.34744060e-02  -3.13235304e-14   6.06611297e-15   2.47949528e-15
  3.52000000e-06  -8.86795758e-04   4.44242862e-05  -1.36724441e-02  -3.21124637e-14   4.83382566e-15   2.09852282e-15
  3.60000000e-06  -7.36212559e-04   8.85932875e-05  -1.39758337e-02  -3.30959868e-14   3.50957744e-15   1.76566255e-15
