     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   2.356090e+00   1.406766e+01   5.650552e+05  -1.225976e+06   4.350904e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.418311e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.458093e-01   2.258308e+00   1.410251e+01   5.801237e+05  -1.218542e+06   4.361427e+05   1.864472e+11   9.395088e+10   1.449302e+10   1.418311e+06   2.543019e-20   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.928117e-01   2.161128e+00   1.413745e+01   5.948880e+05  -1.210951e+06   4.373941e+05   1.826921e+11   9.579426e+10   1.673834e+10   1.418311e+06   2.486916e-20   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.409832e-01   2.064560e+00   1.417250e+01   6.093486e+05  -1.203209e+06   4.388512e+05   1.788947e+11   9.767503e+10   1.940214e+10   1.418311e+06   2.433909e-20   0.000000e+00   0.000000e+00
       32000   3.199900e-07   2.902997e-01   1.968618e+00   1.420767e+01   6.235156e+05  -1.195320e+06   4.405052e+05   1.753641e+11   9.959565e+10   2.203570e+10   1.418311e+06   2.389625e-20   0.000000e+00   0.000000e+00
       40000   3.999900e-07   3.407383e-01   1.873313e+00   1.424299e+01   6.374032e+05  -1.187281e+06   4.423673e+05   1.718822e+11   1.013703e+11   2.440780e+10   1.418312e+06   2.346528e-20   0.000000e+00   0.000000e+00
       48000   4.799900e-07   3.922770e-01   1.778657e+00   1.427846e+01   6.510218e+05  -1.179103e+06   4.444042e+05   1.686210e+11   1.030268e+11   2.633548e+10   1.418312e+06   2.307391e-20   0.000000e+00   0.000000e+00
       56000   5.599900e-07   4.448948e-01   1.684660e+00   1.431410e+01   6.643825e+05  -1.170784e+06   4.466191e+05   1.654815e+11   1.048496e+11   2.869025e+10   1.418312e+06   2.276015e-20   0.000000e+00   0.000000e+00
       64000   6.399900e-07   4.985717e-01   1.591335e+00   1.434992e+01   6.774971e+05  -1.162331e+06   4.489910e+05   1.624427e+11   1.064767e+11   3.052860e+10   1.418312e+06   2.244443e-20   0.000000e+00   0.000000e+00
       72000   7.199900e-07   5.532880e-01   1.498691e+00   1.438594e+01   6.903721e+05  -1.153745e+06   4.515155e+05   1.593118e+11   1.080190e+11   3.242925e+10   1.418312e+06   2.212106e-20   0.000000e+00   0.000000e+00
       80000   7.999900e-07   6.090249e-01   1.406739e+00   1.442217e+01   7.030196e+05  -1.145030e+06   4.541779e+05   1.567677e+11   1.098279e+11   3.422852e+10   1.418312e+06   2.195261e-20   0.000000e+00   0.000000e+00
       88000   8.799900e-07   6.657654e-01   1.315490e+00   1.445861e+01   7.154579e+05  -1.136180e+06   4.569703e+05   1.541630e+11   1.114015e+11   3.561593e+10   1.418312e+06   2.174076e-20   0.000000e+00   0.000000e+00
       96000   9.599900e-07   7.234926e-01   1.224953e+00   1.449528e+01   7.276881e+05  -1.127214e+06   4.598557e+05   1.516844e+11   1.129255e+11   3.677820e+10   1.418312e+06   2.154798e-20   0.000000e+00   0.000000e+00
      104000   1.039990e-06   7.821907e-01   1.135139e+00   1.453219e+01   7.397371e+05  -1.118117e+06   4.628297e+05   1.495320e+11   1.144601e+11   3.752083e+10   1.418312e+06   2.140617e-20   0.000000e+00   0.000000e+00
      112000   1.119990e-06   8.418460e-01   1.046058e+00   1.456934e+01   7.516179e+05  -1.108898e+06   4.658572e+05   1.475400e+11   1.159834e+11   3.803856e+10   1.418312e+06   2.128911e-20   0.000000e+00   0.000000e+00
      120000   1.199990e-06   9.024457e-01   9.577187e-01   1.460673e+01   7.633558e+05  -1.099557e+06   4.689023e+05   1.458799e+11   1.176469e+11   3.839085e+10   1.418312e+06   2.124758e-20   0.000000e+00   0.000000e+00
      128000   1.279990e-06   9.639793e-01   8.701321e-01   1.464436e+01   7.749648e+05  -1.090086e+06   4.719645e+05   1.443859e+11   1.191227e+11   3.805436e+10   1.418312e+06   2.118373e-20   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.026437e+00   7.833080e-01   1.468224e+01   7.864565e+05  -1.080497e+06   4.749939e+05   1.429463e+11   1.205234e+11   3.748385e+10   1.418312e+06   2.111344e-20   0.000000e+00   0.000000e+00
      144000   1.439990e-06   1.089810e+00   6.972555e-01   1.472036e+01   7.978465e+05  -1.070795e+06   4.779611e+05   1.420759e+11   1.220730e+11   3.632254e+10   1.418312e+06   2.113790e-20   0.000000e+00   0.000000e+00
      152000   1.519990e-06   1.154090e+00   6.119839e-01   1.475871e+01   8.091575e+05  -1.060976e+06   4.808342e+05   1.409086e+11   1.234319e+11   3.523335e+10   1.418312e+06   2.109456e-20   0.000000e+00   0.000000e+00
      160000   1.599990e-06   1.219273e+00   5.275022e-01   1.479729e+01   8.204083e+05  -1.051049e+06   4.835646e+05   1.403022e+11   1.248461e+11   3.332460e+10   1.418312e+06   2.112342e-20   0.000000e+00   0.000000e+00
      168000   1.679990e-06   1.285355e+00   4.438194e-01   1.483608e+01   8.316265e+05  -1.041000e+06   4.861321e+05   1.401090e+11   1.263043e+11   3.078336e+10   1.418312e+06   2.121001e-20   0.000000e+00   0.000000e+00
      176000   1.759990e-06   1.352333e+00   3.609451e-01   1.487507e+01   8.428271e+05  -1.030841e+06   4.884840e+05   1.400021e+11   1.276275e+11   2.777271e+10   1.418312e+06   2.128537e-20   0.000000e+00   0.000000e+00
      184000   1.839990e-06   1.420207e+00   2.788877e-01   1.491423e+01   8.540328e+05  -1.020571e+06   4.905813e+05   1.402826e+11   1.291720e+11   2.450892e+10   1.418312e+06   2.146220e-20   0.000000e+00   0.000000e+00
      192000   1.919990e-06   1.488979e+00   1.976569e-01   1.495355e+01   8.652764e+05  -1.010182e+06   4.923800e+05   1.408733e+11   1.304361e+11   2.004583e+10   1.418312e+06   2.163371e-20   0.000000e+00   0.000000e+00
      200000   1.999990e-06   1.558653e+00   1.172614e-01   1.499300e+01   8.765725e+05  -9.996850e+05   4.938205e+05   1.415798e+11   1.319163e+11   1.573487e+10   1.418312e+06   2.188546e-20   0.000000e+00   0.000000e+00
      208000   2.079990e-06   1.629233e+00   3.771050e-02   1.503255e+01   8.879497e+05  -9.890677e+05   4.948722e+05   1.427744e+11   1.334492e+11   1.053644e+10   1.418312e+06   2.223956e-20   0.000000e+00   0.000000e+00
