       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   2.92510327e-04   8.91415075e-05  -7.63574846e-03  -1.42960930e-16   6.00220098e-19  -5.46954159e-18
  8.00000000e-08   2.92901060e-04   8.91214399e-05  -7.62893494e-03  -1.42619598e-16  -7.77248180e-18  -5.56645541e-18
  1.60000000e-07   2.91738590e-04   8.84863348e-05  -7.62430463e-03  -1.41840578e-16  -1.60794051e-17  -5.61404350e-18
  2.40000000e-07   2.90415896e-04   8.80039688e-05  -7.61772744e-03  -1.40540961e-16  -2.43071361e-17  -5.63874907e-18
  3.20000000e-07   2.88301793e-04   8.72836058e-05  -7.61121612e-03  -1.38771383e-16  -3.24198861e-17  -5.62824158e-18
  4.00000000e-07   2.85405975e-04   8.63284811e-05  -7.60475712e-03  -1.36540271e-16  -4.03908425e-17  -5.58285933e-18
  4.80000000e-07   2.81740736e-04   8.51426096e-05  -7.59833687e-03  -1.33857551e-16  -4.81938012e-17  -5.50337154e-18
  5.60000000e-07   2.77320914e-04   8.37307679e-05  -7.59194182e-03  -1.30734611e-16  -5.58032543e-17  -5.39096482e-18
  6.40000000e-07   2.72163830e-04   8.20984745e-05  -7.58555845e-03  -1.27184263e-16  -6.31944754e-17  -5.24722423e-18
  7.20000000e-07   2.66289214e-04   8.02519670e-05  -7.57917334e-03  -1.23220692e-16  -7.03436029e-17  -5.07410928e-18
  8.00000000e-07   2.59719129e-04   7.81981777e-05  -7.57277321e-03  -1.18859412e-16  -7.72277208e-17  -4.87392518e-18
  8.80000000e-07   2.52477881e-04   7.59447065e-05  -7.56634493e-03  -1.14117205e-16  -8.38249355e-17  -4.64928980e-18
  9.60000000e-07   2.45409321e-04   7.35617596e-05  -7.55766463e-03  -1.08979032e-16  -9.01009429e-17  -4.41570985e-18
  1.04000000e-06   2.36742675e-04   7.09135572e-05  -7.55114694e-03  -1.03532996e-16  -9.60571943e-17  -4.14803684e-18
  1.12000000e-06   2.29147055e-04   6.82302998e-05  -7.54602150e-03  -9.77807621e-17  -1.01711433e-16  -3.88893342e-18
  1.20000000e-06   2.19238721e-04   6.52328012e-05  -7.53911198e-03  -9.17031360e-17  -1.06956721e-16  -3.59219558e-18
  1.28000000e-06   2.08795215e-04   6.20815192e-05  -7.53212140e-03  -8.53463331e-17  -1.11822880e-16  -3.28752538e-18
  1.36000000e-06   1.97852978e-04   5.87874602e-05  -7.52503839e-03  -7.87333589e-17  -1.16295694e-16  -2.97863703e-18
  1.44000000e-06   1.86449948e-04   5.53620575e-05  -7.51785191e-03  -7.18879634e-17  -1.20362395e-16  -2.66924875e-18
  1.52000000e-06   1.74625427e-04   5.18171306e-05  -7.51055126e-03  -6.48345539e-17  -1.24011702e-16  -2.36303457e-18
  1.60000000e-06   1.62419945e-04   4.81648434e-05  -7.50312610e-03  -5.75981044e-17  -1.27233853e-16  -2.06357715e-18
  1.68000000e-06   1.49875107e-04   4.44176606e-05  -7.49556648e-03  -5.02040643e-17  -1.30020633e-16  -1.77432245e-18
