     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.603657e+01   1.898390e+01   4.865276e+04   7.425441e+04   1.177069e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.021192e-01   1.604363e+01   1.899302e+01   2.372469e+03   9.842087e+04   1.097441e+05  -6.401374e+11   1.542072e+11  -1.244168e+11   1.474316e+05   3.477709e-23   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.002225e-01   1.605165e+01   1.900137e+01  -4.973557e+04   9.768267e+04   9.859463e+04  -6.360642e+11  -1.739358e+11  -1.484861e+11   1.474328e+05   3.538519e-23   0.000000e+00   0.000000e+00
       24000   2.399900e-07   9.433893e-02   1.605857e+01   1.900879e+01  -9.520359e+04   7.132186e+04   8.709920e+04  -4.755554e+11  -4.727282e+11  -1.326539e+11   1.474341e+05   3.618682e-23   0.000000e+00   0.000000e+00
       32000   3.199900e-07   8.548034e-02   1.606253e+01   1.901538e+01  -1.224173e+05   2.497478e+04   7.827794e+04  -1.884120e+11  -6.621250e+11  -8.333969e+10   1.474353e+05   3.724325e-23   0.000000e+00   0.000000e+00
       40000   3.999900e-07   7.544833e-02   1.606233e+01   1.902144e+01  -1.237417e+05  -3.020064e+04   7.425290e+04   1.581767e+11  -6.872128e+11  -1.584108e+10   1.474367e+05   3.853569e-23   0.000000e+00   0.000000e+00
       48000   4.799900e-07   6.641357e-02   1.605783e+01   1.902740e+01  -9.786587e+04  -8.015681e+04   7.573067e+04   4.762926e+11  -5.331218e+11   5.129484e+10   1.474380e+05   3.978908e-23   0.000000e+00   0.000000e+00
       56000   5.599900e-07   6.036509e-02   1.605000e+01   1.903369e+01  -5.062571e+04  -1.115534e+05   8.204436e+04   6.792800e+11  -2.325604e+11   1.030100e+11   1.474395e+05   4.075128e-23   0.000000e+00   0.000000e+00
       64000   6.399900e-07   5.856889e-02   1.604073e+01   1.904062e+01   6.082697e+03  -1.154245e+05   9.153686e+04   7.061690e+11   1.398653e+11   1.294978e+11   1.474409e+05   4.144069e-23   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.118832e-02   1.603233e+01   1.904836e+01   5.719381e+04  -8.988545e+04   1.019251e+05   5.411299e+11   4.855683e+11   1.246178e+11   1.474424e+05   4.214801e-23   0.000000e+00   0.000000e+00
       80000   7.999900e-07   6.718705e-02   1.602697e+01   1.905688e+01   8.849117e+04  -4.104999e+04   1.105617e+05   2.213085e+11   7.077792e+11   8.570829e+10   1.474439e+05   4.316721e-23   0.000000e+00   0.000000e+00
       88000   8.799900e-07   7.456308e-02   1.602604e+01   1.906593e+01   9.066506e+04   1.820541e+04   1.148414e+05  -1.701734e+11   7.383757e+11   1.734645e+10   1.474454e+05   4.449920e-23   0.000000e+00   0.000000e+00
       96000   9.599900e-07   8.086965e-02   1.602972e+01   1.907509e+01   6.224807e+04   7.143320e+04   1.129738e+05  -5.247075e+11   5.589105e+11  -6.423452e+10   1.474470e+05   4.584546e-23   0.000000e+00   0.000000e+00
      104000   1.039990e-06   8.389457e-02   1.603689e+01   1.908384e+01   1.052251e+04   1.030708e+05   1.049131e+05  -7.374220e+11   2.103970e+11  -1.326832e+11   1.474486e+05   4.691849e-23   0.000000e+00   0.000000e+00
      112000   1.119990e-06   8.231457e-02   1.604536e+01   1.909176e+01  -5.003579e+04   1.030807e+05   9.280285e+04  -7.382434e+11  -2.125073e+11  -1.619242e+11   1.474503e+05   4.774995e-23   0.000000e+00   0.000000e+00
      120000   1.199990e-06   7.613060e-02   1.605250e+01   1.909868e+01  -1.015901e+05   7.041727e+04   8.039233e+04  -5.162239e+11  -5.849450e+11  -1.398982e+11   1.474519e+05   4.866804e-23   0.000000e+00   0.000000e+00
      128000   1.279990e-06   6.672850e-02   1.605602e+01   1.910470e+01  -1.283851e+05   1.490820e+04   7.097602e+04  -1.360954e+11  -7.775315e+11  -8.277053e+10   1.474536e+05   4.880146e-23   0.000000e+00   0.000000e+00
      136000   1.359990e-06   5.648729e-02   1.605468e+01   1.911021e+01  -1.218116e+05  -4.792582e+04   6.788322e+04   2.990903e+11  -7.513364e+11   6.346223e+09   1.474554e+05   5.066766e-23   0.000000e+00   0.000000e+00
      144000   1.439990e-06   4.811893e-02   1.604867e+01   1.911575e+01  -8.259454e+04  -9.884247e+04   7.177692e+04   6.572012e+11  -4.855554e+11   8.769520e+10   1.474572e+05   5.232432e-23   0.000000e+00   0.000000e+00
      152000   1.519990e-06   4.384944e-02   1.603964e+01   1.912184e+01  -2.199710e+04  -1.211357e+05   8.115690e+04   8.170335e+11  -5.402877e+10   1.408933e+11   1.474590e+05   5.348366e-23   0.000000e+00   0.000000e+00
      160000   1.599990e-06   4.466687e-02   1.603028e+01   1.912881e+01   4.106552e+04  -1.066083e+05   9.323639e+04   7.148476e+11   4.096166e+11   1.535876e+11   1.474609e+05   5.442007e-23   0.000000e+00   0.000000e+00
      168000   1.679990e-06   4.992831e-02   1.602348e+01   1.913674e+01   8.586933e+04  -5.883306e+04   1.044530e+05   3.715643e+11   7.528217e+11   1.186373e+11   1.474628e+05   5.569934e-23   0.000000e+00   0.000000e+00
      176000   1.759990e-06   5.749333e-02   1.602137e+01   1.914540e+01   9.682323e+04   7.323463e+03   1.109842e+05  -1.081674e+11   8.539956e+11   3.808055e+10   1.474648e+05   5.752811e-23   0.000000e+00   0.000000e+00
      184000   1.839990e-06   6.437739e-02   1.602456e+01   1.915429e+01   6.913482e+04   6.998955e+04   1.098559e+05  -5.661334e+11   6.654089e+11  -6.758363e+10   1.474669e+05   5.949669e-23   0.000000e+00   0.000000e+00
      192000   1.919990e-06   6.773715e-02   1.603188e+01   1.916275e+01   1.116918e+04   1.072861e+05   1.005587e+05  -8.410113e+11   2.362485e+11  -1.585630e+11   1.474690e+05   6.108014e-23   0.000000e+00   0.000000e+00
      200000   1.999990e-06   6.587235e-02   1.604066e+01   1.917024e+01  -5.757506e+04   1.050484e+05   8.600976e+04  -8.247774e+11  -2.937471e+11  -1.932444e+11   1.474711e+05   6.229336e-23   0.000000e+00   0.000000e+00
      208000   2.079990e-06   5.889291e-02   1.604760e+01   1.917652e+01  -1.126526e+05   6.265400e+04   7.163983e+04  -5.071540e+11  -7.353883e+11  -1.542293e+11   1.474733e+05   6.368222e-23   0.000000e+00   0.000000e+00
      216000   2.159990e-06   4.877689e-02   1.604998e+01   1.918185e+01  -1.333033e+05  -5.627610e+03   6.282998e+04   1.046533e+10  -9.179936e+11  -5.988515e+10   1.474756e+05   6.559205e-23   0.000000e+00   0.000000e+00
      224000   2.239990e-06   3.873638e-02   1.604667e+01   1.918680e+01  -1.105668e+05  -7.499479e+04   6.245412e+04   5.425995e+11  -7.589496e+11   4.939517e+10   1.474779e+05   6.764401e-23   0.000000e+00   0.000000e+00
      232000   2.319990e-06   3.206554e-02   1.603867e+01   1.919206e+01  -5.161233e+04  -1.190539e+05   7.009122e+04   8.845070e+11  -3.039956e+11   1.350885e+11   1.474803e+05   6.920840e-23   0.000000e+00   0.000000e+00
      240000   2.399990e-06   3.087430e-02   1.602879e+01   1.919815e+01   2.194896e+04  -1.200799e+05   8.276605e+04   8.930235e+11   2.819074e+11   1.722874e+11   1.474828e+05   7.026714e-23   0.000000e+00   0.000000e+00
      248000   2.479990e-06   3.519521e-02   1.602067e+01   1.920533e+01   8.136332e+04  -7.631706e+04   9.647598e+04   5.432250e+11   7.757169e+11   1.555937e+11   1.474853e+05   7.138496e-23   0.000000e+00   0.000000e+00
      256000   2.559990e-06   4.286925e-02   1.601735e+01   1.921346e+01   1.028096e+05  -3.908363e+03   1.056766e+05  -2.878654e+10   9.737578e+11   6.410938e+10   1.474878e+05   7.387557e-23   0.000000e+00   0.000000e+00
      264000   2.639990e-06   5.035393e-02   1.602006e+01   1.922198e+01   7.651647e+04   6.900048e+04   1.055348e+05  -6.089247e+11   7.838957e+11  -7.093875e+10   1.474904e+05   7.675938e-23   0.000000e+00   0.000000e+00
      272000   2.719990e-06   5.406701e-02   1.602760e+01   1.923006e+01   1.162715e+04   1.124676e+05   9.471048e+04  -9.573739e+11   2.600662e+11  -1.911856e+11   1.474932e+05   7.912160e-23   0.000000e+00   0.000000e+00
      280000   2.799990e-06   5.186682e-02   1.603673e+01   1.923695e+01  -6.603886e+04   1.069823e+05   7.712790e+04  -9.127858e+11  -3.967722e+11  -2.310616e+11   1.474960e+05   8.092644e-23   0.000000e+00   0.000000e+00
      288000   2.879990e-06   4.404231e-02   1.604340e+01   1.924243e+01  -1.236289e+05   5.291859e+04   6.059221e+04  -4.699068e+11  -9.072231e+11  -1.662655e+11   1.474988e+05   8.306242e-23   0.000000e+00   0.000000e+00
      296000   2.959990e-06   3.333495e-02   1.604447e+01   1.924688e+01  -1.350597e+05  -2.777422e+04   5.238552e+04   1.996716e+11  -1.033173e+12  -3.277475e+10   1.475018e+05   8.592472e-23   0.000000e+00   0.000000e+00
      304000   3.039990e-06   2.387167e-02   1.603918e+01   1.925111e+01  -9.337780e+04  -9.983177e+04   5.542455e+04   8.055121e+11  -6.957529e+11   1.041082e+11   1.475048e+05   8.867045e-23   0.000000e+00   0.000000e+00
      312000   3.119990e-06   1.937395e-02   1.602963e+01   1.925599e+01  -1.559993e+04  -1.301237e+05   6.769831e+04   1.062964e+12  -2.795730e+10   1.913773e+11   1.475080e+05   9.049924e-23   0.000000e+00   0.000000e+00
      320000   3.199990e-06   2.141281e-02   1.601991e+01   1.926205e+01   6.348509e+04  -1.033848e+05   8.390934e+04   8.330128e+11   6.729350e+11   1.990147e+11   1.475112e+05   9.198087e-23   0.000000e+00   0.000000e+00
      328000   3.279990e-06   2.856382e-02   1.601434e+01   1.926934e+01   1.068235e+05  -3.045729e+04   9.706492e+04   2.030363e+11   1.077807e+12   1.148735e+11   1.475144e+05   9.428978e-23   0.000000e+00   0.000000e+00
      336000   3.359990e-06   3.695070e-02   1.601539e+01   1.927732e+01   9.283452e+04   5.545307e+04   1.003404e+05  -5.417497e+11   9.801893e+11  -4.035142e+10   1.475178e+05   9.738051e-23   0.000000e+00   0.000000e+00
      344000   3.439990e-06   4.200172e-02   1.602245e+01   1.928504e+01   2.667314e+04   1.133219e+05   9.060463e+04  -1.044768e+12   4.017278e+11  -1.947407e+11   1.475212e+05   1.000959e-22   0.000000e+00   0.000000e+00
      352000   3.519990e-06   4.064047e-02   1.603196e+01   1.929156e+01  -6.072372e+04   1.137156e+05   7.172822e+04  -1.045722e+12  -3.971212e+11  -2.555209e+11   1.475248e+05   1.020921e-22   0.000000e+00   0.000000e+00
      360000   3.599990e-06   3.287642e-02   1.603903e+01   1.929653e+01  -1.262828e+05   5.446899e+04   5.338922e+04  -5.178951e+11  -1.021993e+12  -1.820744e+11   1.475284e+05   1.043698e-22   0.000000e+00   0.000000e+00
      368000   3.679990e-06   2.195502e-02   1.603983e+01   1.930038e+01  -1.358374e+05  -3.594969e+04   4.496142e+04   2.916139e+11  -1.129740e+12  -2.197654e+10   1.475321e+05   1.056154e-22   0.000000e+00   0.000000e+00
      376000   3.759990e-06   1.283461e-02   1.603369e+01   1.930409e+01  -8.297159e+04  -1.112656e+05   5.002491e+04   9.749885e+11  -6.638676e+11   1.408261e+11   1.475358e+05   1.094462e-22   0.000000e+00   0.000000e+00
      384000   3.839990e-06   9.684557e-03   1.602351e+01   1.930866e+01   6.794159e+03  -1.320267e+05   6.550390e+04   1.165625e+12   1.740491e+11   2.301253e+11   1.475397e+05   1.118392e-22   0.000000e+00   0.000000e+00
      392000   3.919990e-06   1.365026e-02   1.601440e+01   1.931465e+01   8.648408e+04  -8.516795e+04   8.388116e+04   7.295598e+11   9.463580e+11   2.088524e+11   1.475436e+05   1.141363e-22   0.000000e+00   0.000000e+00
      400000   3.999990e-06   2.205628e-02   1.601109e+01   1.932190e+01   1.122055e+05   6.005028e+03   9.562521e+04  -1.219109e+11   1.225257e+12   6.626474e+10   1.475477e+05   1.179463e-22   0.000000e+00   0.000000e+00
      408000   4.079990e-06   2.970377e-02   1.601524e+01   1.932955e+01   6.807556e+04   9.254195e+04   9.259193e+04  -9.316955e+11   8.296424e+11  -1.440219e+11   1.475519e+05   1.223436e-22   0.000000e+00   0.000000e+00
      416000   4.159990e-06   3.166387e-02   1.602443e+01   1.933630e+01  -2.320570e+04   1.253658e+05   7.428164e+04  -1.237947e+12  -5.660069e+10  -2.909930e+11   1.475562e+05   1.257092e-22   0.000000e+00   0.000000e+00
      424000   4.239990e-06   2.609172e-02   1.603326e+01   1.934129e+01  -1.106595e+05   8.332764e+04   5.084412e+04  -8.334754e+11  -9.463875e+11  -2.626688e+11   1.475607e+05   1.287372e-22   0.000000e+00   0.000000e+00
      432000   4.319990e-06   1.546977e-02   1.603632e+01   1.934469e+01  -1.425096e+05  -1.158611e+04   3.650014e+04   8.557564e+10  -1.303447e+12  -7.916118e+10   1.475652e+05   1.328757e-22   0.000000e+00   0.000000e+00
      440000   4.399990e-06   5.389122e-03   1.603148e+01   1.934759e+01  -9.731851e+04  -1.038729e+05   3.894125e+04   9.895062e+11  -8.771241e+11   1.336763e+11   1.475700e+05   1.370570e-22   0.000000e+00   0.000000e+00
      448000   4.479990e-06   1.321815e-03   1.602132e+01   1.935130e+01  -1.028880e+01  -1.367302e+05   5.552623e+04   1.311844e+12   1.053426e+11   2.599676e+11   1.475748e+05   1.396484e-22   0.000000e+00   0.000000e+00
      456000   4.559990e-06   5.200930e-03   1.601182e+01   1.935659e+01   9.036024e+04  -8.804865e+04   7.656521e+04   8.198236e+11   1.048651e+12   2.386349e+11   1.475797e+05   1.419167e-22   0.000000e+00   0.000000e+00
      464000   4.639990e-06   1.403244e-02   1.600868e+01   1.936333e+01   1.166188e+05   1.369047e+04   8.940845e+04  -2.044033e+11   1.354095e+12   5.947828e+10   1.475847e+05   1.458196e-22   0.000000e+00   0.000000e+00
      472000   4.719990e-06   2.161283e-02   1.601374e+01   1.937040e+01   6.050355e+04   1.051471e+05   8.406055e+04  -1.122712e+12   7.991766e+11  -1.913352e+11   1.475899e+05   1.502447e-22   0.000000e+00   0.000000e+00
      480000   4.799990e-06   2.239712e-02   1.602360e+01   1.937631e+01  -4.375035e+04   1.267069e+05   6.177068e+04  -1.333587e+12  -2.981745e+11  -3.325905e+11   1.475952e+05   1.535316e-22   0.000000e+00   0.000000e+00
      488000   4.879990e-06   1.513380e-02   1.603165e+01   1.938022e+01  -1.287887e+05   6.179057e+04   3.716620e+04  -6.625702e+11  -1.233606e+12  -2.444744e+11   1.476006e+05   1.568474e-22   0.000000e+00   0.000000e+00
      496000   4.959990e-06   3.893686e-03   1.603224e+01   1.938266e+01  -1.367697e+05  -4.854462e+04   2.692683e+04   4.819227e+11  -1.358163e+12   6.269302e+07   1.476062e+05   1.612303e-22   0.000000e+00   0.000000e+00
