     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   3.695679e+00   7.563895e+00   2.127650e+06  -2.632936e+06  -1.238588e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.604629e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.704321e-01   3.485216e+00   7.464821e+00   2.133133e+06  -2.628661e+06  -1.238238e+06   6.776156e+10   5.239633e+10   5.501454e+09   3.604629e+06   8.529598e-21   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.412981e-01   3.275089e+00   7.365782e+00   2.138499e+06  -2.624544e+06  -1.237715e+06   6.633697e+10   5.054410e+10   7.438089e+09   3.604629e+06   8.116678e-21   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.125889e-01   3.065285e+00   7.266790e+00   2.143756e+06  -2.620573e+06  -1.237035e+06   6.506203e+10   4.868249e+10   9.620606e+09   3.604629e+06   7.751966e-21   0.000000e+00   0.000000e+00
       32000   3.199900e-07   7.842961e-01   2.855794e+00   7.167860e+00   2.148906e+06  -2.616741e+06  -1.236211e+06   6.372908e+10   4.704855e+10   1.119051e+10   3.604629e+06   7.409937e-21   0.000000e+00   0.000000e+00
       40000   3.999900e-07   9.564110e-01   2.646603e+00   7.069000e+00   2.153948e+06  -2.613040e+06  -1.235265e+06   6.231413e+10   4.551225e+10   1.238276e+10   3.604629e+06   7.071357e-21   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.128925e+00   2.437704e+00   6.970220e+00   2.158879e+06  -2.609455e+06  -1.234234e+06   6.093884e+10   4.408734e+10   1.338122e+10   3.604629e+06   6.757075e-21   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.301829e+00   2.229088e+00   6.871524e+00   2.163697e+06  -2.605977e+06  -1.233145e+06   5.956390e+10   4.287307e+10   1.390912e+10   3.604629e+06   6.459677e-21   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.475113e+00   2.020745e+00   6.772918e+00   2.168407e+06  -2.602595e+06  -1.232014e+06   5.819780e+10   4.171963e+10   1.429952e+10   3.604629e+06   6.173205e-21   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.648771e+00   1.812670e+00   6.674402e+00   2.173011e+06  -2.599294e+06  -1.230871e+06   5.687983e+10   4.080617e+10   1.424458e+10   3.604629e+06   5.908517e-21   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.822792e+00   1.604856e+00   6.575978e+00   2.177506e+06  -2.596067e+06  -1.229737e+06   5.547961e+10   3.988660e+10   1.403459e+10   3.604629e+06   5.633584e-21   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.997169e+00   1.397298e+00   6.477643e+00   2.181886e+06  -2.592902e+06  -1.228648e+06   5.394281e+10   3.928462e+10   1.288882e+10   3.604629e+06   5.347998e-21   0.000000e+00   0.000000e+00
       96000   9.599900e-07   2.171891e+00   1.189991e+00   6.379392e+00   2.186147e+06  -2.589791e+06  -1.227636e+06   5.259710e+10   3.860800e+10   1.221723e+10   3.604629e+06   5.101472e-21   0.000000e+00   0.000000e+00
      104000   1.039990e-06   2.346949e+00   9.829302e-01   6.281219e+00   2.190292e+06  -2.586725e+06  -1.226711e+06   5.100427e+10   3.796485e+10   1.101282e+10   3.604629e+06   4.821003e-21   0.000000e+00   0.000000e+00
      112000   1.119990e-06   2.522334e+00   7.761133e-01   6.183116e+00   2.194318e+06  -2.583703e+06  -1.225884e+06   4.961172e+10   3.760820e+10   9.540421e+09   3.604629e+06   4.592547e-21   0.000000e+00   0.000000e+00
      120000   1.199990e-06   2.698037e+00   5.695369e-01   6.085074e+00   2.198225e+06  -2.580713e+06  -1.225183e+06   4.806035e+10   3.712851e+10   8.022826e+09   3.604629e+06   4.344750e-21   0.000000e+00   0.000000e+00
      128000   1.279990e-06   2.874047e+00   3.631985e-01   5.987083e+00   2.202005e+06  -2.577751e+06  -1.224632e+06   4.635990e+10   3.688845e+10   5.712304e+09   3.604629e+06   4.101545e-21   0.000000e+00   0.000000e+00
      136000   1.359990e-06   3.050354e+00   1.570964e-01   5.889128e+00   2.205653e+06  -2.574804e+06  -1.224266e+06   4.481104e+10   3.678915e+10   3.359338e+09   3.604629e+06   3.904870e-21   0.000000e+00   0.000000e+00
