       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   5.83715779e-04   4.67457159e-04  -5.80866284e-03   1.15903586e-14   1.26906395e-14   2.18601180e-15
  8.00000000e-08   1.44866484e-03   1.16911514e-03  -6.41358625e-03   1.06516909e-14   1.65040084e-14   5.41441480e-15
  1.60000000e-07   2.77067308e-03   2.24921023e-03  -6.84546323e-03   8.07566950e-15   2.13153788e-14   1.02721768e-14
  2.40000000e-07   4.53281710e-03   3.70672641e-03  -6.84896716e-03   3.24827944e-15   2.66093838e-14   1.65510448e-14
  3.20000000e-07   6.46741638e-03   5.33533880e-03  -5.90908657e-03  -4.25558410e-15   3.06794252e-14   2.30429004e-14
  4.00000000e-07   7.83693563e-03   6.53261366e-03  -4.01821130e-03  -1.23913626e-14   3.14710416e-14   2.69965507e-14
  4.80000000e-07   8.13528540e-03   6.86516581e-03  -1.79436333e-03  -1.82509616e-14   2.86692313e-14   2.69411689e-14
  5.60000000e-07  -6.17581370e-05  -3.71378995e-05   3.05718700e-05   6.86991021e-17  -2.53112542e-16  -1.68695587e-16
  6.40000000e-07  -6.38976331e-03  -5.55353249e-03  -1.19628348e-03   1.92885049e-14  -1.75968487e-14  -2.13363390e-14
  7.20000000e-07  -5.42930764e-03  -4.81938480e-03  -1.85224666e-03   1.78566242e-14  -1.28411344e-14  -1.89298427e-14
  8.00000000e-07  -4.62083635e-03  -4.20005842e-03  -2.19532193e-03   1.63858738e-14  -9.27768343e-15  -1.67399726e-14
  8.80000000e-07  -3.96963860e-03  -3.69976532e-03  -2.39556600e-03   1.51092920e-14  -6.57366592e-15  -1.48847528e-14
  9.60000000e-07  -3.43850498e-03  -3.28537525e-03  -2.53445615e-03   1.40326836e-14  -4.42796498e-15  -1.32982873e-14
  1.04000000e-06  -2.97748152e-03  -2.91476247e-03  -2.63636192e-03   1.30557354e-14  -2.62539486e-15  -1.18423834e-14
  1.12000000e-06  -2.58248619e-03  -2.58353426e-03  -2.75479202e-03   1.22503260e-14  -1.02192495e-15  -1.05257019e-14
  1.20000000e-06  -2.21586298e-03  -2.26585545e-03  -2.88305064e-03   1.15227435e-14   4.87052584e-16  -9.23896761e-15
  1.28000000e-06  -1.87554506e-03  -1.95423914e-03  -2.99215279e-03   1.07926814e-14   1.84880983e-15  -7.97257980e-15
  1.36000000e-06  -1.55602497e-03  -1.65267355e-03  -3.06890156e-03   1.00418650e-14   3.05123104e-15  -6.73468376e-15
  1.44000000e-06  -1.26509001e-03  -1.36606454e-03  -3.15225080e-03   9.35032135e-15   4.16859398e-15  -5.55906484e-15
  1.52000000e-06  -9.96923568e-04  -1.09507302e-03  -3.21231442e-03   8.66142856e-15   5.14998122e-15  -4.44364589e-15
  1.60000000e-06  -7.57040106e-04  -8.45847395e-04  -3.27012420e-03   8.02582511e-15   6.03506962e-15  -3.41901981e-15
  1.68000000e-06  -5.47694489e-04  -6.23864724e-04  -3.34325142e-03   7.48569109e-15   6.86559212e-15  -2.50746099e-15
  1.76000000e-06  -3.69070088e-04  -4.27053838e-04  -3.39945522e-03   6.97574763e-15   7.56524599e-15  -1.70771690e-15
  1.84000000e-06  -2.18584671e-04  -2.59243425e-04  -3.45338220e-03   6.53020453e-15   8.17944774e-15  -1.02736114e-15
  1.92000000e-06  -9.58091477e-05  -1.14867236e-04  -3.52182629e-03   6.16184822e-15   8.75398416e-15  -4.53147673e-16
  2.00000000e-06   2.01614933e-08   2.46358165e-08  -3.60469090e-03   5.88370824e-15   9.29359207e-15   9.64242378e-20
  2.08000000e-06   6.96649376e-05   8.47635527e-05  -3.70708553e-03   5.70338325e-15   9.81591929e-15   3.31623864e-16
  2.16000000e-06   1.20298330e-04   1.51989562e-04  -3.84273834e-03   5.60643525e-15   1.03781071e-14   5.85990656e-16
  2.24000000e-06   1.45125081e-04   1.86682833e-04  -4.00319294e-03   5.61475080e-15   1.09430457e-14   7.13860157e-16
  2.32000000e-06   1.48694741e-04   1.96151801e-04  -4.16665541e-03   5.67358652e-15   1.14671297e-14   7.42305354e-16
  2.40000000e-06   1.29129652e-04   1.72907663e-04  -4.41108556e-03   5.91273123e-15   1.21563265e-14   6.49597677e-16
  2.48000000e-06   8.13511761e-05   1.10989347e-04  -4.65726972e-03   6.22444137e-15   1.27906564e-14   4.13545349e-16
