       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00  -7.88646828e-03  -4.41327872e-03  -4.57094184e-02   9.64543947e-15  -1.03374849e-14  -6.66082643e-16
  8.00000000e-08  -6.45502891e-03  -3.61484242e-03  -4.12640743e-02   9.31815395e-15  -6.55510811e-15  -8.83414227e-16
  1.60000000e-07  -5.49858435e-03  -3.08043019e-03  -3.76731141e-02   8.82680419e-15  -3.91069378e-15  -9.68550358e-16
  2.40000000e-07  -4.81504571e-03  -2.69910789e-03  -3.46908246e-02   8.24026921e-15  -1.98387209e-15  -9.89385191e-16
  3.20000000e-07  -4.23413099e-03  -2.37342662e-03  -3.22790130e-02   7.54105162e-15  -3.93117637e-16  -9.60276094e-16
  4.00000000e-07  -3.86872718e-03  -2.16947435e-03  -3.02120903e-02   6.93658247e-15   6.60980967e-16  -9.35709053e-16
  4.80000000e-07  -3.58981300e-03  -2.00987040e-03  -2.84341096e-02   6.34034060e-15   1.45094119e-15  -9.03029538e-16
  5.60000000e-07  -3.21986379e-03  -1.80357337e-03  -2.69866042e-02   5.61653679e-15   2.35394623e-15  -8.27447499e-16
  6.40000000e-07  -3.00426528e-03  -1.68145700e-03  -2.56753708e-02   5.01560828e-15   2.88148042e-15  -7.75579968e-16
  7.20000000e-07  -2.82865847e-03  -1.57647433e-03  -2.45097788e-02   4.43922062e-15   3.27467029e-15  -7.22955226e-16
  8.00000000e-07  -2.63431723e-03  -1.46985215e-03  -2.35264382e-02   3.86208185e-15   3.67527397e-15  -6.62066141e-16
  8.80000000e-07  -2.46995796e-03  -1.38430085e-03  -2.26858696e-02   3.32873064e-15   3.99379169e-15  -6.06123291e-16
  9.60000000e-07  -2.34335453e-03  -1.30701537e-03  -2.18822570e-02   2.81194336e-15   4.18700093e-15  -5.51216211e-16
  1.04000000e-06  -2.18859748e-03  -1.23086919e-03  -2.12245219e-02   2.30550403e-15   4.42993799e-15  -4.94639858e-16
  1.12000000e-06  -2.06884284e-03  -1.17046375e-03  -2.06422857e-02   1.83547361e-15   4.58612845e-15  -4.44001389e-16
  1.20000000e-06  -1.94213726e-03  -1.08950313e-03  -2.00791836e-02   1.33517233e-15   4.71549526e-15  -3.85007425e-16
  1.28000000e-06  -1.80885979e-03  -1.01483114e-03  -1.96360947e-02   8.50443669e-16   4.86301177e-15  -3.29671925e-16
  1.36000000e-06  -1.69754552e-03  -9.49185206e-04  -1.92254849e-02   3.89398099e-16   4.94438326e-15  -2.78492660e-16
  1.44000000e-06  -1.57069602e-03  -8.78257365e-04  -1.88864453e-02  -7.91627841e-17   5.04886165e-15  -2.28198541e-16
  1.52000000e-06  -1.44505592e-03  -8.08183792e-04  -1.85437882e-02  -5.38824287e-16   5.11551608e-15  -1.80957954e-16
  1.60000000e-06  -1.32950651e-03  -7.45003577e-04  -1.82601109e-02  -9.83849354e-16   5.15674285e-15  -1.38759166e-16
  1.68000000e-06  -1.21251652e-03  -6.78927855e-04  -1.79950061e-02  -1.42743226e-15   5.17921631e-15  -9.92235855e-17
  1.76000000e-06  -1.08048654e-03  -6.03710399e-04  -1.77611944e-02  -1.88536148e-15   5.21319421e-15  -6.25043463e-17
  1.84000000e-06  -9.49491687e-04  -5.31261327e-04  -1.75835473e-02  -2.34077318e-15   5.23959938e-15  -3.19077733e-17
  1.92000000e-06  -8.25732962e-04  -4.56371375e-04  -1.74336683e-02  -2.80001420e-15   5.23647629e-15  -4.45768851e-18
  2.00000000e-06  -6.83210896e-04  -3.83509599e-04  -1.73456824e-02  -3.26421271e-15   5.26333597e-15   1.21993366e-17
  2.08000000e-06  -5.40813909e-04  -3.06273551e-04  -1.72476879e-02  -3.73097227e-15   5.25741867e-15   2.36294519e-17
  2.16000000e-06  -4.03724838e-04  -2.27559007e-04  -1.71889505e-02  -4.20598712e-15   5.22697462e-15   2.95897247e-17
  2.24000000e-06  -2.60439863e-04  -1.46395729e-04  -1.71707763e-02  -4.69329687e-15   5.19146542e-15   2.69244219e-17
  2.32000000e-06  -1.00897230e-04  -5.42920504e-05  -1.71557142e-02  -5.19834217e-15   5.15504945e-15   1.42588130e-17
  2.40000000e-06   5.79469120e-05   3.24296064e-05  -1.71475799e-02  -5.69133464e-15   5.08756560e-15  -9.61112408e-18
  2.48000000e-06   2.20840641e-04   1.23723076e-04  -1.71102704e-02  -6.17742467e-15   4.98742025e-15  -4.36677755e-17
  2.56000000e-06   3.94664050e-04   2.23200614e-04  -1.71144143e-02  -6.68524662e-15   4.88698026e-15  -9.04295921e-17
  2.64000000e-06   5.71938433e-04   3.15775424e-04  -1.71479436e-02  -7.18434095e-15   4.76576597e-15  -1.51860130e-16
  2.72000000e-06   7.63992953e-04   4.17121128e-04  -1.71927205e-02  -7.69693125e-15   4.63854639e-15  -2.29490471e-16
  2.80000000e-06   9.65800676e-04   5.25221983e-04  -1.72932398e-02  -8.23834197e-15   4.49960929e-15  -3.23438673e-16
  2.88000000e-06   1.17464328e-03   6.35953163e-04  -1.74099201e-02  -8.78444054e-15   4.33228210e-15  -4.34433675e-16
