     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.817265e+01   1.215417e+01   2.362082e+06   2.465516e+06   3.967311e+05   0.000000e+00   0.000000e+00   0.000000e+00   3.437382e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.827219e-01   1.837565e+01   1.218582e+01   2.204300e+06   2.607889e+06   3.944354e+05  -2.034320e+12   1.725537e+12  -3.976979e+10   3.437383e+06   1.468678e-17   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.524269e-01   1.858968e+01   1.221723e+01   2.036730e+06   2.741345e+06   3.903416e+05  -2.154081e+12   1.609426e+12  -6.312241e+10   3.437384e+06   1.492776e-17   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.083483e-01   1.881401e+01   1.224823e+01   1.859776e+06   2.865168e+06   3.842641e+05  -2.268579e+12   1.484492e+12  -8.899103e+10   3.437385e+06   1.518319e-17   0.000000e+00   0.000000e+00
       32000   3.199900e-07   7.497536e-01   1.904783e+01   1.227865e+01   1.673912e+06   2.978625e+06   3.760732e+05  -2.376935e+12   1.350358e+12  -1.152867e+11   3.437386e+06   1.544833e-17   0.000000e+00   0.000000e+00
       40000   3.999900e-07   8.759504e-01   1.929029e+01   1.230834e+01   1.479664e+06   3.080979e+06   3.657682e+05  -2.477987e+12   1.206972e+12  -1.421439e+11   3.437387e+06   1.571831e-17   0.000000e+00   0.000000e+00
       48000   4.799900e-07   9.862912e-01   1.954047e+01   1.233712e+01   1.277604e+06   3.171514e+06   3.533510e+05  -2.571925e+12   1.054795e+12  -1.678787e+11   3.437387e+06   1.600342e-17   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.080176e+00   1.979740e+01   1.236482e+01   1.068383e+06   3.249512e+06   3.389195e+05  -2.657290e+12   8.937780e+11  -1.925528e+11   3.437388e+06   1.629547e-17   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.157060e+00   2.006004e+01   1.239130e+01   8.527064e+05   3.314278e+06   3.226391e+05  -2.733325e+12   7.241460e+11  -2.145333e+11   3.437389e+06   1.659340e-17   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.216457e+00   2.032731e+01   1.241640e+01   6.313462e+05   3.365142e+06   3.047467e+05  -2.798951e+12   5.462254e+11  -2.327747e+11   3.437390e+06   1.689301e-17   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.257947e+00   2.059808e+01   1.244002e+01   4.051575e+05   3.401469e+06   2.855072e+05  -2.853762e+12   3.607346e+11  -2.477046e+11   3.437391e+06   1.720000e-17   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.281178e+00   2.087114e+01   1.246206e+01   1.750506e+05   3.422667e+06   2.652754e+05  -2.896862e+12   1.681591e+11  -2.577340e+11   3.437392e+06   1.751174e-17   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.285877e+00   2.114528e+01   1.248245e+01  -5.798220e+04   3.428204e+06   2.443964e+05  -2.926768e+12  -3.070252e+10  -2.633410e+11   3.437393e+06   1.782076e-17   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.271850e+00   2.141923e+01   1.250115e+01  -2.929178e+05   3.417606e+06   2.232600e+05  -2.944042e+12  -2.350535e+11  -2.640595e+11   3.437394e+06   1.814288e-17   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.238988e+00   2.169166e+01   1.251817e+01  -5.286626e+05   3.390469e+06   2.022937e+05  -2.946901e+12  -4.439979e+11  -2.593535e+11   3.437395e+06   1.846533e-17   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.187273e+00   2.196125e+01   1.253354e+01  -7.640490e+05   3.346465e+06   1.819233e+05  -2.934936e+12  -6.565272e+11  -2.489987e+11   3.437396e+06   1.879189e-17   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.116781e+00   2.222664e+01   1.254731e+01  -9.979023e+05   3.285341e+06   1.625611e+05  -2.908523e+12  -8.718324e+11  -2.341414e+11   3.437397e+06   1.913763e-17   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.027683e+00   2.248644e+01   1.255958e+01  -1.228995e+06   3.206925e+06   1.446008e+05  -2.865952e+12  -1.088647e+12  -2.139505e+11   3.437398e+06   1.948882e-17   0.000000e+00   0.000000e+00
      144000   1.439990e-06   9.202503e-01   2.273928e+01   1.257049e+01  -1.456032e+06   3.111140e+06   1.284226e+05  -2.807289e+12  -1.305979e+12  -1.894058e+11   3.437400e+06   1.985556e-17   0.000000e+00   0.000000e+00
      152000   1.519990e-06   7.948602e-01   2.298376e+01   1.258019e+01  -1.677713e+06   2.997987e+06   1.143583e+05  -2.731720e+12  -1.522530e+12  -1.610616e+11   3.437401e+06   2.023526e-17   0.000000e+00   0.000000e+00
      160000   1.599990e-06   6.519947e-01   2.321850e+01   1.258885e+01  -1.892699e+06   2.867557e+06   1.026529e+05  -2.639623e+12  -1.737561e+12  -1.301125e+11   3.437402e+06   2.064245e-17   0.000000e+00   0.000000e+00
      168000   1.679990e-06   4.922438e-01   2.344212e+01   1.259668e+01  -2.099617e+06   2.720037e+06   9.352590e+04  -2.530728e+12  -1.950089e+12  -9.778075e+10   3.437403e+06   2.108267e-17   0.000000e+00   0.000000e+00
      176000   1.759990e-06   3.163074e-01   2.365326e+01   1.260389e+01  -2.297099e+06   2.555682e+06   8.701545e+04  -2.403535e+12  -2.158094e+12  -6.494282e+10   3.437404e+06   2.153991e-17   0.000000e+00   0.000000e+00
      184000   1.839990e-06   1.249971e-01   2.385059e+01   1.261068e+01  -2.483732e+06   2.374852e+06   8.312140e+04  -2.259226e+12  -2.361617e+12  -3.266796e+10   3.437405e+06   2.204307e-17   0.000000e+00   0.000000e+00
