     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   2.298333e+01   1.030541e+01   1.000000e-01  -2.223745e+04  -1.156930e+05   8.863605e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-09   2.298314e+01   1.030449e+01   1.007086e-01  -2.359964e+04  -1.155100e+05   8.852241e+04  -1.701498e+11   2.284653e+10  -1.554908e+10   1.474304e+05   2.301324e-26   0.000000e+00   0.000000e+00
       16000   1.599900e-08   2.298295e+01   1.030356e+01   1.014163e-01  -2.495974e+04  -1.153274e+05   8.838727e+04  -1.698663e+11   2.278861e+10  -1.823380e+10   1.474304e+05   2.300679e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-08   2.298275e+01   1.030264e+01   1.021228e-01  -2.631739e+04  -1.151454e+05   8.823068e+04  -1.695413e+11   2.272508e+10  -2.091297e+10   1.474304e+05   2.300034e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-08   2.298253e+01   1.030172e+01   1.028279e-01  -2.767228e+04  -1.149638e+05   8.805268e+04  -1.691747e+11   2.265597e+10  -2.358594e+10   1.474304e+05   2.299388e-26   0.000000e+00   0.000000e+00
       40000   3.999900e-08   2.298230e+01   1.030080e+01   1.035316e-01  -2.902408e+04  -1.147829e+05   8.785332e+04  -1.687668e+11   2.258128e+10  -2.625203e+10   1.474304e+05   2.298742e-26   0.000000e+00   0.000000e+00
       48000   4.799900e-08   2.298206e+01   1.029988e+01   1.042335e-01  -3.037238e+04  -1.146026e+05   8.763268e+04  -1.682581e+11   2.250171e+10  -2.888896e+10   1.474304e+05   2.296447e-26   0.000000e+00   0.000000e+00
       56000   5.599900e-08   2.298182e+01   1.029897e+01   1.049336e-01  -3.171652e+04  -1.144229e+05   8.739097e+04  -1.677689e+11   2.241556e+10  -3.153829e+10   1.474304e+05   2.295813e-26   0.000000e+00   0.000000e+00
       64000   6.399900e-08   2.298156e+01   1.029805e+01   1.056317e-01  -3.305658e+04  -1.142439e+05   8.712809e+04  -1.672386e+11   2.232390e+10  -3.417884e+10   1.474304e+05   2.295178e-26   0.000000e+00   0.000000e+00
       72000   7.199900e-08   2.298129e+01   1.029714e+01   1.063276e-01  -3.439223e+04  -1.140657e+05   8.684413e+04  -1.666677e+11   2.222678e+10  -3.680996e+10   1.474304e+05   2.294542e-26   0.000000e+00   0.000000e+00
       80000   7.999900e-08   2.298101e+01   1.029623e+01   1.070212e-01  -3.572315e+04  -1.138883e+05   8.653916e+04  -1.660561e+11   2.212420e+10  -3.943102e+10   1.474304e+05   2.293906e-26   0.000000e+00   0.000000e+00
       88000   8.799900e-08   2.298072e+01   1.029532e+01   1.077122e-01  -3.704902e+04  -1.137117e+05   8.621326e+04  -1.654040e+11   2.201621e+10  -4.204138e+10   1.474304e+05   2.293270e-26   0.000000e+00   0.000000e+00
       96000   9.599900e-08   2.298041e+01   1.029441e+01   1.084005e-01  -3.836951e+04  -1.135361e+05   8.586652e+04  -1.647117e+11   2.190283e+10  -4.464040e+10   1.474304e+05   2.292632e-26   0.000000e+00   0.000000e+00
      104000   1.039990e-07   2.298010e+01   1.029350e+01   1.090860e-01  -3.968430e+04  -1.133613e+05   8.549904e+04  -1.639794e+11   2.178409e+10  -4.722746e+10   1.474304e+05   2.291994e-26   0.000000e+00   0.000000e+00
      112000   1.119990e-07   2.297978e+01   1.029259e+01   1.097685e-01  -4.099307e+04  -1.131875e+05   8.511091e+04  -1.632071e+11   2.166002e+10  -4.980192e+10   1.474304e+05   2.291355e-26   0.000000e+00   0.000000e+00
      120000   1.199990e-07   2.297945e+01   1.029169e+01   1.104477e-01  -4.229550e+04  -1.130148e+05   8.470224e+04  -1.623953e+11   2.153065e+10  -5.236317e+10   1.474304e+05   2.290715e-26   0.000000e+00   0.000000e+00
      128000   1.279990e-07   2.297910e+01   1.029079e+01   1.111236e-01  -4.359129e+04  -1.128431e+05   8.427314e+04  -1.615440e+11   2.139602e+10  -5.491059e+10   1.474304e+05   2.290074e-26   0.000000e+00   0.000000e+00
      136000   1.359990e-07   2.297875e+01   1.028988e+01   1.117960e-01  -4.488010e+04  -1.126724e+05   8.382371e+04  -1.606535e+11   2.125616e+10  -5.744355e+10   1.474304e+05   2.289433e-26   0.000000e+00   0.000000e+00
      144000   1.439990e-07   2.297838e+01   1.028898e+01   1.124648e-01  -4.616164e+04  -1.125030e+05   8.335408e+04  -1.597241e+11   2.111111e+10  -5.996145e+10   1.474304e+05   2.288790e-26   0.000000e+00   0.000000e+00
      152000   1.519990e-07   2.297801e+01   1.028808e+01   1.131297e-01  -4.743558e+04  -1.123347e+05   8.286437e+04  -1.587559e+11   2.096090e+10  -6.246369e+10   1.474304e+05   2.288146e-26   0.000000e+00   0.000000e+00
      160000   1.599990e-07   2.297763e+01   1.028719e+01   1.137906e-01  -4.870163e+04  -1.121676e+05   8.235470e+04  -1.577493e+11   2.080557e+10  -6.494965e+10   1.474304e+05   2.287500e-26   0.000000e+00   0.000000e+00
      168000   1.679990e-07   2.297723e+01   1.028629e+01   1.144473e-01  -4.995947e+04  -1.120018e+05   8.182521e+04  -1.567046e+11   2.064516e+10  -6.741874e+10   1.474304e+05   2.286854e-26   0.000000e+00   0.000000e+00
      176000   1.759990e-07   2.297683e+01   1.028539e+01   1.150997e-01  -5.120880e+04  -1.118373e+05   8.127604e+04  -1.556219e+11   2.047971e+10  -6.987037e+10   1.474304e+05   2.286206e-26   0.000000e+00   0.000000e+00
      184000   1.839990e-07   2.297641e+01   1.028450e+01   1.157476e-01  -5.244932e+04  -1.116741e+05   8.070733e+04  -1.545017e+11   2.030927e+10  -7.230394e+10   1.474304e+05   2.285557e-26   0.000000e+00   0.000000e+00
      192000   1.919990e-07   2.297599e+01   1.028361e+01   1.163910e-01  -5.368073e+04  -1.115124e+05   8.011923e+04  -1.533441e+11   2.013387e+10  -7.471887e+10   1.474304e+05   2.284907e-26   0.000000e+00   0.000000e+00
      200000   1.999990e-07   2.297555e+01   1.028272e+01   1.170295e-01  -5.490272e+04  -1.113520e+05   7.951188e+04  -1.521495e+11   1.995356e+10  -7.711458e+10   1.474304e+05   2.284256e-26   0.000000e+00   0.000000e+00
      208000   2.079990e-07   2.297511e+01   1.028183e+01   1.176631e-01  -5.611502e+04  -1.111931e+05   7.888545e+04  -1.509183e+11   1.976838e+10  -7.949050e+10   1.474304e+05   2.283603e-26   0.000000e+00   0.000000e+00
      216000   2.159990e-07   2.297466e+01   1.028094e+01   1.182916e-01  -5.731732e+04  -1.110357e+05   7.824008e+04  -1.496506e+11   1.957839e+10  -8.184605e+10   1.474304e+05   2.282948e-26   0.000000e+00   0.000000e+00
      224000   2.239990e-07   2.297419e+01   1.028005e+01   1.189149e-01  -5.850933e+04  -1.108799e+05   7.757596e+04  -1.483470e+11   1.938362e+10  -8.418068e+10   1.474304e+05   2.282292e-26   0.000000e+00   0.000000e+00
      232000   2.319990e-07   2.297372e+01   1.027916e+01   1.195328e-01  -5.969077e+04  -1.107256e+05   7.689325e+04  -1.470076e+11   1.918413e+10  -8.649383e+10   1.474304e+05   2.281635e-26   0.000000e+00   0.000000e+00
      240000   2.399990e-07   2.297324e+01   1.027828e+01   1.201451e-01  -6.086136e+04  -1.105730e+05   7.619212e+04  -1.456329e+11   1.897997e+10  -8.878494e+10   1.474304e+05   2.280976e-26   0.000000e+00   0.000000e+00
      248000   2.479990e-07   2.297275e+01   1.027739e+01   1.207518e-01  -6.202080e+04  -1.104219e+05   7.547275e+04  -1.442231e+11   1.877118e+10  -9.105347e+10   1.474304e+05   2.280315e-26   0.000000e+00   0.000000e+00
