       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00  -6.80973140e-03  -1.11601435e-02  -2.29930040e-04  -1.40280131e-16   8.53846312e-17   1.02869318e-17
  8.00000000e-09  -6.80771707e-03  -1.11576972e-02  -2.28372043e-04  -1.40142799e-16   8.52622618e-17   1.19192668e-17
  1.60000000e-08  -6.80679276e-03  -1.11561238e-02  -2.27664756e-04  -1.40017024e-16   8.51532033e-17   1.35602278e-17
  2.40000000e-08  -6.80586431e-03  -1.11545518e-02  -2.26958090e-04  -1.39877178e-16   8.50357410e-17   1.51989178e-17
  3.20000000e-08  -6.80493174e-03  -1.11529812e-02  -2.26252116e-04  -1.39723288e-16   8.49098934e-17   1.68351731e-17
  4.00000000e-08  -6.80399504e-03  -1.11514119e-02  -2.25546906e-04  -1.39555380e-16   8.47756802e-17   1.84688308e-17
  4.80000000e-08  -6.80305421e-03  -1.11498439e-02  -2.24842531e-04  -1.39373484e-16   8.46331215e-17   2.00997282e-17
  5.60000000e-08  -6.80210927e-03  -1.11482773e-02  -2.24139062e-04  -1.39177630e-16   8.44822385e-17   2.17277032e-17
  6.40000000e-08  -6.80116021e-03  -1.11467120e-02  -2.23436571e-04  -1.38967849e-16   8.43230529e-17   2.33525941e-17
  7.20000000e-08  -6.80020705e-03  -1.11451480e-02  -2.22735128e-04  -1.38744175e-16   8.41555875e-17   2.49742398e-17
  8.00000000e-08  -6.79924978e-03  -1.11435853e-02  -2.22034803e-04  -1.38506642e-16   8.39798658e-17   2.65924795e-17
  8.80000000e-08  -6.79828841e-03  -1.11420240e-02  -2.21335668e-04  -1.38255286e-16   8.37959121e-17   2.82071531e-17
  9.60000000e-08  -6.79732296e-03  -1.11404640e-02  -2.20637794e-04  -1.37990145e-16   8.36037513e-17   2.98181011e-17
  1.04000000e-07  -6.79635342e-03  -1.11389053e-02  -2.19941249e-04  -1.37711256e-16   8.34034094e-17   3.14251644e-17
  1.12000000e-07  -6.79537981e-03  -1.11373479e-02  -2.19246105e-04  -1.37418660e-16   8.31949130e-17   3.30281844e-17
  1.20000000e-07  -6.79440213e-03  -1.11357917e-02  -2.18552430e-04  -1.37112398e-16   8.29782896e-17   3.46270035e-17
  1.28000000e-07  -6.79342038e-03  -1.11342369e-02  -2.17860296e-04  -1.36792513e-16   8.27535672e-17   3.62214641e-17
  1.36000000e-07  -6.79243459e-03  -1.11326834e-02  -2.17169771e-04  -1.36459048e-16   8.25207749e-17   3.78114097e-17
  1.44000000e-07  -6.79144475e-03  -1.11311312e-02  -2.16480925e-04  -1.36112049e-16   8.22799424e-17   3.93966843e-17
  1.52000000e-07  -6.79045088e-03  -1.11295802e-02  -2.15793827e-04  -1.35751563e-16   8.20311003e-17   4.09771325e-17
