     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.431756e+01   5.726119e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   3.371951e-01   1.441816e+01   5.566189e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   5.743901e-01   1.451877e+01   5.406258e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   8.115852e-01   1.461937e+01   5.246328e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.048780e+00   1.471998e+01   5.086397e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.285975e+00   1.482058e+01   4.926467e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.523170e+00   1.492119e+01   4.766536e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.760365e+00   1.502179e+01   4.606606e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.997560e+00   1.512240e+01   4.446675e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   2.234756e+00   1.522300e+01   4.286745e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   2.471951e+00   1.532361e+01   4.126814e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   2.709146e+00   1.542421e+01   3.966884e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   2.946341e+00   1.552481e+01   3.806953e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      104000   1.039990e-06   3.183536e+00   1.562542e+01   3.647023e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      112000   1.119990e-06   3.420731e+00   1.572602e+01   3.487092e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      120000   1.199990e-06   3.657926e+00   1.582663e+01   3.327162e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      128000   1.279990e-06   3.895121e+00   1.592723e+01   3.167231e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      136000   1.359990e-06   4.132316e+00   1.602784e+01   3.007301e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      144000   1.439990e-06   4.369511e+00   1.612844e+01   2.847370e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      152000   1.519990e-06   4.606706e+00   1.622905e+01   2.687440e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      160000   1.599990e-06   4.843901e+00   1.632965e+01   2.527509e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
      168000   1.679990e-06   5.081096e+00   1.643026e+01   2.367579e+00   2.964938e+06   1.257561e+06  -1.999131e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.790626e+06   0.000000e+00   0.000000e+00   0.000000e+00
