       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -7.47852262e-07   1.38130507e-18   4.65243883e-19   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00   2.67038414e-07  -4.93226960e-19  -1.66128825e-19  -5.43516539e-42
  1.60000000e-07   0.00000000e+00   0.00000000e+00   1.27432792e-06  -2.35371457e-18  -7.92787139e-19  -1.24137861e-40
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -4.63585399e-07   8.56252989e-19   2.88408013e-19  -1.64348830e-41
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -4.63515527e-07   8.56123863e-19   2.88364751e-19  -1.64299526e-41
  4.00000000e-07   0.00000000e+00   0.00000000e+00   7.93199456e-08  -1.46505766e-19  -4.93469541e-20  -4.80014340e-43
  4.80000000e-07   0.00000000e+00   0.00000000e+00   4.78765195e-13  -8.84290361e-25  -2.97851928e-25  -1.75433553e-53
  5.60000000e-07   0.00000000e+00   0.00000000e+00   7.36138202e-13  -1.35966424e-24  -4.57970181e-25  -4.14470968e-53
  6.40000000e-07   0.00000000e+00   0.00000000e+00   4.46311557e-13  -8.24347743e-25  -2.77661700e-25  -1.52408338e-53
  7.20000000e-07   0.00000000e+00   0.00000000e+00   1.29685041e-13  -2.39531263e-25  -8.06803416e-26  -1.28989872e-54
  8.00000000e-07   0.00000000e+00   0.00000000e+00   7.80053606e-14  -1.44077701e-25  -4.85291064e-26  -4.65994266e-55
  8.80000000e-07   0.00000000e+00   0.00000000e+00   3.34998779e-13  -6.18750474e-25  -2.08411207e-25  -8.59438191e-54
  9.60000000e-07   0.00000000e+00   0.00000000e+00   3.09049951e-13  -5.70822391e-25  -1.92267786e-25  -7.30159052e-54
  1.04000000e-06   0.00000000e+00   0.00000000e+00   6.15818585e-13  -1.13743113e-24  -3.83116306e-25  -2.90098073e-53
  1.12000000e-06   0.00000000e+00   0.00000000e+00   8.26787954e-13  -1.52709643e-24  -5.14365683e-25  -5.22777902e-53
  1.20000000e-06   0.00000000e+00   0.00000000e+00   1.20607442e-12  -2.22764728e-24  -7.50329378e-25  -1.11308827e-52
  1.28000000e-06   0.00000000e+00   0.00000000e+00   3.26155281e-13  -6.02416330e-25  -2.02909444e-25  -8.14090281e-54
  1.36000000e-06   0.00000000e+00   0.00000000e+00   4.19139345e-13  -7.74160041e-25  -2.60757180e-25  -1.34292074e-53
  1.44000000e-06   0.00000000e+00   0.00000000e+00   8.97410492e-13  -1.65753788e-24  -5.58301749e-25  -6.16115226e-53
  1.52000000e-06   0.00000000e+00   0.00000000e+00   7.54992623e-13  -1.39448879e-24  -4.69699993e-25  -4.36065417e-53
  1.60000000e-06   0.00000000e+00   0.00000000e+00   9.30124591e-13  -1.71796158e-24  -5.78654017e-25  -6.61660004e-53
  1.68000000e-06   0.00000000e+00   0.00000000e+00   7.53625704e-13  -1.39196406e-24  -4.68849598e-25  -4.34440817e-53
  1.76000000e-06   0.00000000e+00   0.00000000e+00   9.78448322e-13  -1.80721662e-24  -6.08717431e-25  -7.32183359e-53
  1.84000000e-06   0.00000000e+00   0.00000000e+00   7.69691977e-13  -1.42163884e-24  -4.78844833e-25  -4.53067266e-53
  1.92000000e-06   0.00000000e+00   0.00000000e+00   3.69790170e-13  -6.83010976e-25  -2.30055811e-25  -1.04549704e-53
  2.00000000e-06   0.00000000e+00   0.00000000e+00   5.32628390e-13  -9.83776926e-25  -3.31361584e-25  -2.17093484e-53
  2.08000000e-06   0.00000000e+00   0.00000000e+00   1.91211352e-13  -3.53171779e-25  -1.18957415e-25  -2.79765261e-54
  2.16000000e-06   0.00000000e+00   0.00000000e+00   6.44189167e-13  -1.18983225e-24  -4.00766362e-25  -3.17451811e-53
  2.24000000e-06   0.00000000e+00   0.00000000e+00  -8.23486310e-14   1.52099821e-25   5.12311646e-26  -5.18559582e-55
  2.32000000e-06   0.00000000e+00   0.00000000e+00   1.71051101e-13  -3.15935330e-25  -1.06415213e-25  -2.23810691e-54
  2.40000000e-06   2.39842967e-13   1.78871139e-13   3.29204536e-13  -1.51307920e-24   1.00872234e-24   5.54275751e-25
