       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.95060845e-04   9.44418648e-05  -1.23427213e-02  -2.52516612e-14   6.26121565e-14   8.00146440e-17
  8.00000000e-08   4.20003405e-04   2.01841531e-04  -1.24111061e-02  -2.82501459e-14   6.17997576e-14   4.90367426e-17
  1.60000000e-07   6.36845287e-04   3.03786331e-04  -1.24835093e-02  -3.12483345e-14   6.08540256e-14  -1.13248075e-16
  2.40000000e-07   8.56000662e-04   4.04110101e-04  -1.25584157e-02  -3.42382927e-14   5.97663873e-14  -4.10545450e-16
  3.20000000e-07   1.06373547e-03   4.98530336e-04  -1.26391730e-02  -3.72227737e-14   5.85446183e-14  -8.23544110e-16
  4.00000000e-07   1.27053188e-03   5.84218715e-04  -1.27238529e-02  -4.01903984e-14   5.71770955e-14  -1.38788567e-15
  4.80000000e-07   1.47077729e-03   6.68377994e-04  -1.28121900e-02  -4.31359461e-14   5.56558295e-14  -2.04838035e-15
  5.60000000e-07   1.66521771e-03   7.41564140e-04  -1.29100013e-02  -4.60710678e-14   5.39994290e-14  -2.84076796e-15
  6.40000000e-07   1.84478867e-03   8.11576971e-04  -1.30105706e-02  -4.89682464e-14   5.21705371e-14  -3.68897424e-15
  7.20000000e-07   2.02343499e-03   8.73364781e-04  -1.31202431e-02  -5.18426937e-14   5.01909891e-14  -4.65427947e-15
  8.00000000e-07   2.19580933e-03   9.30128660e-04  -1.32353966e-02  -5.46744825e-14   4.80374175e-14  -5.69486220e-15
  8.80000000e-07   2.35906952e-03   9.82150144e-04  -1.33582715e-02  -5.74643598e-14   4.57102485e-14  -6.78741203e-15
  9.60000000e-07   2.51417200e-03   1.02178980e-03  -1.34844360e-02  -6.01828588e-14   4.31878387e-14  -7.94850932e-15
  1.04000000e-06   2.66043987e-03   1.05718612e-03  -1.36175383e-02  -6.28366642e-14   4.04766509e-14  -9.13394258e-15
  1.12000000e-06   2.79867264e-03   1.08629919e-03  -1.37547547e-02  -6.54016857e-14   3.75627739e-14  -1.03406786e-14
  1.20000000e-06   2.92942299e-03   1.10461075e-03  -1.38973013e-02  -6.78710359e-14   3.44459943e-14  -1.15686891e-14
  1.28000000e-06   3.05336641e-03   1.11952611e-03  -1.40437854e-02  -7.02254087e-14   3.11200592e-14  -1.27874487e-14
  1.36000000e-06   3.16678572e-03   1.12870988e-03  -1.41945637e-02  -7.24525818e-14   2.75844412e-14  -1.39706280e-14
  1.44000000e-06   3.27479502e-03   1.13354700e-03  -1.43460788e-02  -7.45191106e-14   2.38337585e-14  -1.51273480e-14
  1.52000000e-06   3.37009895e-03   1.12752319e-03  -1.44961520e-02  -7.63982286e-14   1.98708910e-14  -1.62156619e-14
  1.60000000e-06   3.46101474e-03   1.11526085e-03  -1.46449605e-02  -7.80740910e-14   1.57046808e-14  -1.72551346e-14
  1.68000000e-06   3.53982847e-03   1.09979153e-03  -1.47928395e-02  -7.95316913e-14   1.13482243e-14  -1.81877093e-14
  1.76000000e-06   3.60195743e-03   1.07762656e-03  -1.49349763e-02  -8.07302319e-14   6.81456600e-15  -1.89784903e-14
  1.84000000e-06   3.65918174e-03   1.05044758e-03  -1.50752822e-02  -8.16754698e-14   2.12110364e-15  -1.96770631e-14
  1.92000000e-06   3.70263904e-03   1.01867472e-03  -1.52066041e-02  -8.23144876e-14  -2.70931186e-15  -2.02241567e-14
  2.00000000e-06   3.73535306e-03   9.81213840e-04  -1.53307905e-02  -8.26459276e-14  -7.64993986e-15  -2.06263301e-14
  2.08000000e-06   3.75242333e-03   9.39828919e-04  -1.54487534e-02  -8.26638915e-14  -1.26701832e-14  -2.08494311e-14
  2.16000000e-06   3.75461155e-03   8.95773760e-04  -1.55559314e-02  -8.23354152e-14  -1.77361233e-14  -2.08939629e-14
  2.24000000e-06   3.74196923e-03   8.48751128e-04  -1.56526205e-02  -8.16576936e-14  -2.28126131e-14  -2.07583648e-14
  2.32000000e-06   3.71383925e-03   7.97276671e-04  -1.57411078e-02  -8.06423353e-14  -2.78669780e-14  -2.04375935e-14
  2.40000000e-06   3.65888938e-03   7.42171743e-04  -1.58201139e-02  -7.92834009e-14  -3.28517827e-14  -1.98779136e-14
  2.48000000e-06   3.60355078e-03   6.91236699e-04  -1.58946496e-02  -7.76019999e-14  -3.77675782e-14  -1.92359750e-14
  2.56000000e-06   3.51667777e-03   6.36249024e-04  -1.59575078e-02  -7.55748459e-14  -4.25371954e-14  -1.83510253e-14
  2.64000000e-06   3.41696610e-03   5.81855162e-04  -1.60164222e-02  -7.32437282e-14  -4.71646022e-14  -1.73393471e-14
  2.72000000e-06   3.29654407e-03   5.26984815e-04  -1.60665601e-02  -7.05971926e-14  -5.15993640e-14  -1.61776283e-14
  2.80000000e-06   3.15286887e-03   4.72451931e-04  -1.61134083e-02  -6.76710607e-14  -5.58261354e-14  -1.48778670e-14
  2.88000000e-06   2.99700754e-03   4.21049767e-04  -1.61572329e-02  -6.44741696e-14  -5.98374404e-14  -1.35186584e-14
  2.96000000e-06   2.82425114e-03   3.71726978e-04  -1.62004458e-02  -6.10291495e-14  -6.36162341e-14  -1.20990199e-14
  3.04000000e-06   2.63763966e-03   3.27158898e-04  -1.62456266e-02  -5.73536273e-14  -6.71601190e-14  -1.06644229e-14
  3.12000000e-06   2.42477761e-03   2.80806239e-04  -1.62874358e-02  -5.34497720e-14  -7.04163446e-14  -9.17131224e-15
  3.20000000e-06   2.19795519e-03   2.38346772e-04  -1.63343470e-02  -4.93515611e-14  -7.34236034e-14  -7.71214169e-15
  3.28000000e-06   1.96189821e-03   1.99872940e-04  -1.63863218e-02  -4.50665361e-14  -7.61811965e-14  -6.32494086e-15
  3.36000000e-06   1.70906191e-03   1.65117537e-04  -1.64432944e-02  -4.06046972e-14  -7.86695062e-14  -5.01028898e-15
  3.44000000e-06   1.44057374e-03   1.30348491e-04  -1.65065900e-02  -3.59842329e-14  -8.08892907e-14  -3.77920199e-15
  3.52000000e-06   1.15730141e-03   9.87888746e-05  -1.65758417e-02  -3.12079177e-14  -8.28336117e-14  -2.67256452e-15
  3.60000000e-06   8.64446691e-04   7.03661666e-05  -1.66542386e-02  -2.62892171e-14  -8.45197658e-14  -1.72166133e-15
  3.68000000e-06   5.64952002e-04   4.43158463e-05  -1.67414455e-02  -2.12354999e-14  -8.59441462e-14  -9.44107592e-16
  3.76000000e-06   2.55370972e-04   2.01409138e-05  -1.68375066e-02  -1.60537137e-14  -8.70939315e-14  -3.47664532e-16
