     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.593624e+01   2.303248e+00  -4.624184e+01   1.712382e+06  -3.016900e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.468997e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   9.931338e-02   1.607312e+01   2.061834e+00  -1.682560e+04   1.709535e+06  -3.018468e+06  -1.985721e+11  -3.694548e+10  -1.981763e+10   3.468997e+06   2.137618e-19   0.000000e+00   0.000000e+00
       16000   1.599900e-07   9.735528e-02   1.620976e+01   1.820292e+00  -3.183397e+04   1.706503e+06  -3.020062e+06  -1.765217e+11  -3.876454e+10  -2.004354e+10   3.468997e+06   1.715991e-19   0.000000e+00   0.000000e+00
       24000   2.399900e-07   9.426703e-02   1.634616e+01   1.578624e+00  -4.507010e+04   1.703397e+06  -3.021646e+06  -1.541213e+11  -3.908541e+10  -1.973493e+10   3.468997e+06   1.332267e-19   0.000000e+00   0.000000e+00
       32000   3.199900e-07   9.019273e-02   1.648231e+01   1.336829e+00  -5.648226e+04   1.700248e+06  -3.023228e+06  -1.312669e+11  -3.911348e+10  -1.954485e+10   3.468997e+06   9.934966e-20   0.000000e+00   0.000000e+00
       40000   3.999900e-07   8.527873e-02   1.661820e+01   1.094909e+00  -6.605691e+04   1.697144e+06  -3.024777e+06  -1.080771e+11  -3.834318e+10  -1.915340e+10   3.468997e+06   7.015622e-20   0.000000e+00   0.000000e+00
       48000   4.799900e-07   7.967395e-02   1.675385e+01   8.528650e-01  -7.374297e+04   1.694095e+06  -3.026309e+06  -8.417682e+10  -3.756320e+10  -1.897634e+10   3.468997e+06   4.596695e-20   0.000000e+00   0.000000e+00
       56000   5.599900e-07   7.353019e-02   1.688926e+01   6.107002e-01  -7.953440e+04   1.691157e+06  -3.027805e+06  -6.045059e+10  -3.570646e+10  -1.835567e+10   3.468997e+06   2.733176e-20   0.000000e+00   0.000000e+00
       64000   6.399900e-07   6.699928e-02   1.702444e+01   3.684177e-01  -8.341321e+04   1.688378e+06  -3.029251e+06  -3.630693e+10  -3.387236e+10  -1.787930e+10   3.468997e+06   1.445560e-20   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.023636e-02   1.715940e+01   1.260209e-01  -8.532944e+04   1.685746e+06  -3.030663e+06  -1.154765e+10  -3.181615e+10  -1.737198e+10   3.468997e+06   7.512066e-21   0.000000e+00   0.000000e+00
