     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.543687e+00   2.073635e+01   3.809856e+05  -3.160109e+05   2.112727e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.353127e-01   9.517905e+00   2.090433e+01   4.981931e+05  -3.238998e+05   2.086989e+06   1.327180e+12   7.496950e+10  -3.051720e+11   2.169938e+06   1.997638e-18   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.792018e-01   9.492415e+00   2.107032e+01   5.963287e+05  -3.110129e+05   2.063079e+06   1.133133e+12   2.315464e+11  -2.926169e+11   2.169939e+06   1.528412e-18   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.303249e-01   9.468451e+00   2.123446e+01   6.792673e+05  -2.862028e+05   2.040911e+06   9.506142e+11   3.654212e+11  -2.651392e+11   2.169939e+06   1.189345e-18   0.000000e+00   0.000000e+00
       32000   3.199900e-07   2.875553e-01   9.446786e+00   2.139690e+01   7.496889e+05  -2.547733e+05   2.020320e+06   8.175846e+11   4.082687e+11  -2.518953e+11   2.169939e+06   9.649854e-19   0.000000e+00   0.000000e+00
       40000   3.999900e-07   3.499941e-01   9.427814e+00   2.155776e+01   8.096883e+05  -2.189920e+05   2.001270e+06   6.936519e+11   4.616089e+11  -2.301267e+11   2.169939e+06   8.024105e-19   0.000000e+00   0.000000e+00
       48000   4.799900e-07   4.168787e-01   9.411798e+00   2.171714e+01   8.610698e+05  -1.810517e+05   1.983536e+06   5.914989e+11   4.888040e+11  -2.121548e+11   2.169939e+06   6.806455e-19   0.000000e+00   0.000000e+00
       56000   5.599900e-07   4.875633e-01   9.398888e+00   2.187516e+01   9.049077e+05  -1.415546e+05   1.967166e+06   5.075560e+11   4.958409e+11  -1.977959e+11   2.169939e+06   5.826900e-19   0.000000e+00   0.000000e+00
       64000   6.399900e-07   5.614903e-01   9.389175e+00   2.203192e+01   9.422105e+05  -1.010717e+05   1.952092e+06   4.286471e+11   5.108932e+11  -1.804394e+11   2.169939e+06   5.125780e-19   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.381652e-01   9.382728e+00   2.218753e+01   9.737136e+05  -5.996042e+04   1.938279e+06   3.591528e+11   5.179618e+11  -1.643987e+11   2.169940e+06   4.556539e-19   0.000000e+00   0.000000e+00
       80000   7.999900e-07   7.171439e-01   9.379590e+00   2.234208e+01   9.999272e+05  -1.846310e+04   1.925732e+06   2.966292e+11   5.218971e+11  -1.490176e+11   2.169940e+06   4.108389e-19   0.000000e+00   0.000000e+00
       88000   8.799900e-07   7.980247e-01   9.379785e+00   2.249568e+01   1.021330e+06   2.337343e+04   1.914413e+06   2.398268e+11   5.219288e+11  -1.343169e+11   2.169940e+06   3.736783e-19   0.000000e+00   0.000000e+00
       96000   9.599900e-07   8.804370e-01   9.383338e+00   2.264842e+01   1.038258e+06   6.547991e+04   1.904303e+06   1.851773e+11   5.271922e+11  -1.190877e+11   2.169940e+06   3.505205e-19   0.000000e+00   0.000000e+00
      104000   1.039990e-06   9.640352e-01   9.390268e+00   2.280040e+01   1.051013e+06   1.078120e+05   1.895360e+06   1.341206e+11   5.322903e+11  -1.046486e+11   2.169940e+06   3.353440e-19   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.048494e+00   9.400595e+00   2.295171e+01   1.059806e+06   1.504149e+05   1.887545e+06   8.586842e+10   5.334678e+11  -9.072232e+10   2.169940e+06   3.223700e-19   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.133504e+00   9.414340e+00   2.310243e+01   1.064799e+06   1.932884e+05   1.880819e+06   3.901458e+10   5.382287e+11  -7.739876e+10   2.169940e+06   3.191591e-19   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.218765e+00   9.431526e+00   2.325266e+01   1.066129e+06   2.364120e+05   1.875131e+06  -5.740342e+09   5.406878e+11  -6.490329e+10   2.169940e+06   3.184990e-19   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.303990e+00   9.452172e+00   2.340248e+01   1.063928e+06   2.797591e+05   1.870410e+06  -4.991660e+10   5.434438e+11  -5.288824e+10   2.169940e+06   3.228273e-19   0.000000e+00   0.000000e+00
      144000   1.439990e-06   1.388898e+00   9.476295e+00   2.355195e+01   1.058195e+06   3.233940e+05   1.866623e+06  -9.338154e+10   5.483756e+11  -4.206657e+10   2.169940e+06   3.341945e-19   0.000000e+00   0.000000e+00
      152000   1.519990e-06   1.473209e+00   9.503926e+00   2.370116e+01   1.048981e+06   3.674842e+05   1.863661e+06  -1.365885e+11   5.516945e+11  -3.190335e+10   2.169940e+06   3.479767e-19   0.000000e+00   0.000000e+00
      160000   1.599990e-06   1.556644e+00   9.535096e+00   2.385016e+01   1.036332e+06   4.117749e+05   1.861477e+06  -1.791375e+11   5.541601e+11  -2.285275e+10   2.169940e+06   3.647997e-19   0.000000e+00   0.000000e+00
      168000   1.679990e-06   1.638933e+00   9.569813e+00   2.399902e+01   1.020320e+06   4.561905e+05   1.859967e+06  -2.209258e+11   5.561771e+11  -1.521751e+10   2.169940e+06   3.848448e-19   0.000000e+00   0.000000e+00
      176000   1.759990e-06   1.719802e+00   9.608094e+00   2.414777e+01   1.000828e+06   5.008852e+05   1.859059e+06  -2.658661e+11   5.617677e+11  -8.225138e+09   2.169940e+06   4.148716e-19   0.000000e+00   0.000000e+00
