       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.60904301e-04   1.01968688e-04  -8.20713083e-03  -2.61115771e-15   2.22605011e-14   2.25380541e-16
  8.00000000e-08   2.97465446e-04   1.86658794e-04  -8.22045940e-03  -3.27494219e-15   2.21398905e-14   3.84214916e-16
  1.60000000e-07   4.35311572e-04   2.75650978e-04  -8.23664607e-03  -3.93673612e-15   2.20057391e-14   5.28394287e-16
  2.40000000e-07   5.72947348e-04   3.61023148e-04  -8.25470918e-03  -4.60004624e-15   2.18560569e-14   6.36601250e-16
  3.20000000e-07   7.14593270e-04   4.51236261e-04  -8.27253106e-03  -5.25942002e-15   2.16832022e-14   7.28422887e-16
  4.00000000e-07   8.51981294e-04   5.36372228e-04  -8.29641828e-03  -5.92371046e-15   2.15076140e-14   7.82168418e-16
  4.80000000e-07   9.91742546e-04   6.23107475e-04  -8.32241930e-03  -6.58759955e-15   2.13152674e-14   8.10881962e-16
  5.60000000e-07   1.13696467e-03   7.11224821e-04  -8.34866094e-03  -7.24944591e-15   2.10994912e-14   8.10203936e-16
  6.40000000e-07   1.27485738e-03   7.95244994e-04  -8.38178530e-03  -7.91784979e-15   2.08826946e-14   7.77009776e-16
  7.20000000e-07   1.41386289e-03   8.77340199e-04  -8.41619256e-03  -8.58690214e-15   2.06457013e-14   7.09655985e-16
  8.00000000e-07   1.54796557e-03   9.57748201e-04  -8.45438004e-03  -9.25876954e-15   2.03968170e-14   6.15392057e-16
  8.80000000e-07   1.68503423e-03   1.03917589e-03  -8.49706836e-03  -9.93309095e-15   2.01332695e-14   4.92453363e-16
  9.60000000e-07   1.82188849e-03   1.11905516e-03  -8.54076118e-03  -1.06067817e-14   1.98466455e-14   3.37805660e-16
  1.04000000e-06   1.96091987e-03   1.19891039e-03  -8.58614972e-03  -1.12792876e-14   1.95366110e-14   1.51973430e-16
  1.12000000e-06   2.10014444e-03   1.27614240e-03  -8.63375487e-03  -1.19515543e-14   1.92042224e-14  -6.86454190e-17
  1.20000000e-06   2.23533837e-03   1.35272346e-03  -8.68563491e-03  -1.26252744e-14   1.88547934e-14  -3.12750739e-16
  1.28000000e-06   2.37441320e-03   1.42898146e-03  -8.73698046e-03  -1.32919500e-14   1.84726255e-14  -5.90998477e-16
  1.36000000e-06   2.51270070e-03   1.50329963e-03  -8.79118199e-03  -1.39564558e-14   1.80661661e-14  -8.99712381e-16
  1.44000000e-06   2.65058224e-03   1.57458598e-03  -8.84890768e-03  -1.46193588e-14   1.76352220e-14  -1.24101639e-15
  1.52000000e-06   2.79168114e-03   1.64672410e-03  -8.90835303e-03  -1.52747976e-14   1.71725853e-14  -1.61240293e-15
  1.60000000e-06   2.93460803e-03   1.71765362e-03  -8.96696615e-03  -1.59173345e-14   1.66723931e-14  -2.01559157e-15
  1.68000000e-06   3.08027472e-03   1.78806438e-03  -9.02732178e-03  -1.65493369e-14   1.61383177e-14  -2.45035610e-15
  1.76000000e-06   3.22940511e-03   1.85697285e-03  -9.08895040e-03  -1.71684707e-14   1.55676013e-14  -2.91951579e-15
  1.84000000e-06   3.37624491e-03   1.92356617e-03  -9.15091957e-03  -1.77713609e-14   1.49599780e-14  -3.41211163e-15
  1.92000000e-06   3.52308123e-03   1.98843784e-03  -9.21437369e-03  -1.83580286e-14   1.43152189e-14  -3.92993647e-15
  2.00000000e-06   3.66920063e-03   2.05064898e-03  -9.27928353e-03  -1.89267344e-14   1.36324325e-14  -4.47132066e-15
  2.08000000e-06   3.81419702e-03   2.11083361e-03  -9.34308054e-03  -1.94693756e-14   1.29065014e-14  -5.03223291e-15
  2.16000000e-06   3.95841931e-03   2.16788384e-03  -9.40824163e-03  -1.99894627e-14   1.21406622e-14  -5.61285861e-15
