     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   7.848854e+00   9.890083e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.636204e-01   7.794152e+00   9.870815e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.272409e-01   7.739449e+00   9.851548e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   5.908613e-01   7.684747e+00   9.832280e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   7.544818e-01   7.630045e+00   9.813013e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   9.181022e-01   7.575342e+00   9.793745e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.081723e+00   7.520640e+00   9.774477e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.245343e+00   7.465938e+00   9.755210e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.408964e+00   7.411235e+00   9.735942e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.572584e+00   7.356533e+00   9.716674e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.736204e+00   7.301831e+00   9.697407e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.899825e+00   7.247128e+00   9.678139e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   2.063445e+00   7.192426e+00   9.658872e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
      104000   1.039990e-06   2.227066e+00   7.137724e+00   9.639604e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
      112000   1.119990e-06   2.390686e+00   7.083021e+00   9.620336e+00   2.045255e+06  -6.837792e+05  -2.408452e+05   0.000000e+00   0.000000e+00   0.000000e+00   2.169938e+06   0.000000e+00   0.000000e+00   0.000000e+00
