     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   3.162265e+00   7.611199e+00   2.416245e+06  -3.638811e+06  -1.573313e+06   0.000000e+00   0.000000e+00   0.000000e+00   4.642682e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.942452e-01   2.871769e+00   7.485385e+00   2.439709e+06  -3.623728e+06  -1.571913e+06   2.868936e+11   1.834285e+11   2.241909e+10   4.642682e+06   5.727005e-19   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.903263e-01   2.582447e+00   7.359714e+00   2.462157e+06  -3.609456e+06  -1.569748e+06   2.745291e+11   1.737303e+11   3.112627e+10   4.642682e+06   5.238221e-19   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.881639e-01   2.294237e+00   7.234240e+00   2.483617e+06  -3.595913e+06  -1.567023e+06   2.623944e+11   1.650323e+11   3.716899e+10   4.642682e+06   4.793202e-19   0.000000e+00   0.000000e+00
       32000   3.199900e-07   8.876803e-01   2.007083e+00   7.109001e+00   2.504135e+06  -3.583023e+06  -1.563891e+06   2.506198e+11   1.572502e+11   4.102196e+10   4.642682e+06   4.387625e-19   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.088800e+00   1.720937e+00   6.984024e+00   2.523707e+06  -3.570731e+06  -1.560538e+06   2.390142e+11   1.501398e+11   4.299295e+10   4.642682e+06   4.008831e-19   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.291449e+00   1.435752e+00   6.859318e+00   2.542376e+06  -3.558973e+06  -1.557092e+06   2.280076e+11   1.436120e+11   4.403683e+10   4.642682e+06   3.666215e-19   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.495557e+00   1.151488e+00   6.734888e+00   2.560162e+06  -3.547690e+06  -1.553694e+06   2.168683e+11   1.383109e+11   4.153513e+10   4.642682e+06   3.338492e-19   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.701052e+00   8.681113e-01   6.610719e+00   2.577069e+06  -3.536789e+06  -1.550593e+06   2.060125e+11   1.343292e+11   3.599529e+10   4.642682e+06   3.038225e-19   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.907864e+00   5.855946e-01   6.486778e+00   2.593092e+06  -3.526167e+06  -1.548070e+06   1.942651e+11   1.315606e+11   2.573670e+10   4.642682e+06   2.739642e-19   0.000000e+00   0.000000e+00
       80000   7.999900e-07   2.115922e+00   3.039186e-01   6.363007e+00   2.608198e+06  -3.515770e+06  -1.546339e+06   1.834597e+11   1.284974e+11   1.728687e+10   4.642682e+06   2.481872e-19   0.000000e+00   0.000000e+00
       88000   8.799900e-07   2.325153e+00   2.306618e-02   6.239342e+00   2.622435e+06  -3.505569e+06  -1.545417e+06   1.724811e+11   1.265228e+11   5.684970e+09   4.642682e+06   2.251827e-19   0.000000e+00   0.000000e+00
