       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   5.80724626e-04   3.81623859e-04  -1.37917818e-02   5.79755612e-15   3.33800089e-14   1.16775277e-15
  8.00000000e-08   1.05236443e-03   6.91883399e-04  -1.39719788e-02   3.61971933e-15   3.47232308e-14   1.99210801e-15
  1.60000000e-07   1.54585546e-03   1.01722288e-03  -1.41360858e-02   1.29360496e-15   3.59532197e-14   2.72863114e-15
  2.40000000e-07   2.09260067e-03   1.37361707e-03  -1.42490471e-02  -1.19634021e-15   3.70221169e-14   3.39326195e-15
  3.20000000e-07   2.66085690e-03   1.74318061e-03  -1.43371306e-02  -3.80159644e-15   3.79415378e-14   3.90757750e-15
  4.00000000e-07   3.25643010e-03   2.12876790e-03  -1.43678583e-02  -6.50043231e-15   3.86381412e-14   4.25139434e-15
  4.80000000e-07   3.86121801e-03   2.51672875e-03  -1.43635940e-02  -9.24557613e-15   3.91375297e-14   4.37212033e-15
  5.60000000e-07   4.47711250e-03   2.91131053e-03  -1.42984149e-02  -1.20000042e-14   3.93829343e-14   4.26135225e-15
  6.40000000e-07   5.09109320e-03   3.29906368e-03  -1.41951195e-02  -1.47161432e-14   3.94117730e-14   3.88166456e-15
  7.20000000e-07   5.69605654e-03   3.67345535e-03  -1.40303474e-02  -1.73283422e-14   3.91675240e-14   3.21994406e-15
  8.00000000e-07   6.28263735e-03   4.03344452e-03  -1.38293008e-02  -1.98125121e-14   3.87006488e-14   2.28660088e-15
  8.80000000e-07   6.84780138e-03   4.37466991e-03  -1.35877111e-02  -2.21211292e-14   3.80065994e-14   1.08813234e-15
  9.60000000e-07   7.38626913e-03   4.69396844e-03  -1.33081046e-02  -2.42157494e-14   3.70940003e-14  -3.56622901e-16
  1.04000000e-06   7.89237283e-03   4.98244783e-03  -1.29931516e-02  -2.60531627e-14   3.59721057e-14  -2.03123417e-15
  1.12000000e-06   8.36139969e-03   5.24209488e-03  -1.26586637e-02  -2.76311654e-14   3.46760198e-14  -3.89142434e-15
  1.20000000e-06   8.79354096e-03   5.47157572e-03  -1.23083298e-02  -2.89347841e-14   3.32234831e-14  -5.90286475e-15
  1.28000000e-06   9.19994481e-03   5.67851989e-03  -1.19556929e-02  -2.99863661e-14   3.16625334e-14  -8.03605349e-15
  1.36000000e-06   9.56264257e-03   5.85056731e-03  -1.15880790e-02  -3.07381985e-14   2.99560941e-14  -1.02414093e-14
  1.44000000e-06   9.88889597e-03   5.99330162e-03  -1.12203949e-02  -3.12236005e-14   2.81469598e-14  -1.24838491e-14
  1.52000000e-06   1.01956516e-02   6.11474102e-03  -1.08734228e-02  -3.15008952e-14   2.62912291e-14  -1.47523093e-14
  1.60000000e-06   1.04548970e-02   6.20588801e-03  -1.05304155e-02  -3.15325453e-14   2.43339905e-14  -1.69656641e-14
  1.68000000e-06   1.06906176e-02   6.27382716e-03  -1.02063065e-02  -3.13724540e-14   2.23280664e-14  -1.91360584e-14
  1.76000000e-06   1.09176185e-02   6.33018923e-03  -9.91475506e-03  -3.10815793e-14   2.03036559e-14  -2.12623347e-14
  1.84000000e-06   1.11021635e-02   6.35855848e-03  -9.63651966e-03  -3.06115186e-14   1.82048802e-14  -2.32550024e-14
  1.92000000e-06   1.12793305e-02   6.37662640e-03  -9.39466182e-03  -3.00552116e-14   1.60873122e-14  -2.51653428e-14
  2.00000000e-06   1.14532396e-02   6.38749192e-03  -9.18663695e-03  -2.94254325e-14   1.39447657e-14  -2.69896863e-14
  2.08000000e-06   1.15783421e-02   6.36959897e-03  -9.01247029e-03  -2.87208124e-14   1.17358815e-14  -2.86033157e-14
  2.16000000e-06   1.17167070e-02   6.35504648e-03  -8.88407410e-03  -2.80150532e-14   9.51150374e-15  -3.01436163e-14
  2.24000000e-06   1.18368339e-02   6.32752122e-03  -8.79721847e-03  -2.72977314e-14   7.23665369e-15  -3.15245816e-14
  2.32000000e-06   1.19557886e-02   6.29622979e-03  -8.75557664e-03  -2.65959488e-14   4.91610549e-15  -3.27816914e-14
  2.40000000e-06   1.20610872e-02   6.25626596e-03  -8.76306351e-03  -2.59269319e-14   2.53590344e-15  -3.38741925e-14
  2.48000000e-06   1.21548028e-02   6.20885829e-03  -8.82204324e-03  -2.53049043e-14   9.10104334e-17  -3.48004473e-14
  2.56000000e-06   1.22350921e-02   6.15355561e-03  -8.93512627e-03  -2.47414319e-14  -2.42429647e-15  -3.55486574e-14
  2.64000000e-06   1.23281183e-02   6.10439474e-03  -9.10251602e-03  -2.42363380e-14  -5.01780149e-15  -3.61898931e-14
  2.72000000e-06   1.23782027e-02   6.03216901e-03  -9.33163004e-03  -2.38090218e-14  -7.69326973e-15  -3.65552428e-14
  2.80000000e-06   1.24102594e-02   5.95393672e-03  -9.61969946e-03  -2.34465390e-14  -1.04480138e-14  -3.67147068e-14
  2.88000000e-06   1.24236231e-02   5.86963944e-03  -9.96686084e-03  -2.31387108e-14  -1.32810781e-14  -3.66636766e-14
  2.96000000e-06   1.24262164e-02   5.78284952e-03  -1.03786938e-02  -2.28809909e-14  -1.62028946e-14  -3.64229887e-14
  3.04000000e-06   1.23697927e-02   5.67074973e-03  -1.08432717e-02  -2.26435746e-14  -1.91607473e-14  -3.58519213e-14
  3.12000000e-06   1.22990489e-02   5.55621882e-03  -1.13720540e-02  -2.24173609e-14  -2.21876893e-14  -3.50852953e-14
  3.20000000e-06   1.21585698e-02   5.41365217e-03  -1.19440248e-02  -2.21539773e-14  -2.51959096e-14  -3.39720132e-14
  3.28000000e-06   1.19794680e-02   5.26110144e-03  -1.25631174e-02  -2.18216845e-14  -2.81987369e-14  -3.26167920e-14
  3.36000000e-06   1.17438184e-02   5.09202081e-03  -1.32215779e-02  -2.13882549e-14  -3.11411268e-14  -3.09910853e-14
  3.44000000e-06   1.14464539e-02   4.89870432e-03  -1.38999414e-02  -2.08033874e-14  -3.39630651e-14  -2.91008442e-14
  3.52000000e-06   1.10568951e-02   4.67775182e-03  -1.45731051e-02  -2.00122035e-14  -3.65496076e-14  -2.69155286e-14
  3.60000000e-06   1.06169868e-02   4.44264698e-03  -1.52526635e-02  -1.90133208e-14  -3.89385174e-14  -2.45763151e-14
  3.68000000e-06   1.01090088e-02   4.18839510e-03  -1.59086357e-02  -1.77629852e-14  -4.10247234e-14  -2.20882502e-14
  3.76000000e-06   9.53715378e-03   3.91568941e-03  -1.65213727e-02  -1.62465843e-14  -4.27478794e-14  -1.95100974e-14
  3.84000000e-06   8.91679140e-03   3.63257942e-03  -1.70785422e-02  -1.44626293e-14  -4.40817882e-14  -1.69271383e-14
  3.92000000e-06   8.25239339e-03   3.33980853e-03  -1.75689466e-02  -1.24361279e-14  -4.49883912e-14  -1.43936024e-14
  4.00000000e-06   7.56600551e-03   3.04492064e-03  -1.79903365e-02  -1.01995512e-14  -4.54858626e-14  -1.19881416e-14
  4.08000000e-06   6.86535351e-03   2.75336317e-03  -1.83152213e-02  -7.77463892e-15  -4.55298681e-14  -9.75887231e-15
  4.16000000e-06   6.16512459e-03   2.46317084e-03  -1.85596115e-02  -5.24375162e-15  -4.51717547e-14  -7.73691469e-15
  4.24000000e-06   5.47735010e-03   2.18511462e-03  -1.87256161e-02  -2.64544708e-15  -4.44431811e-14  -5.95993659e-15
  4.32000000e-06   4.82566440e-03   1.92480763e-03  -1.88075133e-02  -2.52092738e-17  -4.33937495e-14  -4.44749235e-15
  4.40000000e-06   4.20200671e-03   1.67733942e-03  -1.88172403e-02   2.54767032e-15  -4.20431526e-14  -3.17875036e-15
  4.48000000e-06   3.60893046e-03   1.44481802e-03  -1.87748175e-02   5.03092011e-15  -4.04514794e-14  -2.14589494e-15
  4.56000000e-06   3.07806472e-03   1.23926523e-03  -1.86599537e-02   7.41111459e-15  -3.86749404e-14  -1.34601720e-15
  4.64000000e-06   2.59598427e-03   1.04755307e-03  -1.84958647e-02   9.62983285e-15  -3.67501253e-14  -7.29828645e-16
  4.72000000e-06   2.15417380e-03   8.75766896e-04  -1.83071394e-02   1.16893558e-14  -3.47250953e-14  -2.85690996e-16
  4.80000000e-06   1.76976874e-03   7.23690770e-04  -1.80753579e-02   1.35668004e-14  -3.26314056e-14   2.18558461e-17
  4.88000000e-06   1.43006667e-03   5.89721695e-04  -1.78223503e-02   1.52619314e-14  -3.05013819e-14   2.15361759e-16
  4.96000000e-06   1.12173222e-03   4.67363248e-04  -1.75578139e-02   1.67662622e-14  -2.83426866e-14   3.16720892e-16
  5.04000000e-06   8.61270010e-04   3.63550741e-04  -1.72745133e-02   1.80905112e-14  -2.62011969e-14   3.50536659e-16
  5.12000000e-06   6.39890632e-04   2.73070304e-04  -1.69765419e-02   1.92300128e-14  -2.40835716e-14   3.37441917e-16
  5.20000000e-06   4.44844774e-04   1.91143694e-04  -1.66820088e-02   2.02006751e-14  -2.20035654e-14   2.86555535e-16
  5.28000000e-06   2.79920055e-04   1.22474860e-04  -1.63814064e-02   2.10114904e-14  -1.99709480e-14   2.09725491e-16
