     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.319950e+01   1.215052e+01   4.244941e+06   9.638414e+05   5.041688e+05   0.000000e+00   0.000000e+00   0.000000e+00   4.382089e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   4.377614e-01   1.328414e+01   1.219091e+01   4.197575e+06   1.152046e+06   5.058256e+05  -6.490144e+11   2.352583e+12   2.780319e+10   4.382089e+06   1.997913e-17   0.000000e+00   0.000000e+00
       16000   1.599900e-07   7.713679e-01   1.338383e+01   1.223148e+01   4.141052e+06   1.340106e+06   5.084491e+05  -7.641878e+11   2.347626e+12   3.645570e+10   4.382090e+06   2.044878e-17   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.100083e+00   1.349853e+01   1.227227e+01   4.075285e+06   1.527486e+06   5.114281e+05  -8.801167e+11   2.335913e+12   3.659014e+10   4.382090e+06   2.090420e-17   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.423165e+00   1.362819e+01   1.231330e+01   4.000211e+06   1.713686e+06   5.141137e+05  -9.966885e+11   2.317868e+12   2.904187e+10   4.382091e+06   2.135469e-17   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.739868e+00   1.377268e+01   1.235451e+01   3.915784e+06   1.898213e+06   5.158957e+05  -1.113945e+12   2.294146e+12   1.406389e+10   4.382092e+06   2.181566e-17   0.000000e+00   0.000000e+00
       48000   4.799900e-07   2.049440e+00   1.393185e+01   1.239580e+01   3.821957e+06   2.080606e+06   5.161917e+05  -1.231664e+12   2.264479e+12  -7.855520e+09   4.382092e+06   2.228774e-17   0.000000e+00   0.000000e+00
       56000   5.599900e-07   2.351130e+00   1.410551e+01   1.243704e+01   3.718719e+06   2.260358e+06   5.144400e+05  -1.349317e+12   2.228357e+12  -3.710046e+10   4.382093e+06   2.276632e-17   0.000000e+00   0.000000e+00
       64000   6.399900e-07   2.644184e+00   1.429342e+01   1.247804e+01   3.606059e+06   2.436984e+06   5.100917e+05  -1.467503e+12   2.186594e+12  -7.199333e+10   4.382093e+06   2.327728e-17   0.000000e+00   0.000000e+00
       72000   7.199900e-07   2.927846e+00   1.449533e+01   1.251858e+01   3.483917e+06   2.610044e+06   5.027285e+05  -1.586113e+12   2.138911e+12  -1.127695e+11   4.382094e+06   2.382557e-17   0.000000e+00   0.000000e+00
       80000   7.999900e-07   3.201356e+00   1.471092e+01   1.255839e+01   3.352236e+06   2.779078e+06   4.919273e+05  -1.706052e+12   2.085880e+12  -1.578706e+11   4.382095e+06   2.443944e-17   0.000000e+00   0.000000e+00
       88000   8.799900e-07   3.463946e+00   1.493986e+01   1.259719e+01   3.210898e+06   2.943641e+06   4.773586e+05  -1.827499e+12   2.026959e+12  -2.066617e+11   4.382095e+06   2.512567e-17   0.000000e+00   0.000000e+00
       96000   9.599900e-07   3.714841e+00   1.518177e+01   1.263466e+01   3.059830e+06   3.103182e+06   4.587708e+05  -1.949667e+12   1.960622e+12  -2.581715e+11   4.382096e+06   2.586649e-17   0.000000e+00   0.000000e+00
      104000   1.039990e-06   3.953256e+00   1.543622e+01   1.267048e+01   2.898889e+06   3.257173e+06   4.359347e+05  -2.074093e+12   1.887841e+12  -3.128410e+11   4.382097e+06   2.671099e-17   0.000000e+00   0.000000e+00
      112000   1.119990e-06   4.178395e+00   1.570276e+01   1.270429e+01   2.727902e+06   3.405041e+06   4.086925e+05  -2.200977e+12   1.807497e+12  -3.681666e+11   4.382098e+06   2.766093e-17   0.000000e+00   0.000000e+00
