       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00  -7.69631605e-03  -4.35641303e-03  -4.51016708e-02   1.43627584e-14  -1.75049863e-14  -7.60091068e-16
  8.00000000e-08  -5.80567533e-03  -3.28116604e-03  -3.95700355e-02   1.33335606e-14  -1.08449603e-14  -1.05701721e-15
  1.60000000e-07  -4.59841460e-03  -2.60344438e-03  -3.53359829e-02   1.22192634e-14  -6.46108130e-15  -1.11411004e-15
  2.40000000e-07  -3.78809434e-03  -2.14651787e-03  -3.20275254e-02   1.11265817e-14  -3.45369589e-15  -1.08453965e-15
  3.20000000e-07  -3.21498240e-03  -1.82451415e-03  -2.93792081e-02   1.01029754e-14  -1.30566254e-15  -1.02448944e-15
  4.00000000e-07  -2.86657504e-03  -1.62864554e-03  -2.72099096e-02   9.25650116e-15   8.81040576e-17  -9.80449617e-16
  4.80000000e-07  -2.54511087e-03  -1.44398109e-03  -2.54657547e-02   8.38075983e-15   1.29257753e-15  -9.10886827e-16
  5.60000000e-07  -2.24587349e-03  -1.27575149e-03  -2.40437327e-02   7.52088586e-15   2.35378349e-15  -8.27400690e-16
  6.40000000e-07  -2.04224245e-03  -1.16328975e-03  -2.28018988e-02   6.77435182e-15   3.08101790e-15  -7.63926970e-16
  7.20000000e-07  -1.86157156e-03  -1.06634255e-03  -2.17569432e-02   6.07074895e-15   3.69831123e-15  -7.00686680e-16
  8.00000000e-07  -1.73572453e-03  -9.90071900e-04  -2.09323704e-02   5.43365941e-15   4.16136865e-15  -6.47389179e-16
  8.80000000e-07  -1.56279048e-03  -8.96101347e-04  -2.01433809e-02   4.74540923e-15   4.66837306e-15  -5.75842547e-16
  9.60000000e-07  -1.43347868e-03  -8.21615472e-04  -1.94887964e-02   4.11468378e-15   5.04526758e-15  -5.15351547e-16
  1.04000000e-06  -1.30427215e-03  -7.42805655e-04  -1.89326515e-02   3.48074996e-15   5.39905166e-15  -4.51616157e-16
  1.12000000e-06  -1.17849752e-03  -6.73648119e-04  -1.84754818e-02   2.87578591e-15   5.73005091e-15  -3.92365658e-16
  1.20000000e-06  -1.05366601e-03  -5.99953927e-04  -1.80892498e-02   2.25879429e-15   6.03796196e-15  -3.31827678e-16
  1.28000000e-06  -9.21923097e-04  -5.24760335e-04  -1.77646588e-02   1.63726376e-15   6.34296486e-15  -2.72336648e-16
  1.36000000e-06  -7.85805024e-04  -4.48239831e-04  -1.74513608e-02   1.00866916e-15   6.61748768e-15  -2.15389442e-16
  1.44000000e-06  -6.50156377e-04  -3.75822758e-04  -1.72752671e-02   3.83053563e-16   6.91383218e-15  -1.64826406e-16
  1.52000000e-06  -5.03559984e-04  -2.90821836e-04  -1.71017695e-02  -2.83394510e-16   7.19455832e-15  -1.14001567e-16
  1.60000000e-06  -3.39381159e-04  -1.99502371e-04  -1.70156445e-02  -9.82493697e-16   7.51807969e-15  -6.85507313e-17
  1.68000000e-06  -1.70655487e-04  -1.00413174e-04  -1.69703851e-02  -1.72070676e-15   7.82708567e-15  -2.90090332e-17
  1.76000000e-06   5.49157449e-06   3.39417495e-06  -1.69538612e-02  -2.49137688e-15   8.11952334e-15   8.18545158e-19
  1.84000000e-06   1.96679866e-04   1.19938234e-04  -1.67975639e-02  -3.28628185e-15   8.33277525e-15   2.10192906e-17
  1.92000000e-06   4.09380766e-04   2.37301262e-04  -1.68330658e-02  -4.12979227e-15   8.63789293e-15   2.13345194e-17
  2.00000000e-06   6.41631821e-04   3.67523930e-04  -1.68986123e-02  -5.03458769e-15   8.94702445e-15   3.42595734e-18
  2.08000000e-06   8.94310633e-04   5.09413109e-04  -1.69773799e-02  -5.99637921e-15   9.24890652e-15  -3.83517046e-17
  2.16000000e-06   1.16343748e-03   6.65299440e-04  -1.71513394e-02  -7.04821973e-15   9.55979320e-15  -1.07282463e-16
  2.24000000e-06   1.47576492e-03   8.37295911e-04  -1.73226352e-02  -8.17206836e-15   9.89601124e-15  -2.17874590e-16
  2.32000000e-06   1.81158545e-03   1.02302413e-03  -1.75647900e-02  -9.39116425e-15   1.02236623e-14  -3.73123919e-16
  2.40000000e-06   2.19659333e-03   1.23539524e-03  -1.78240915e-02  -1.07252818e-14   1.05715746e-14  -5.89034759e-16
  2.48000000e-06   2.61629053e-03   1.46505138e-03  -1.81658174e-02  -1.21828953e-14   1.09055452e-14  -8.75094652e-16
  2.56000000e-06   3.08170124e-03   1.72422710e-03  -1.84603407e-02  -1.37360294e-14   1.12005334e-14  -1.24689333e-15
  2.64000000e-06   3.61347388e-03   2.01674851e-03  -1.88411921e-02  -1.54610734e-14   1.15141030e-14  -1.73275315e-15
  2.72000000e-06   4.20871141e-03   2.34468892e-03  -1.92716417e-02  -1.73490171e-14   1.17974741e-14  -2.35348914e-15
  2.80000000e-06   4.86680445e-03   2.70395445e-03  -1.97853982e-02  -1.94135082e-14   1.20093513e-14  -3.13407942e-15
  2.88000000e-06   5.63651047e-03   3.11972908e-03  -2.03638845e-02  -2.17065045e-14   1.22148950e-14  -4.13682254e-15
