     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.340036e+01   1.565517e+01   2.307139e+06   6.500977e+05   1.260776e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.708334e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.827856e-01   1.345816e+01   1.575607e+01   2.260730e+06   7.950617e+05   1.261765e+06  -6.467096e+11   1.818582e+12   1.283011e+10   2.708335e+06   1.178395e-17   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.614312e-01   1.352759e+01   1.585705e+01   2.203609e+06   9.407574e+05   1.262601e+06  -7.816515e+11   1.822121e+12   6.589739e+09   2.708335e+06   1.243398e-17   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.350740e-01   1.360867e+01   1.595806e+01   2.135656e+06   1.086274e+06   1.262564e+06  -9.170638e+11   1.813669e+12  -9.161600e+09   2.708336e+06   1.306449e-17   0.000000e+00   0.000000e+00
       32000   3.199900e-07   8.028484e-01   1.370136e+01   1.605902e+01   2.056914e+06   1.230611e+06   1.260867e+06  -1.050905e+12   1.792733e+12  -3.528605e+10   2.708336e+06   1.366247e-17   0.000000e+00   0.000000e+00
       40000   3.999900e-07   9.638986e-01   1.380551e+01   1.615974e+01   1.967608e+06   1.372749e+06   1.256650e+06  -1.181050e+12   1.758800e+12  -7.201926e+10   2.708337e+06   1.421253e-17   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.117394e+00   1.392091e+01   1.625999e+01   1.868111e+06   1.511637e+06   1.249082e+06  -1.305203e+12   1.711355e+12  -1.189982e+11   2.708338e+06   1.469651e-17   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.262539e+00   1.404726e+01   1.635948e+01   1.758955e+06   1.646243e+06   1.237360e+06  -1.422380e+12   1.651760e+12  -1.755732e+11   2.708338e+06   1.512621e-17   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.398586e+00   1.418417e+01   1.645784e+01   1.640801e+06   1.775561e+06   1.220760e+06  -1.530610e+12   1.579891e+12  -2.406014e+11   2.708339e+06   1.548810e-17   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.524847e+00   1.433119e+01   1.655465e+01   1.514425e+06   1.898667e+06   1.198618e+06  -1.627708e+12   1.496397e+12  -3.137532e+11   2.708340e+06   1.577394e-17   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.640696e+00   1.448777e+01   1.664945e+01   1.380636e+06   2.014712e+06   1.170423e+06  -1.714854e+12   1.402873e+12  -3.919482e+11   2.708341e+06   1.601220e-17   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.745573e+00   1.465333e+01   1.674175e+01   1.240296e+06   2.122917e+06   1.135783e+06  -1.791390e+12   1.300551e+12  -4.746130e+11   2.708341e+06   1.621265e-17   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.838990e+00   1.482721e+01   1.683100e+01   1.094254e+06   2.222603e+06   1.094423e+06  -1.857273e+12   1.190034e+12  -5.597396e+11   2.708342e+06   1.638088e-17   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.920522e+00   1.500871e+01   1.691667e+01   9.433080e+05   2.313175e+06   1.046190e+06  -1.913219e+12   1.072304e+12  -6.457917e+11   2.708343e+06   1.653379e-17   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.989810e+00   1.519706e+01   1.699821e+01   7.882318e+05   2.394064e+06   9.910981e+05  -1.962890e+12   9.490985e+11  -7.314477e+11   2.708344e+06   1.672816e-17   0.000000e+00   0.000000e+00
      120000   1.199990e-06   2.046552e+00   1.539148e+01   1.707507e+01   6.297686e+05   2.464744e+06   9.292776e+05  -2.000481e+12   8.181146e+11  -8.141267e+11   2.708344e+06   1.687144e-17   0.000000e+00   0.000000e+00
      128000   1.279990e-06   2.090496e+00   1.559114e+01   1.714672e+01   4.684053e+05   2.524788e+06   8.609153e+05  -2.033226e+12   6.823327e+11  -8.947661e+11   2.708345e+06   1.708068e-17   0.000000e+00   0.000000e+00
      136000   1.359990e-06   2.121435e+00   1.579515e+01   1.721265e+01   3.047429e+05   2.573702e+06   7.863390e+05  -2.058239e+12   5.397933e+11  -9.690204e+11   2.708346e+06   1.729113e-17   0.000000e+00   0.000000e+00
      144000   1.439990e-06   2.139203e+00   1.600262e+01   1.727238e+01   1.391585e+05   2.611019e+06   7.059454e+05  -2.080864e+12   3.920472e+11  -1.039765e+12   2.708347e+06   1.760136e-17   0.000000e+00   0.000000e+00
      152000   1.519990e-06   2.143656e+00   1.621259e+01   1.732546e+01  -2.806746e+04   2.636234e+06   6.201848e+05  -2.098955e+12   2.372297e+11  -1.103298e+12   2.708348e+06   1.796306e-17   0.000000e+00   0.000000e+00
      160000   1.599990e-06   2.134676e+00   1.642408e+01   1.737148e+01  -1.966553e+05   2.648777e+06   5.295847e+05  -2.115273e+12   7.494224e+10  -1.160205e+12   2.708348e+06   1.842774e-17   0.000000e+00   0.000000e+00
      168000   1.679990e-06   2.112159e+00   1.663604e+01   1.741008e+01  -3.664267e+05   2.647987e+06   4.348032e+05  -2.128190e+12  -9.615433e+10  -1.207789e+12   2.708349e+06   1.896901e-17   0.000000e+00   0.000000e+00
      176000   1.759990e-06   2.076021e+00   1.684738e+01   1.744095e+01  -5.372131e+05   2.633116e+06   3.365450e+05  -2.141379e+12  -2.775038e+11  -1.246832e+12   2.708350e+06   1.966457e-17   0.000000e+00   0.000000e+00
      184000   1.839990e-06   2.026181e+00   1.705694e+01   1.746386e+01  -7.089125e+05   2.603278e+06   2.356925e+05  -2.150592e+12  -4.703897e+11  -1.272683e+12   2.708351e+06   2.045195e-17   0.000000e+00   0.000000e+00
      192000   1.919990e-06   1.962577e+00   1.726348e+01   1.747862e+01  -8.813136e+05   2.557481e+06   1.332233e+05  -2.158613e+12  -6.768432e+11  -1.286064e+12   2.708352e+06   2.141872e-17   0.000000e+00   0.000000e+00
      200000   1.999990e-06   1.885162e+00   1.746568e+01   1.748516e+01  -1.054072e+06   2.494631e+06   3.036423e+04  -2.161435e+12  -8.976319e+11  -1.283661e+12   2.708353e+06   2.253729e-17   0.000000e+00   0.000000e+00
      208000   2.079990e-06   1.793926e+00   1.766214e+01   1.748350e+01  -1.226730e+06   2.413545e+06  -7.152867e+04  -2.156350e+12  -1.133384e+12  -1.262286e+12   2.708354e+06   2.381021e-17   0.000000e+00   0.000000e+00
      216000   2.159990e-06   1.688906e+00   1.785133e+01   1.747379e+01  -1.398532e+06   2.313029e+06  -1.708716e+05  -2.139193e+12  -1.383458e+12  -1.219215e+12   2.708355e+06   2.522983e-17   0.000000e+00   0.000000e+00
      224000   2.239990e-06   1.570212e+00   1.803167e+01   1.745628e+01  -1.568366e+06   2.191969e+06  -2.658872e+05  -2.105094e+12  -1.645989e+12  -1.152685e+12   2.708357e+06   2.678855e-17   0.000000e+00   0.000000e+00
