       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   5.07649720e-05   4.85076330e-05  -1.08268940e-03   1.86444160e-17   1.43191566e-20   8.74838015e-19
  8.00000000e-10   5.07656671e-05   4.85090408e-05  -1.08264924e-03   1.86437742e-17   1.58252005e-20   8.74919840e-19
  1.60000000e-09   5.07663640e-05   4.85104504e-05  -1.08260908e-03   1.86431324e-17   1.73310478e-20   8.75001692e-19
  2.40000000e-09   5.07670627e-05   4.85118618e-05  -1.08256893e-03   1.86424905e-17   1.88366984e-20   8.75083571e-19
  3.20000000e-09   5.07677632e-05   4.85132749e-05  -1.08252878e-03   1.86418485e-17   2.03421525e-20   8.75165476e-19
  4.00000000e-09   5.07684654e-05   4.85146898e-05  -1.08248863e-03   1.86412064e-17   2.18474100e-20   8.75247408e-19
  4.80000000e-09   5.07691695e-05   4.85161065e-05  -1.08244848e-03   1.86405643e-17   2.33524710e-20   8.75329367e-19
  5.60000000e-09   5.07698753e-05   4.85175250e-05  -1.08240833e-03   1.86399221e-17   2.48573353e-20   8.75411352e-19
  6.40000000e-09   5.07705829e-05   4.85189452e-05  -1.08236818e-03   1.86392799e-17   2.63620032e-20   8.75493364e-19
  7.20000000e-09   5.07712924e-05   4.85203672e-05  -1.08232804e-03   1.86386376e-17   2.78664745e-20   8.75575403e-19
  8.00000000e-09   5.07720036e-05   4.85217909e-05  -1.08228789e-03   1.86379952e-17   2.93707492e-20   8.75657469e-19
  8.80000000e-09   5.07727166e-05   4.85232165e-05  -1.08224775e-03   1.86373527e-17   3.08748274e-20   8.75739561e-19
  9.60000000e-09   5.07734314e-05   4.85246438e-05  -1.08220761e-03   1.86367102e-17   3.23787091e-20   8.75821680e-19
  1.04000000e-08   5.07741480e-05   4.85260729e-05  -1.08216747e-03   1.86360676e-17   3.38823943e-20   8.75903826e-19
  1.12000000e-08   5.07748663e-05   4.85275037e-05  -1.08212734e-03   1.86354249e-17   3.53858830e-20   8.75985999e-19
  1.20000000e-08   5.07755865e-05   4.85289364e-05  -1.08208720e-03   1.86347822e-17   3.68891752e-20   8.76068198e-19
  1.28000000e-08   5.07763084e-05   4.85303707e-05  -1.08204707e-03   1.86341393e-17   3.83922710e-20   8.76150424e-19
