     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   5.750703e+00   6.290092e+00  -1.045214e+05  -7.739058e+04  -6.943835e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-10   9.991639e-02   5.750641e+00   6.290036e+00  -1.045062e+05  -7.741098e+04  -6.943845e+04   1.897296e+10  -2.549683e+10  -1.304591e+08   1.474304e+05   7.822795e-30   0.000000e+00   0.000000e+00
       16000   1.599900e-09   9.983279e-02   5.750579e+00   6.289981e+00  -1.044911e+05  -7.743137e+04  -6.943855e+04   1.897708e+10  -2.549223e+10  -1.301490e+08   1.474304e+05   7.822190e-30   0.000000e+00   0.000000e+00
       24000   2.399900e-09   9.974920e-02   5.750517e+00   6.289925e+00  -1.044759e+05  -7.745177e+04  -6.943866e+04   1.898120e+10  -2.548763e+10  -1.298390e+08   1.474304e+05   7.821585e-30   0.000000e+00   0.000000e+00
       32000   3.199900e-09   9.966563e-02   5.750455e+00   6.289870e+00  -1.044607e+05  -7.747215e+04  -6.943876e+04   1.898532e+10  -2.548304e+10  -1.295293e+08   1.474304e+05   7.820980e-30   0.000000e+00   0.000000e+00
       40000   3.999900e-09   9.958207e-02   5.750393e+00   6.289814e+00  -1.044455e+05  -7.749254e+04  -6.943887e+04   1.898944e+10  -2.547844e+10  -1.292198e+08   1.474304e+05   7.820375e-30   0.000000e+00   0.000000e+00
       48000   4.799900e-09   9.949852e-02   5.750331e+00   6.289759e+00  -1.044303e+05  -7.751292e+04  -6.943897e+04   1.899355e+10  -2.547384e+10  -1.289106e+08   1.474304e+05   7.819770e-30   0.000000e+00   0.000000e+00
       56000   5.599900e-09   9.941498e-02   5.750269e+00   6.289703e+00  -1.044151e+05  -7.753330e+04  -6.943907e+04   1.899767e+10  -2.546924e+10  -1.286015e+08   1.474304e+05   7.819165e-30   0.000000e+00   0.000000e+00
       64000   6.399900e-09   9.933145e-02   5.750207e+00   6.289648e+00  -1.043999e+05  -7.755367e+04  -6.943917e+04   1.900178e+10  -2.546464e+10  -1.282928e+08   1.474304e+05   7.818560e-30   0.000000e+00   0.000000e+00
       72000   7.199900e-09   9.924794e-02   5.750145e+00   6.289592e+00  -1.043847e+05  -7.757404e+04  -6.943928e+04   1.900589e+10  -2.546004e+10  -1.279842e+08   1.474304e+05   7.817955e-30   0.000000e+00   0.000000e+00
       80000   7.999900e-09   9.916444e-02   5.750083e+00   6.289536e+00  -1.043695e+05  -7.759441e+04  -6.943938e+04   1.901000e+10  -2.545543e+10  -1.276759e+08   1.474304e+05   7.817350e-30   0.000000e+00   0.000000e+00
       88000   8.799900e-09   9.908095e-02   5.750021e+00   6.289481e+00  -1.043543e+05  -7.761477e+04  -6.943948e+04   1.901411e+10  -2.545083e+10  -1.273678e+08   1.474304e+05   7.816745e-30   0.000000e+00   0.000000e+00
       96000   9.599900e-09   9.899747e-02   5.749959e+00   6.289425e+00  -1.043391e+05  -7.763513e+04  -6.943958e+04   1.901822e+10  -2.544623e+10  -1.270600e+08   1.474304e+05   7.816141e-30   0.000000e+00   0.000000e+00
      104000   1.039990e-08   9.891400e-02   5.749897e+00   6.289370e+00  -1.043239e+05  -7.765548e+04  -6.943968e+04   1.902233e+10  -2.544162e+10  -1.267524e+08   1.474304e+05   7.815536e-30   0.000000e+00   0.000000e+00
      112000   1.119990e-08   9.883055e-02   5.749835e+00   6.289314e+00  -1.043087e+05  -7.767583e+04  -6.943979e+04   1.902644e+10  -2.543702e+10  -1.264450e+08   1.474304e+05   7.814931e-30   0.000000e+00   0.000000e+00
      120000   1.199990e-08   9.874711e-02   5.749772e+00   6.289259e+00  -1.042934e+05  -7.769618e+04  -6.943989e+04   1.903054e+10  -2.543242e+10  -1.261378e+08   1.474304e+05   7.814326e-30   0.000000e+00   0.000000e+00
      128000   1.279990e-08   9.866368e-02   5.749710e+00   6.289203e+00  -1.042782e+05  -7.771653e+04  -6.943999e+04   1.903465e+10  -2.542781e+10  -1.258309e+08   1.474304e+05   7.813721e-30   0.000000e+00   0.000000e+00
      136000   1.359990e-08   9.858026e-02   5.749648e+00   6.289148e+00  -1.042630e+05  -7.773687e+04  -6.944009e+04   1.903875e+10  -2.542320e+10  -1.255242e+08   1.474304e+05   7.813117e-30   0.000000e+00   0.000000e+00
      144000   1.439990e-08   9.849686e-02   5.749586e+00   6.289092e+00  -1.042477e+05  -7.775720e+04  -6.944019e+04   1.904285e+10  -2.541860e+10  -1.252178e+08   1.474304e+05   7.812512e-30   0.000000e+00   0.000000e+00
      152000   1.519990e-08   9.841347e-02   5.749524e+00   6.289037e+00  -1.042325e+05  -7.777754e+04  -6.944029e+04   1.904695e+10  -2.541399e+10  -1.249116e+08   1.474304e+05   7.811907e-30   0.000000e+00   0.000000e+00
