       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.27247457e-02   1.33911455e-04  -2.69595950e-04  -1.28893758e-17   2.37376922e-15   5.70709100e-16
  8.00000000e-09   1.26408357e-02   1.34588983e-04  -2.84057011e-04  -1.28276514e-17   2.35042269e-15   5.42809221e-16
  1.60000000e-08   1.25570565e-02   1.35446468e-04  -2.98571830e-04  -1.28447250e-17   2.32672026e-15   5.15300132e-16
  2.40000000e-08   1.24734534e-02   1.35833822e-04  -3.13497601e-04  -1.27899115e-17   2.30239704e-15   4.88708764e-16
  3.20000000e-08   1.23905831e-02   1.36151984e-04  -3.29129068e-04  -1.27325938e-17   2.27734151e-15   4.62737325e-16
  4.00000000e-08   1.23075305e-02   1.36635623e-04  -3.43441234e-04  -1.28137983e-17   2.25300767e-15   4.37148709e-16
  4.80000000e-08   1.22244788e-02   1.37058253e-04  -3.57776153e-04  -1.29221123e-17   2.22836110e-15   4.12126944e-16
  5.60000000e-08   1.21403418e-02   1.37491058e-04  -3.72805458e-04  -1.30436976e-17   2.20264539e-15   3.87572377e-16
  6.40000000e-08   1.20569496e-02   1.37493844e-04  -3.87755809e-04  -1.31207288e-17   2.17687350e-15   3.63916505e-16
  7.20000000e-08   1.19769967e-02   1.40612937e-04  -4.03505568e-04  -1.38514887e-17   2.15089788e-15   3.38396401e-16
  8.00000000e-08   1.18927009e-02   1.37969425e-04  -4.19405344e-04  -1.34268951e-17   2.12364233e-15   3.17868300e-16
  8.80000000e-08   1.18093856e-02   1.37678889e-04  -4.34453900e-04  -1.35587380e-17   2.09704490e-15   2.96000211e-16
  9.60000000e-08   1.17257419e-02   1.39514750e-04  -4.48639199e-04  -1.41971272e-17   2.07082779e-15   2.72912335e-16
  1.04000000e-07   1.16435777e-02   1.39037773e-04  -4.64180146e-04  -1.43471111e-17   2.04359908e-15   2.52242072e-16
  1.12000000e-07   1.15615121e-02   1.39857906e-04  -4.81738451e-04  -1.47430276e-17   2.01454791e-15   2.31035657e-16
  1.20000000e-07   1.14790814e-02   1.39311251e-04  -4.97056515e-04  -1.49596037e-17   1.98701399e-15   2.11426456e-16
  1.28000000e-07   1.13966515e-02   1.38715918e-04  -5.12386490e-04  -1.51996031e-17   1.95927340e-15   1.92350559e-16
  1.36000000e-07   1.13171554e-02   1.39461744e-04  -5.25201428e-04  -1.58160442e-17   1.93397366e-15   1.72738884e-16
  1.44000000e-07   1.12348572e-02   1.38824919e-04  -5.40558905e-04  -1.61090855e-17   1.90585921e-15   1.54650077e-16
  1.52000000e-07   1.11467098e-02   1.37321014e-04  -5.59415602e-04  -1.61738766e-17   1.87353362e-15   1.37625815e-16
  1.60000000e-07   1.10702804e-02   1.38739564e-04  -5.72361014e-04  -1.70112439e-17   1.84824308e-15   1.18989933e-16
  1.68000000e-07   1.09886304e-02   1.37505553e-04  -5.88752716e-04  -1.72508857e-17   1.81892594e-15   1.02842516e-16
  1.76000000e-07   1.09079707e-02   1.36382770e-04  -6.05438875e-04  -1.75388901e-17   1.78943205e-15   8.71004518e-17
  1.84000000e-07   1.08270234e-02   1.35757800e-04  -6.21320351e-04  -1.79747697e-17   1.76038240e-15   7.14162820e-17
  1.92000000e-07   1.07443629e-02   1.36917246e-04  -6.35140948e-04  -1.88425499e-17   1.73249293e-15   5.47232324e-17
  2.00000000e-07   1.06628927e-02   1.35787509e-04  -6.51094911e-04  -1.92233318e-17   1.70299619e-15   4.03463232e-17
  2.08000000e-07   1.05814229e-02   1.34618826e-04  -6.67050176e-04  -1.96213071e-17   1.67337730e-15   2.64548917e-17
  2.16000000e-07   1.05043339e-02   1.33485704e-04  -6.87060381e-04  -2.00030433e-17   1.64129178e-15   1.30561191e-17
  2.24000000e-07   1.04240586e-02   1.32473104e-04  -7.01774312e-04  -2.04979509e-17   1.61269936e-15  -4.63851260e-20
  2.32000000e-07   1.03475566e-02   1.32539590e-04  -7.16254565e-04  -2.12396847e-17   1.58497425e-15  -1.35524473e-17
  2.40000000e-07   1.02645661e-02   1.31114057e-04  -7.32501818e-04  -2.16743496e-17   1.55437154e-15  -2.54986856e-17
  2.48000000e-07   1.01815791e-02   1.29654303e-04  -7.48748254e-04  -2.21222476e-17   1.52368056e-15  -3.69786119e-17
  2.56000000e-07   1.00915338e-02   1.29289877e-04  -7.63999043e-04  -2.28230372e-17   1.49222612e-15  -4.89394847e-17
  2.64000000e-07   1.00127977e-02   1.27571925e-04  -7.80575565e-04  -2.32515081e-17   1.46198849e-15  -5.93202800e-17
  2.72000000e-07   9.94560485e-03   1.25757217e-04  -7.98257199e-04  -2.36748131e-17   1.43319917e-15  -6.91822102e-17
  2.80000000e-07   9.86399042e-03   1.24295926e-04  -8.13822201e-04  -2.41965290e-17   1.40303665e-15  -7.89884930e-17
  2.88000000e-07   9.78237798e-03   1.22804910e-04  -8.29383001e-04  -2.47259474e-17   1.37281442e-15  -8.83671502e-17
  2.96000000e-07   9.68944050e-03   1.23322232e-04  -8.46155422e-04  -2.56847532e-17   1.33918156e-15  -9.89416676e-17
  3.04000000e-07   9.61104377e-03   1.21531024e-04  -8.62193332e-04  -2.61754594e-17   1.30912249e-15  -1.07254934e-16
  3.12000000e-07   9.53499568e-03   1.21392334e-04  -8.77040009e-04  -2.70206851e-17   1.28046109e-15  -1.16532831e-16
  3.20000000e-07   9.45695944e-03   1.19056107e-04  -8.93897231e-04  -2.74222275e-17   1.24971642e-15  -1.23665807e-16
  3.28000000e-07   9.38220588e-03   1.15732842e-04  -9.13005525e-04  -2.76379556e-17   1.21780413e-15  -1.29643307e-16
  3.36000000e-07   9.30283532e-03   1.14402255e-04  -9.29442491e-04  -2.82691304e-17   1.18705373e-15  -1.36836268e-16
  3.44000000e-07   9.22346409e-03   1.13048331e-04  -9.45872315e-04  -2.89030652e-17   1.15627452e-15  -1.43646745e-16
  3.52000000e-07   9.14234204e-03   1.14357074e-04  -9.60665344e-04  -3.00866583e-17   1.12641162e-15  -1.52237597e-16
  3.60000000e-07   9.06427573e-03   1.12058646e-04  -9.77179918e-04  -3.05357737e-17   1.09576546e-15  -1.57590917e-16
  3.68000000e-07   8.98793535e-03   1.08753720e-04  -9.98420312e-04  -3.08196124e-17   1.06164929e-15  -1.61801971e-16
  3.76000000e-07   8.90917085e-03   1.07027795e-04  -1.01464307e-03  -3.13948993e-17   1.03106397e-15  -1.66906001e-16
  3.84000000e-07   8.83040438e-03   1.05282873e-04  -1.03085695e-03  -3.19680464e-17   1.00047067e-15  -1.71661403e-16
  3.92000000e-07   8.75242311e-03   1.04750788e-04  -1.04752637e-03  -3.27984650e-17   9.69655619e-16  -1.77077979e-16
  4.00000000e-07   8.67392969e-03   1.03252321e-04  -1.06352198e-03  -3.34206573e-17   9.39267136e-16  -1.81384987e-16
  4.08000000e-07   8.59476089e-03   1.04483562e-04  -1.07552027e-03  -3.45584260e-17   9.11954301e-16  -1.87571709e-16
  4.16000000e-07   8.51712766e-03   1.02460517e-04  -1.09320117e-03  -3.50879133e-17   8.80360021e-16  -1.90857913e-16
  4.24000000e-07   8.43949233e-03   1.00422520e-04  -1.11087072e-03  -3.56118969e-17   8.48775369e-16  -1.93821085e-16
  4.32000000e-07   8.36476121e-03   9.73497796e-05  -1.13256243e-03  -3.59734767e-17   8.14553992e-16  -1.95673886e-16
  4.40000000e-07   8.28704400e-03   9.60345577e-05  -1.14875949e-03  -3.66177011e-17   7.84152223e-16  -1.98602745e-16
  4.48000000e-07   8.20736949e-03   9.96280441e-05  -1.16144246e-03  -3.82141281e-17   7.56182909e-16  -2.05176282e-16
  4.56000000e-07   8.13010701e-03   9.75808560e-05  -1.17862626e-03  -3.87065950e-17   7.25067106e-16  -2.06966448e-16
  4.64000000e-07   8.05502228e-03   9.37525196e-05  -1.19779625e-03  -3.88560501e-17   6.92811554e-16  -2.07074885e-16
  4.72000000e-07   7.97278202e-03   9.32570437e-05  -1.21382649e-03  -3.96305220e-17   6.61633394e-16  -2.09472721e-16
  4.80000000e-07   7.89588678e-03   9.16479503e-05  -1.23087164e-03  -4.01810360e-17   6.30749831e-16  -2.10792071e-16
  4.88000000e-07   7.82636451e-03   9.00805362e-05  -1.24921758e-03  -4.07511353e-17   6.00347820e-16  -2.12015576e-16
  4.96000000e-07   7.74771839e-03   8.89346725e-05  -1.26632903e-03  -4.13731842e-17   5.69081858e-16  -2.13164719e-16
  5.04000000e-07   7.66907072e-03   8.77795735e-05  -1.28342863e-03  -4.19780215e-17   5.37843098e-16  -2.14052244e-16
  5.12000000e-07   7.58142073e-03   8.88977470e-05  -1.29971695e-03  -4.30161030e-17   5.05426012e-16  -2.16348600e-16
  5.20000000e-07   7.50529930e-03   8.71573877e-05  -1.31678893e-03  -4.34650390e-17   4.74760640e-16  -2.16313505e-16
  5.28000000e-07   7.44241986e-03   8.48463956e-05  -1.33588845e-03  -4.38196330e-17   4.45194051e-16  -2.15849607e-16
  5.36000000e-07   7.36378281e-03   8.35884744e-05  -1.35294053e-03  -4.43314377e-17   4.14078530e-16  -2.15704150e-16
  5.44000000e-07   7.27751549e-03   8.23153695e-05  -1.36825788e-03  -4.47836498e-17   3.82829844e-16  -2.15164793e-16
  5.52000000e-07   7.20358461e-03   8.06606587e-05  -1.38754335e-03  -4.52162872e-17   3.50928519e-16  -2.14345177e-16
  5.60000000e-07   7.12515400e-03   7.91552519e-05  -1.40454553e-03  -4.56092484e-17   3.19979436e-16  -2.13339376e-16
  5.68000000e-07   7.04474146e-03   8.09287634e-05  -1.42024996e-03  -4.66187462e-17   2.89700690e-16  -2.14731141e-16
  5.76000000e-07   6.96833883e-03   7.90380985e-05  -1.43761204e-03  -4.68908121e-17   2.58921796e-16  -2.13052180e-16
  5.84000000e-07   6.89193346e-03   7.71436951e-05  -1.45496197e-03  -4.71355890e-17   2.28185058e-16  -2.11175489e-16
  5.92000000e-07   6.81908247e-03   7.43270596e-05  -1.47430606e-03  -4.72080808e-17   1.96598359e-16  -2.08439228e-16
  6.00000000e-07   6.74041757e-03   7.36643141e-05  -1.48919244e-03  -4.75932390e-17   1.67459414e-16  -2.07134090e-16
  6.08000000e-07   6.66545695e-03   7.18732097e-05  -1.50869454e-03  -4.78207353e-17   1.35379457e-16  -2.04824030e-16
  6.16000000e-07   6.58867027e-03   7.10816397e-05  -1.52556133e-03  -4.81609409e-17   1.05088464e-16  -2.03103405e-16
  6.24000000e-07   6.51192334e-03   7.01768987e-05  -1.54182427e-03  -4.84328430e-17   7.53244289e-17  -2.01128581e-16
  6.32000000e-07   6.43654166e-03   6.88511123e-05  -1.55923831e-03  -4.86115189e-17   4.49407838e-17  -1.98684089e-16
  6.40000000e-07   6.36170386e-03   6.73462214e-05  -1.57607665e-03  -4.87071442e-17   1.51665115e-17  -1.95954315e-16
  6.48000000e-07   6.28805073e-03   6.59255866e-05  -1.59218008e-03  -4.87688452e-17  -1.37400996e-17  -1.93173373e-16
  6.56000000e-07   6.21273355e-03   6.45077830e-05  -1.60993041e-03  -4.88318600e-17  -4.42786185e-17  -1.90216700e-16
  6.64000000e-07   6.13741286e-03   6.30905989e-05  -1.62766997e-03  -4.88564765e-17  -7.47741726e-17  -1.87120190e-16
  6.72000000e-07   6.06166747e-03   6.17994173e-05  -1.64699756e-03  -4.89004259e-17  -1.06602972e-16  -1.83974846e-16
  6.80000000e-07   5.98753876e-03   6.04472425e-05  -1.66398375e-03  -4.88400012e-17  -1.36179957e-16  -1.80688726e-16
  6.88000000e-07   5.91661183e-03   5.89676325e-05  -1.67980544e-03  -4.86884067e-17  -1.64136438e-16  -1.77252158e-16
  6.96000000e-07   5.84140818e-03   5.74160004e-05  -1.69759578e-03  -4.85244884e-17  -1.94509748e-16  -1.73550923e-16
  7.04000000e-07   5.76532829e-03   5.61419789e-05  -1.71599241e-03  -4.83847240e-17  -2.25513934e-16  -1.69939340e-16
  7.12000000e-07   5.69025067e-03   5.47196461e-05  -1.73380494e-03  -4.81567494e-17  -2.55809540e-16  -1.66121215e-16
  7.20000000e-07   5.61558917e-03   5.33053396e-05  -1.75201343e-03  -4.78918306e-17  -2.86306391e-16  -1.62214798e-16
  7.28000000e-07   5.54189228e-03   5.25055890e-05  -1.77114281e-03  -4.77209783e-17  -3.17319535e-16  -1.58725523e-16
  7.36000000e-07   5.46696414e-03   5.13618798e-05  -1.78847127e-03  -4.73934857e-17  -3.47092902e-16  -1.54839407e-16
  7.44000000e-07   5.39203270e-03   5.02219030e-05  -1.80579029e-03  -4.70169876e-17  -3.76825863e-16  -1.50871365e-16
  7.52000000e-07   5.31510322e-03   4.89963234e-05  -1.82371934e-03  -4.65841028e-17  -4.07418953e-16  -1.46711909e-16
  7.60000000e-07   5.24087075e-03   4.77193161e-05  -1.84185636e-03  -4.60920044e-17  -4.37605755e-16  -1.42489116e-16
  7.68000000e-07   5.16757635e-03   4.78081746e-05  -1.86109873e-03  -4.58403683e-17  -4.68466904e-16  -1.39315635e-16
  7.76000000e-07   5.09237833e-03   4.66999902e-05  -1.87923055e-03  -4.52703897e-17  -4.98782833e-16  -1.35069699e-16
  7.84000000e-07   5.01642091e-03   4.51174943e-05  -1.89738737e-03  -4.45488170e-17  -5.29237846e-16  -1.30365315e-16
  7.92000000e-07   4.94106662e-03   4.46090604e-05  -1.91622170e-03  -4.39954423e-17  -5.60089988e-16  -1.26483016e-16
  8.00000000e-07   4.86583818e-03   4.32260525e-05  -1.93482503e-03  -4.32021848e-17  -5.90698577e-16  -1.21844820e-16
  8.08000000e-07   4.79151164e-03   4.17634609e-05  -1.95300140e-03  -4.23242290e-17  -6.20750225e-16  -1.17112929e-16
  8.16000000e-07   4.71644282e-03   4.07872466e-05  -1.97207672e-03  -4.14961258e-17  -6.51646592e-16  -1.12720247e-16
  8.24000000e-07   4.64137133e-03   3.98168989e-05  -1.99114553e-03  -4.06036872e-17  -6.82509249e-16  -1.08295546e-16
  8.32000000e-07   4.56613549e-03   3.96600745e-05  -2.01120717e-03  -3.98210594e-17  -7.14181309e-16  -1.04490895e-16
  8.40000000e-07   4.49116283e-03   3.86035979e-05  -2.02974323e-03  -3.87669426e-17  -7.44539570e-16  -9.99390240e-17
  8.48000000e-07   4.41959860e-03   3.71672710e-05  -2.04668214e-03  -3.75471378e-17  -7.72898899e-16  -9.51148282e-17
  8.56000000e-07   4.34505735e-03   3.58704489e-05  -2.06586717e-03  -3.63207147e-17  -8.03639636e-16  -9.03458389e-17
  8.64000000e-07   4.27113067e-03   3.47806245e-05  -2.08551654e-03  -3.50690140e-17  -8.34606884e-16  -8.57401449e-17
  8.72000000e-07   4.19805001e-03   3.45842331e-05  -2.10440225e-03  -3.39124425e-17  -8.64763293e-16  -8.18632963e-17
  8.80000000e-07   4.12496659e-03   3.43947223e-05  -2.12328301e-03  -3.26836798e-17  -8.94893674e-16  -7.79918202e-17
  8.88000000e-07   4.05193412e-03   3.47312834e-05  -2.14229357e-03  -3.14862791e-17  -9.25097809e-16  -7.45510165e-17
  8.96000000e-07   3.97973636e-03   3.39825961e-05  -2.16129951e-03  -2.99965215e-17  -9.55110133e-16  -7.02518872e-17
  9.04000000e-07   3.90799001e-03   3.23219843e-05  -2.18012618e-03  -2.82462141e-17  -9.84865008e-16  -6.52341665e-17
  9.12000000e-07   3.83593876e-03   3.19041456e-05  -2.19914925e-03  -2.66671558e-17  -1.01481557e-15  -6.12374991e-17
  9.20000000e-07   3.76388548e-03   3.14937646e-05  -2.21816841e-03  -2.50096559e-17  -1.04474295e-15  -5.72708406e-17
  9.28000000e-07   3.69163109e-03   3.12433738e-05  -2.23879764e-03  -2.33137269e-17  -1.07599277e-15  -5.34587500e-17
  9.36000000e-07   3.61968305e-03   3.02675560e-05  -2.25772666e-03  -2.13759822e-17  -1.10578681e-15  -4.90952897e-17
  9.44000000e-07   3.54760843e-03   2.94976415e-05  -2.27620346e-03  -1.93937434e-17  -1.13522001e-15  -4.49378637e-17
  9.52000000e-07   3.47592902e-03   2.87733996e-05  -2.29569313e-03  -1.73413633e-17  -1.16537488e-15  -4.08631032e-17
  9.60000000e-07   3.40424824e-03   2.80567879e-05  -2.31518031e-03  -1.52027965e-17  -1.19550957e-15  -3.68421635e-17
  9.68000000e-07   3.33213978e-03   2.78988445e-05  -2.33485827e-03  -1.30866177e-17  -1.22586647e-15  -3.33239489e-17
  9.76000000e-07   3.25990513e-03   2.71854904e-05  -2.35438363e-03  -1.07686674e-17  -1.25610814e-15  -2.94143863e-17
  9.84000000e-07   3.18585042e-03   2.69539364e-05  -2.37512784e-03  -8.45562923e-18  -1.28768026e-15  -2.59549910e-17
  9.92000000e-07   3.11420926e-03   2.63567940e-05  -2.39473360e-03  -5.97177749e-18  -1.31783700e-15  -2.22702530e-17
  1.00000000e-06   3.04256817e-03   2.57673094e-05  -2.41433747e-03  -3.39463331e-18  -1.34797659e-15  -1.86643888e-17
  1.00800000e-06   2.97034646e-03   2.50187284e-05  -2.43342199e-03  -6.91268689e-19  -1.37779627e-15  -1.50093236e-17
  1.01600000e-06   2.89750436e-03   2.42614374e-05  -2.45337216e-03   2.11315855e-18  -1.40842412e-15  -1.14322270e-17
  1.02400000e-06   2.82307846e-03   2.37531057e-05  -2.47419726e-03   4.97288588e-18  -1.44005959e-15  -8.15094297e-18
  1.03200000e-06   2.74992152e-03   2.31201161e-05  -2.49497174e-03   7.96287250e-18  -1.47138851e-15  -4.85833115e-18
  1.04000000e-06   2.67676585e-03   2.24948948e-05  -2.51574575e-03   1.10579678e-17  -1.50270336e-15  -1.67090158e-18
  1.04800000e-06   2.60486696e-03   2.21612746e-05  -2.53725810e-03   1.42091944e-17  -1.53435303e-15   1.18625772e-18
  1.05600000e-06   2.53148759e-03   2.14935207e-05  -2.55797280e-03   1.75315270e-17  -1.56563910e-15   4.19462888e-18
  1.06400000e-06   2.45678288e-03   2.10768727e-05  -2.57793298e-03   2.09074240e-17  -1.59656599e-15   6.87154535e-18
  1.07200000e-06   2.38395527e-03   2.04779610e-05  -2.59899789e-03   2.44418658e-17  -1.62800169e-15   9.59222003e-18
  1.08000000e-06   2.31112966e-03   1.98863627e-05  -2.62006339e-03   2.80899678e-17  -1.65942576e-15   1.21827645e-17
  1.08800000e-06   2.24137628e-03   2.00736067e-05  -2.64289200e-03   3.17252425e-17  -
