     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   3.858762e+01   3.918460e+01   1.000000e-01   9.278988e+04   9.719051e+04  -6.066100e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-09   3.858836e+01   3.918538e+01   9.951474e-02   9.238973e+04   9.757523e+04  -6.065416e+04  -5.001468e+10   4.807782e+10   1.159972e+09   1.474304e+05   3.728543e-27   0.000000e+00   0.000000e+00
       16000   1.599900e-08   3.858910e+01   3.918616e+01   9.902955e-02   9.198966e+04   9.795974e+04  -6.064244e+04  -5.000111e+10   4.804868e+10   1.768515e+09   1.474304e+05   3.726702e-27   0.000000e+00   0.000000e+00
       24000   2.399900e-08   3.858983e+01   3.918694e+01   9.854447e-02   9.158972e+04   9.834400e+04  -6.062586e+04  -4.998365e+10   4.801588e+10   2.376553e+09   1.474304e+05   3.724861e-27   0.000000e+00   0.000000e+00
       32000   3.199900e-08   3.859056e+01   3.918773e+01   9.805955e-02   9.118993e+04   9.872799e+04  -6.060442e+04  -4.996232e+10   4.797942e+10   2.984038e+09   1.474304e+05   3.723022e-27   0.000000e+00   0.000000e+00
       40000   3.999900e-08   3.859129e+01   3.918852e+01   9.757481e-02   9.079033e+04   9.911166e+04  -6.057812e+04  -4.993712e+10   4.793931e+10   3.590924e+09   1.474304e+05   3.721183e-27   0.000000e+00   0.000000e+00
       48000   4.799900e-08   3.859202e+01   3.918932e+01   9.709031e-02   9.039095e+04   9.949501e+04  -6.054696e+04  -4.990807e+10   4.789555e+10   4.197166e+09   1.474304e+05   3.719345e-27   0.000000e+00   0.000000e+00
       56000   5.599900e-08   3.859274e+01   3.919012e+01   9.660607e-02   8.999181e+04   9.987798e+04  -6.051096e+04  -4.987515e+10   4.784815e+10   4.802716e+09   1.474304e+05   3.717508e-27   0.000000e+00   0.000000e+00
       64000   6.399900e-08   3.859346e+01   3.919092e+01   9.612215e-02   8.959296e+04   1.002606e+05  -6.047012e+04  -4.983839e+10   4.779713e+10   5.407528e+09   1.474304e+05   3.715672e-27   0.000000e+00   0.000000e+00
       72000   7.199900e-08   3.859417e+01   3.919172e+01   9.563856e-02   8.919441e+04   1.006427e+05  -6.042444e+04  -4.979778e+10   4.774248e+10   6.011556e+09   1.474304e+05   3.713836e-27   0.000000e+00   0.000000e+00
       80000   7.999900e-08   3.859488e+01   3.919253e+01   9.515537e-02   8.879620e+04   1.010244e+05  -6.037394e+04  -4.975334e+10   4.768422e+10   6.614755e+09   1.474304e+05   3.712002e-27   0.000000e+00   0.000000e+00
       88000   8.799900e-08   3.859559e+01   3.919334e+01   9.467259e-02   8.839837e+04   1.014057e+05  -6.031861e+04  -4.970507e+10   4.762235e+10   7.217078e+09   1.474304e+05   3.710170e-27   0.000000e+00   0.000000e+00
       96000   9.599900e-08   3.859630e+01   3.919415e+01   9.419028e-02   8.800093e+04   1.017864e+05  -6.025847e+04  -4.965297e+10   4.755687e+10   7.818479e+09   1.474304e+05   3.708338e-27   0.000000e+00   0.000000e+00
      104000   1.039990e-07   3.859700e+01   3.919497e+01   9.370847e-02   8.760393e+04   1.021666e+05  -6.019352e+04  -4.959707e+10   4.748781e+10   8.418914e+09   1.474304e+05   3.706507e-27   0.000000e+00   0.000000e+00
      112000   1.119990e-07   3.859770e+01   3.919578e+01   9.322720e-02   8.720739e+04   1.025462e+05  -6.012377e+04  -4.953735e+10   4.741517e+10   9.018336e+09   1.474304e+05   3.704678e-27   0.000000e+00   0.000000e+00
      120000   1.199990e-07   3.859840e+01   3.919661e+01   9.274650e-02   8.681134e+04   1.029252e+05  -6.004923e+04  -4.947384e+10   4.733895e+10   9.616701e+09   1.474304e+05   3.702850e-27   0.000000e+00   0.000000e+00
      128000   1.279990e-07   3.859909e+01   3.919743e+01   9.226642e-02   8.641582e+04   1.033036e+05  -5.996990e+04  -4.940653e+10   4.725916e+10   1.021396e+10   1.474304e+05   3.701024e-27   0.000000e+00   0.000000e+00
      136000   1.359990e-07   3.859978e+01   3.919826e+01   9.178700e-02   8.602085e+04   1.036813e+05  -5.988580e+04  -4.933545e+10   4.717582e+10   1.081008e+10   1.474304e+05   3.699199e-27   0.000000e+00   0.000000e+00
      144000   1.439990e-07   3.860047e+01   3.919909e+01   9.130826e-02   8.562641e+04   1.040585e+05  -5.979681e+04  -4.926961e+10   4.711048e+10   1.142974e+10   1.474304e+05   3.700072e-27   0.000000e+00   0.000000e+00
      152000   1.519990e-07   3.860115e+01   3.919992e+01   9.083026e-02   8.523257e+04   1.044350e+05  -5.970299e+04  -4.919073e+10   4.701993e+10   1.202404e+10   1.474304e+05   3.698251e-27   0.000000e+00   0.000000e+00
      160000   1.599990e-07   3.860183e+01   3.920076e+01   9.035303e-02   8.483955e+04   1.048107e+05  -5.960445e+04  -4.908340e+10   4.690438e+10   1.261418e+10   1.474304e+05   3.692938e-27   0.000000e+00   0.000000e+00
      168000   1.679990e-07   3.860251e+01   3.920160e+01   8.987660e-02   8.444722e+04   1.051855e+05  -5.950117e+04  -4.899730e+10   4.680708e+10   1.320539e+10   1.474304e+05   3.691158e-27   0.000000e+00   0.000000e+00
      176000   1.759990e-07   3.860318e+01   3.920244e+01   8.940102e-02   8.405560e+04   1.055596e+05  -5.939316e+04  -4.890746e+10   4.670627e+10   1.379523e+10   1.474304e+05   3.689380e-27   0.000000e+00   0.000000e+00
      184000   1.839990e-07   3.860385e+01   3.920329e+01   8.892633e-02   8.366471e+04   1.059328e+05  -5.928045e+04  -4.881390e+10   4.660196e+10   1.438367e+10   1.474304e+05   3.687603e-27   0.000000e+00   0.000000e+00
      192000   1.919990e-07   3.860452e+01   3.920414e+01   8.845255e-02   8.327459e+04   1.063052e+05  -5.916303e+04  -4.871663e+10   4.649416e+10   1.497064e+10   1.474304e+05   3.685828e-27   0.000000e+00   0.000000e+00
      200000   1.999990e-07   3.860518e+01   3.920499e+01   8.797973e-02   8.288526e+04   1.066767e+05  -5.904092e+04  -4.861566e+10   4.638289e+10   1.555612e+10   1.474304e+05   3.684054e-27   0.000000e+00   0.000000e+00
      208000   2.079990e-07   3.860585e+01   3.920585e+01   8.750791e-02   8.249675e+04   1.070473e+05  -5.891413e+04  -4.851099e+10   4.626816e+10   1.614006e+10   1.474304e+05   3.682283e-27   0.000000e+00   0.000000e+00
      216000   2.159990e-07   3.860650e+01   3.920670e+01   8.703712e-02   8.210909e+04   1.074170e+05  -5.878268e+04  -4.840265e+10   4.614997e+10   1.672241e+10   1.474304e+05   3.680513e-27   0.000000e+00   0.000000e+00
      224000   2.239990e-07   3.860716e+01   3.920756e+01   8.656740e-02   8.172232e+04   1.077857e+05  -5.864658e+04  -4.829064e+10   4.602834e+10   1.730313e+10   1.474304e+05   3.678745e-27   0.000000e+00   0.000000e+00
      232000   2.319990e-07   3.860781e+01   3.920843e+01   8.609878e-02   8.133645e+04   1.081534e+05  -5.850584e+04  -4.817498e+10   4.590329e+10   1.788218e+10   1.474304e+05   3.676980e-27   0.000000e+00   0.000000e+00
      240000   2.399990e-07   3.860846e+01   3.920929e+01   8.563132e-02   8.095153e+04   1.085201e+05  -5.836047e+04  -4.805567e+10   4.577483e+10   1.845952e+10   1.474304e+05   3.675216e-27   0.000000e+00   0.000000e+00
      248000   2.479990e-07   3.860911e+01   3.921016e+01   8.516503e-02   8.056757e+04   1.088858e+05  -5.821049e+04  -4.793273e+10   4.564296e+10   1.903509e+10   1.474304e+05   3.673454e-27   0.000000e+00   0.000000e+00
      256000   2.559990e-07   3.860975e+01   3.921104e+01   8.469996e-02   8.018461e+04   1.092504e+05  -5.805591e+04  -4.780618e+10   4.550770e+10   1.960887e+10   1.474304e+05   3.671695e-27   0.000000e+00   0.000000e+00
      264000   2.639990e-07   3.861039e+01   3.921191e+01   8.423615e-02   7.980268e+04   1.096139e+05  -5.789675e+04  -4.767602e+10   4.536907e+10   2.018080e+10   1.474304e+05   3.669938e-27   0.000000e+00   0.000000e+00
      272000   2.719990e-07   3.861103e+01   3.921279e+01   8.377362e-02   7.942181e+04   1.099763e+05  -5.773302e+04  -4.754228e+10   4.522708e+10   2.075084e+10   1.474304e+05   3.668182e-27   0.000000e+00   0.000000e+00
      280000   2.799990e-07   3.861166e+01   3.921367e+01   8.331243e-02   7.904202e+04   1.103376e+05  -5.756474e+04  -4.740495e+10   4.508173e+10   2.131896e+10   1.474304e+05   3.666430e-27   0.000000e+00   0.000000e+00
      288000   2.879990e-07   3.861229e+01   3.921456e+01   8.285260e-02   7.866334e+04   1.106976e+05  -5.739192e+04  -4.726407e+10   4.493306e+10   2.188511e+10   1.474304e+05   3.664679e-27   0.000000e+00   0.000000e+00
      296000   2.959990e-07   3.861292e+01   3.921544e+01   8.239417e-02   7.828580e+04   1.110565e+05  -5.721459e+04  -4.711963e+10   4.478107e+10   2.244925e+10   1.474304e+05   3.662931e-27   0.000000e+00   0.000000e+00
      304000   3.039990e-07   3.861354e+01   3.921633e+01   8.193718e-02   7.790943e+04   1.114141e+05  -5.703274e+04  -4.697167e+10   4.462577e+10   2.301134e+10   1.474304e+05   3.661185e-27   0.000000e+00   0.000000e+00
      312000   3.119990e-07   3.861417e+01   3.921723e+01   8.148166e-02   7.753426e+04   1.117705e+05  -5.684641e+04  -4.682018e+10   4.446718e+10   2.357133e+10   1.474304e+05   3.659441e-27   0.000000e+00   0.000000e+00
      320000   3.199990e-07   3.861478e+01   3.921812e+01   8.102765e-02   7.716032e+04   1.121256e+05  -5.665560e+04  -4.666519e+10   4.430532e+10   2.412919e+10   1.474304e+05   3.657700e-27   0.000000e+00   0.000000e+00
      328000   3.279990e-07   3.861540e+01   3.921902e+01   8.057518e-02   7.678763e+04   1.124794e+05  -5.646035e+04  -4.650671e+10   4.414020e+10   2.468488e+10   1.474304e+05   3.655962e-27   0.000000e+00   0.000000e+00
      336000   3.359990e-07   3.861601e+01   3.921992e+01   8.012429e-02   7.641622e+04   1.128318e+05  -5.626065e+04  -4.634476e+10   4.397184e+10   2.523834e+10   1.474304e+05   3.654226e-27   0.000000e+00   0.000000e+00
      344000   3.439990e-07   3.861662e+01   3.922082e+01   7.967502e-02   7.604612e+04   1.131829e+05  -5.605654e+04  -4.617935e+10   4.380024e+10   2.578956e+10   1.474304e+05   3.652492e-27   0.000000e+00   0.000000e+00
      352000   3.519990e-07   3.861723e+01   3.922173e+01   7.922740e-02   7.567736e+04   1.135326e+05  -5.584802e+04  -4.601050e+10   4.362544e+10   2.633847e+10   1.474304e+05   3.650761e-27   0.000000e+00   0.000000e+00
      360000   3.599990e-07   3.861783e+01   3.922264e+01   7.878147e-02   7.530996e+04   1.138809e+05  -5.563513e+04  -4.583822e+10   4.344744e+10   2.688505e+10   1.474304e+05   3.649033e-27   0.000000e+00   0.000000e+00
      368000   3.679990e-07   3.861843e+01   3.922355e+01   7.833725e-02   7.494396e+04   1.142277e+05  -5.541787e+04  -4.566254e+10   4.326625e+10   2.742926e+10   1.474304e+05   3.647307e-27   0.000000e+00   0.000000e+00
      376000   3.759990e-07   3.861903e+01   3.922447e+01   7.789479e-02   7.457937e+04   1.145731e+05  -5.519627e+04  -4.548346e+10   4.308191e+10   2.797105e+10   1.474304e+05   3.645585e-27   0.000000e+00   0.000000e+00
      384000   3.839990e-07   3.861963e+01   3.922539e+01   7.745412e-02   7.421623e+04   1.149171e+05  -5.497034e+04  -4.530101e+10   4.289442e+10   2.851038e+10   1.474304e+05   3.643864e-27   0.000000e+00   0.000000e+00
      392000   3.919990e-07   3.862022e+01   3.922631e+01   7.701528e-02   7.385457e+04   1.152594e+05  -5.474011e+04  -4.511520e+10   4.270380e+10   2.904723e+10   1.474304e+05   3.642147e-27   0.000000e+00   0.000000e+00
      400000   3.999990e-07   3.862081e+01   3.922723e+01   7.657829e-02   7.349440e+04   1.156003e+05  -5.450559e+04  -4.492605e+10   4.251007e+10   2.958154e+10   1.474304e+05   3.640432e-27   0.000000e+00   0.000000e+00
      408000   4.079990e-07   3.862140e+01   3.922816e+01   7.614320e-02   7.313576e+04   1.159396e+05  -5.426681e+04  -4.473358e+10   4.231324e+10   3.011328e+10   1.474304e+05   3.638721e-27   0.000000e+00   0.000000e+00
      416000   4.159990e-07   3.862198e+01   3.922909e+01   7.571003e-02   7.277867e+04   1.162773e+05  -5.402378e+04  -4.453780e+10   4.211334e+10   3.064241e+10   1.474304e+05   3.637012e-27   0.000000e+00   0.000000e+00
