     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.923515e+01   6.645004e+00   1.141375e+06   2.585506e+06  -1.367293e+06   0.000000e+00   0.000000e+00   0.000000e+00   3.139597e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.873661e-01   1.944362e+01   6.535506e+00   1.042698e+06   2.625258e+06  -1.370355e+06  -1.236245e+12   4.669295e+11  -4.614685e+10   3.139597e+06   8.844925e-18   0.000000e+00   0.000000e+00
       16000   1.599900e-07   2.668225e-01   1.965507e+01   6.425714e+00   9.436735e+05   2.660240e+06  -1.374655e+06  -1.239050e+12   4.077289e+11  -6.155658e+10   3.139597e+06   8.626501e-18   0.000000e+00   0.000000e+00
       24000   2.399900e-07   3.383502e-01   1.986913e+01   6.315529e+00   8.445059e+05   2.690547e+06  -1.380159e+06  -1.239945e+12   3.501395e+11  -7.614370e+10   3.139598e+06   8.427091e-18   0.000000e+00   0.000000e+00
       32000   3.199900e-07   4.019445e-01   2.008543e+01   6.204858e+00   7.453808e+05   2.716285e+06  -1.386823e+06  -1.237809e+12   2.935285e+11  -9.038504e+10   3.139598e+06   8.227982e-18   0.000000e+00   0.000000e+00
       40000   3.999900e-07   4.576182e-01   2.030362e+01   6.093608e+00   6.465233e+05   2.737543e+06  -1.394611e+06  -1.233563e+12   2.381500e+11  -1.044000e+11   3.139598e+06   8.039772e-18   0.000000e+00   0.000000e+00
       48000   4.799900e-07   5.053994e-01   2.052332e+01   5.981693e+00   5.481017e+05   2.754467e+06  -1.403415e+06  -1.226742e+12   1.851442e+11  -1.157331e+11   3.139598e+06   7.853997e-18   0.000000e+00   0.000000e+00
       56000   5.599900e-07   5.453311e-01   2.074422e+01   5.869038e+00   4.503132e+05   2.767205e+06  -1.413107e+06  -1.217550e+12   1.335165e+11  -1.265486e+11   3.139599e+06   7.670374e-18   0.000000e+00   0.000000e+00
       64000   6.399900e-07   5.774723e-01   2.096597e+01   5.755575e+00   3.533730e+05   2.775887e+06  -1.423608e+06  -1.205944e+12   8.383671e+10  -1.358814e+11   3.139599e+06   7.485850e-18   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.018975e-01   2.118826e+01   5.641240e+00   2.574348e+05   2.780643e+06  -1.434864e+06  -1.192290e+12   3.550229e+10  -1.451233e+11   3.139599e+06   7.304155e-18   0.000000e+00   0.000000e+00
       80000   7.999900e-07   6.186933e-01   2.141077e+01   5.525979e+00   1.626734e+05   2.781642e+06  -1.446750e+06  -1.176261e+12  -1.004601e+10  -1.515844e+11   3.139599e+06   7.115934e-18   0.000000e+00   0.000000e+00
       88000   8.799900e-07   6.279618e-01   2.163322e+01   5.409750e+00   6.927433e+04   2.779126e+06  -1.459022e+06  -1.158473e+12  -5.233626e+10  -1.547031e+11   3.139599e+06   6.924020e-18   0.000000e+00   0.000000e+00
       96000   9.599900e-07   6.298165e-01   2.185534e+01   5.292531e+00  -2.264748e+04   2.773340e+06  -1.471446e+06  -1.139281e+12  -9.172078e+10  -1.553467e+11   3.139599e+06   6.730655e-18   0.000000e+00   0.000000e+00
      104000   1.039990e-06   6.243819e-01   2.207688e+01   5.174316e+00  -1.129302e+05   2.764459e+06  -1.483948e+06  -1.117613e+12  -1.296486e+11  -1.564804e+11   3.139600e+06   6.527542e-18   0.000000e+00   0.000000e+00
      112000   1.119990e-06   6.117948e-01   2.229758e+01   5.055099e+00  -2.014415e+05   2.752637e+06  -1.496496e+06  -1.094947e+12  -1.654031e+11  -1.568594e+11   3.139600e+06   6.327813e-18   0.000000e+00   0.000000e+00
      120000   1.199990e-06   5.922005e-01   2.251723e+01   4.934883e+00  -2.880988e+05   2.738136e+06  -1.508873e+06  -1.071206e+12  -1.965782e+11  -1.522042e+11   3.139600e+06   6.117467e-18   0.000000e+00   0.000000e+00
