       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.93034685e-04   1.17728224e-04  -3.71180204e-03  -2.75036776e-15   1.01655751e-14   1.79389611e-16
  8.00000000e-08   3.10577001e-04   1.87546257e-04  -3.59638282e-03  -2.56206509e-15   9.41668055e-15   2.69811292e-16
  1.60000000e-07   4.21084718e-04   2.53025809e-04  -3.48425032e-03  -2.37280867e-15   8.70493866e-15   3.45388696e-16
  2.40000000e-07   5.43556883e-04   3.26213967e-04  -3.37025244e-03  -2.14028316e-15   7.95463633e-15   4.24759824e-16
  3.20000000e-07   6.70639475e-04   4.00995786e-04  -3.25310856e-03  -1.88344534e-15   7.18598123e-15   4.97504269e-16
  4.00000000e-07   7.83168690e-04   4.69177355e-04  -3.13795140e-03  -1.63456373e-15   6.47516904e-15   5.60194636e-16
  4.80000000e-07   9.05352003e-04   5.43623918e-04  -3.02206106e-03  -1.35097035e-15   5.73660831e-15   6.27205649e-16
  5.60000000e-07   1.03065329e-03   6.19667351e-04  -2.90418545e-03  -1.04720591e-15   4.98769820e-15   6.92589213e-16
  6.40000000e-07   1.15643956e-03   6.90628703e-04  -2.78399895e-03  -7.45090343e-16   4.23578325e-15   7.41272383e-16
  7.20000000e-07   1.27883183e-03   7.60810688e-04  -2.66222301e-03  -4.32526777e-16   3.49504697e-15   7.91045707e-16
  8.00000000e-07   1.39979291e-03   8.31093241e-04  -2.53917940e-03  -1.08209324e-16   2.75989672e-15   8.43682358e-16
  8.80000000e-07   1.52531873e-03   9.03715240e-04  -2.41474158e-03   2.34178760e-16   2.01053856e-15   9.00366152e-16
  9.60000000e-07   1.65432290e-03   9.77431647e-04  -2.29009960e-03   5.88326550e-16   1.25367775e-15   9.60074574e-16
  1.04000000e-06   1.78870292e-03   1.05200018e-03  -2.16369826e-03   9.54197115e-16   4.78555803e-16   1.02149916e-15
  1.12000000e-06   1.92025381e-03   1.12631788e-03  -2.03838926e-03   1.32398851e-15  -2.80858635e-16   1.09206711e-15
  1.20000000e-06   2.04909377e-03   1.20066093e-03  -1.90936360e-03   1.70260185e-15  -1.03906652e-15   1.17380695e-15
  1.28000000e-06   2.17982408e-03   1.27756067e-03  -1.77702239e-03   2.09640557e-15  -1.80980197e-15   1.27047556e-15
  1.36000000e-06   2.32028636e-03   1.35338696e-03  -1.64618994e-03   2.48744140e-15  -2.60437470e-15   1.36487871e-15
  1.44000000e-06   2.45394997e-03   1.42656028e-03  -1.51507669e-03   2.87137697e-15  -3.37599855e-15   1.47197169e-15
  1.52000000e-06   2.59555134e-03   1.50384326e-03  -1.38036767e-03   3.27180032e-15  -4.18116454e-15   1.59690035e-15
  1.60000000e-06   2.73950647e-03   1.58422921e-03  -1.24446175e-03   3.68147441e-15  -4.99538434e-15   1.74500273e-15
  1.68000000e-06   2.87775111e-03   1.66209354e-03  -1.10992919e-03   4.07845391e-15  -5.78597408e-15   1.90998231e-15
  1.76000000e-06   3.01648493e-03   1.73977082e-03  -9.75507954e-04   4.46997465e-15  -6.57632154e-15   2.09359527e-15
  1.84000000e-06   3.16297250e-03   1.82230927e-03  -8.39032944e-04   4.87243486e-15  -7.39559386e-15   2.30541391e-15
  1.92000000e-06   3.31265452e-03   1.90625086e-03  -6.99738306e-04   5.27394113e-15  -8.23178671e-15   2.54222813e-15
  2.00000000e-06   3.45869910e-03   1.98529311e-03  -5.61188580e-04   5.64968123e-15  -9.05298355e-15   2.79357345e-15
  2.08000000e-06   3.60458881e-03   2.06758245e-03  -4.21597689e-04   6.02494204e-15  -9.87538491e-15   3.08176757e-15
  2.16000000e-06   3.75439660e-03   2.15285298e-03  -2.82144310e-04   6.39586781e-15  -1.07076684e-14   3.40460019e-15
  2.24000000e-06   3.90590611e-03   2.23788520e-03  -1.41181419e-04   6.75190947e-15  -1.15475013e-14   3.75645945e-15
