       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.03743791e-04   5.33176961e-05  -3.98339245e-03  -4.49904135e-16  -1.06200243e-15  -2.59322386e-17
  8.00000000e-10   1.03728894e-04   5.38272565e-05  -3.98323211e-03  -4.49499055e-16  -1.06209583e-15  -2.60581712e-17
  1.60000000e-09   1.03051252e-04   5.34696951e-05  -3.98313243e-03  -4.49207154e-16  -1.06212391e-15  -2.58798328e-17
  2.40000000e-09   1.02373516e-04   5.31120853e-05  -3.98303261e-03  -4.48915253e-16  -1.06215185e-15  -2.57015553e-17
  3.20000000e-09   1.01695687e-04   5.27544273e-05  -3.98293266e-03  -4.48623353e-16  -1.06217965e-15  -2.55233387e-17
  4.00000000e-09   1.01017765e-04   5.23967209e-05  -3.98283259e-03  -4.48331454e-16  -1.06220730e-15  -2.53451830e-17
  4.80000000e-09   1.00339749e-04   5.20389663e-05  -3.98273238e-03  -4.48039556e-16  -1.06223480e-15  -2.51670883e-17
  5.60000000e-09   9.96616396e-05   5.16811635e-05  -3.98263204e-03  -4.47747659e-16  -1.06226216e-15  -2.49890548e-17
  6.40000000e-09   9.89834371e-05   5.13233125e-05  -3.98253158e-03  -4.47455764e-16  -1.06228937e-15  -2.48110823e-17
  7.20000000e-09   9.83051414e-05   5.09654133e-05  -3.98243098e-03  -4.47163869e-16  -1.06231644e-15  -2.46331711e-17
  8.00000000e-09   9.76267526e-05   5.06074660e-05  -3.98233025e-03  -4.46871976e-16  -1.06234336e-15  -2.44553212e-17
  8.80000000e-09   9.69482707e-05   5.02494705e-05  -3.98222940e-03  -4.46580085e-16  -1.06237014e-15  -2.42775326e-17
  9.60000000e-09   9.62696958e-05   4.98914270e-05  -3.98212841e-03  -4.46288194e-16  -1.06239677e-15  -2.40998053e-17
  1.04000000e-08   9.55910280e-05   4.95333355e-05  -3.98202730e-03  -4.45996306e-16  -1.06242325e-15  -2.39221396e-17
  1.12000000e-08   9.49122672e-05   4.91751959e-05  -3.98192605e-03  -4.45704418e-16  -1.06244959e-15  -2.37445353e-17
  1.20000000e-08   9.42334136e-05   4.88170083e-05  -3.98182467e-03  -4.45412533e-16  -1.06247579e-15  -2.35669926e-17
  1.28000000e-08   9.35544671e-05   4.84587728e-05  -3.98172317e-03  -4.45120649e-16  -1.06250183e-15  -2.33895116e-17
  1.36000000e-08   9.28754280e-05   4.81004894e-05  -3.98162153e-03  -4.44828767e-16  -1.06252774e-15  -2.32120922e-17
  1.44000000e-08   9.21962962e-05   4.77421581e-05  -3.98151977e-03  -4.44536886e-16  -1.06255350e-15  -2.30347346e-17
  1.52000000e-08   9.15170717e-05   4.73837789e-05  -3.98141788e-03  -4.44245008e-16  -1.06257911e-15  -2.28574389e-17
  1.60000000e-08   9.08377547e-05   4.70253518e-05  -3.98131585e-03  -4.43953131e-16  -1.06260458e-15  -2.26802050e-17
  1.68000000e-08   9.01583452e-05   4.66668770e-05  -3.98121370e-03  -4.43661257e-16  -1.06262990e-15  -2.25030331e-17
  1.76000000e-08   8.94788433e-05   4.63083544e-05  -3.98111142e-03  -4.43369384e-16  -1.06265508e-15  -2.23259232e-17
  1.84000000e-08   8.87992490e-05   4.59497841e-05  -3.98100900e-03  -4.43077513e-16  -1.06268011e-15  -2.21488753e-17
