     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   2.399427e+00   1.466958e+01   5.225851e+04  -1.267986e+05   5.410071e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-10   1.000418e-01   2.399326e+00   1.466962e+01   5.227786e+04  -1.267900e+05   5.410207e+04   2.419040e+10   1.069494e+10   1.689210e+09   1.474304e+05   5.439987e-30   0.000000e+00   0.000000e+00
       16000   1.599900e-09   1.000836e-01   2.399224e+00   1.466966e+01   5.229721e+04  -1.267814e+05   5.410342e+04   2.418840e+10   1.069873e+10   1.689635e+09   1.474304e+05   5.439875e-30   0.000000e+00   0.000000e+00
       24000   2.399900e-09   1.001255e-01   2.399123e+00   1.466971e+01   5.231656e+04  -1.267729e+05   5.410477e+04   2.418639e+10   1.070252e+10   1.690059e+09   1.474304e+05   5.439764e-30   0.000000e+00   0.000000e+00
       32000   3.199900e-09   1.001674e-01   2.399021e+00   1.466975e+01   5.233591e+04  -1.267643e+05   5.410612e+04   2.418439e+10   1.070631e+10   1.690484e+09   1.474304e+05   5.439652e-30   0.000000e+00   0.000000e+00
       40000   3.999900e-09   1.002092e-01   2.398920e+00   1.466979e+01   5.235526e+04  -1.267558e+05   5.410747e+04   2.418239e+10   1.071009e+10   1.690909e+09   1.474304e+05   5.439540e-30   0.000000e+00   0.000000e+00
       48000   4.799900e-09   1.002511e-01   2.398818e+00   1.466984e+01   5.237460e+04  -1.267472e+05   5.410883e+04   2.418038e+10   1.071388e+10   1.691334e+09   1.474304e+05   5.439429e-30   0.000000e+00   0.000000e+00
       56000   5.599900e-09   1.002930e-01   2.398717e+00   1.466988e+01   5.239395e+04  -1.267386e+05   5.411018e+04   2.417838e+10   1.071766e+10   1.691759e+09   1.474304e+05   5.439318e-30   0.000000e+00   0.000000e+00
       64000   6.399900e-09   1.003349e-01   2.398616e+00   1.466992e+01   5.241329e+04  -1.267300e+05   5.411153e+04   2.417637e+10   1.072145e+10   1.692184e+09   1.474304e+05   5.439207e-30   0.000000e+00   0.000000e+00
       72000   7.199900e-09   1.003769e-01   2.398514e+00   1.466997e+01   5.243263e+04  -1.267215e+05   5.411289e+04   2.417437e+10   1.072524e+10   1.692609e+09   1.474304e+05   5.439095e-30   0.000000e+00   0.000000e+00
       80000   7.999900e-09   1.004188e-01   2.398413e+00   1.467001e+01   5.245197e+04  -1.267129e+05   5.411424e+04   2.417236e+10   1.072902e+10   1.693035e+09   1.474304e+05   5.438984e-30   0.000000e+00   0.000000e+00
       88000   8.799900e-09   1.004608e-01   2.398312e+00   1.467005e+01   5.247130e+04  -1.267043e+05   5.411560e+04   2.417035e+10   1.073281e+10   1.693460e+09   1.474304e+05   5.438873e-30   0.000000e+00   0.000000e+00
       96000   9.599900e-09   1.005028e-01   2.398210e+00   1.467010e+01   5.249064e+04  -1.266957e+05   5.411695e+04   2.416835e+10   1.073659e+10   1.693886e+09   1.474304e+05   5.438762e-30   0.000000e+00   0.000000e+00
      104000   1.039990e-08   1.005448e-01   2.398109e+00   1.467014e+01   5.250997e+04  -1.266871e+05   5.411831e+04   2.416634e+10   1.074037e+10   1.694312e+09   1.474304e+05   5.438652e-30   0.000000e+00   0.000000e+00
      112000   1.119990e-08   1.005868e-01   2.398008e+00   1.467018e+01   5.252931e+04  -1.266785e+05   5.411966e+04   2.416433e+10   1.074416e+10   1.694737e+09   1.474304e+05   5.438541e-30   0.000000e+00   0.000000e+00
      120000   1.199990e-08   1.006288e-01   2.397906e+00   1.467023e+01   5.254864e+04  -1.266699e+05   5.412102e+04   2.416232e+10   1.074794e+10   1.695163e+09   1.474304e+05   5.438430e-30   0.000000e+00   0.000000e+00
      128000   1.279990e-08   1.006709e-01   2.397805e+00   1.467027e+01   5.256797e+04  -1.266613e+05   5.412237e+04   2.416031e+10   1.075173e+10   1.695590e+09   1.474304e+05   5.438320e-30   0.000000e+00   0.000000e+00
      136000   1.359990e-08   1.007130e-01   2.397704e+00   1.467031e+01   5.258729e+04  -1.266527e+05   5.412373e+04   2.415831e+10   1.075551e+10   1.696016e+09   1.474304e+05   5.438209e-30   0.000000e+00   0.000000e+00
      144000   1.439990e-08   1.007550e-01   2.397602e+00   1.467036e+01   5.260662e+04  -1.266441e+05   5.412509e+04   2.415630e+10   1.075929e+10   1.696442e+09   1.474304e+05   5.438099e-30   0.000000e+00   0.000000e+00
      152000   1.519990e-08   1.007971e-01   2.397501e+00   1.467040e+01   5.262594e+04  -1.266355e+05   5.412645e+04   2.415429e+10   1.076308e+10   1.696869e+09   1.474304e+05   5.437989e-30   0.000000e+00   0.000000e+00
      160000   1.599990e-08   1.008392e-01   2.397400e+00   1.467044e+01   5.264527e+04  -1.266269e+05   5.412780e+04   2.415228e+10   1.076686e+10   1.697295e+09   1.474304e+05   5.437878e-30   0.000000e+00   0.000000e+00
      168000   1.679990e-08   1.008814e-01   2.397298e+00   1.467049e+01   5.266459e+04  -1.266183e+05   5.412916e+04   2.415026e+10   1.077064e+10   1.697722e+09   1.474304e+05   5.437768e-30   0.000000e+00   0.000000e+00
      176000   1.759990e-08   1.009235e-01   2.397197e+00   1.467053e+01   5.268391e+04  -1.266097e+05   5.413052e+04   2.414825e+10   1.077442e+10   1.698149e+09   1.474304e+05   5.437658e-30   0.000000e+00   0.000000e+00
      184000   1.839990e-08   1.009656e-01   2.397096e+00   1.467057e+01   5.270322e+04  -1.266010e+05   5.413188e+04   2.414624e+10   1.077820e+10   1.698576e+09   1.474304e+05   5.437548e-30   0.000000e+00   0.000000e+00
      192000   1.919990e-08   1.010078e-01   2.396994e+00   1.467062e+01   5.272254e+04  -1.265924e+05   5.413324e+04   2.414423e+10   1.078199e+10   1.699003e+09   1.474304e+05   5.437438e-30   0.000000e+00   0.000000e+00
      200000   1.999990e-08   1.010500e-01   2.396893e+00   1.467066e+01   5.274186e+04  -1.265838e+05   5.413460e+04   2.414222e+10   1.078577e+10   1.699430e+09   1.474304e+05   5.437329e-30   0.000000e+00   0.000000e+00
      208000   2.079990e-08   1.010922e-01   2.396792e+00   1.467070e+01   5.276117e+04  -1.265752e+05   5.413596e+04   2.414020e+10   1.078955e+10   1.699857e+09   1.474304e+05   5.437219e-30   0.000000e+00   0.000000e+00
      216000   2.159990e-08   1.011344e-01   2.396691e+00   1.467075e+01   5.278048e+04  -1.265665e+05   5.413732e+04   2.413819e+10   1.079333e+10   1.700285e+09   1.474304e+05   5.437109e-30   0.000000e+00   0.000000e+00
      224000   2.239990e-08   1.011767e-01   2.396589e+00   1.467079e+01   5.279979e+04  -1.265579e+05   5.413868e+04   2.413618e+10   1.079711e+10   1.700712e+09   1.474304e+05   5.437000e-30   0.000000e+00   0.000000e+00
      232000   2.319990e-08   1.012189e-01   2.396488e+00   1.467083e+01   5.281910e+04  -1.265493e+05   5.414004e+04   2.413416e+10   1.080089e+10   1.701140e+09   1.474304e+05   5.436890e-30   0.000000e+00   0.000000e+00
      240000   2.399990e-08   1.012612e-01   2.396387e+00   1.467088e+01   5.283840e+04  -1.265406e+05   5.414140e+04   2.413215e+10   1.080467e+10   1.701568e+09   1.474304e+05   5.436781e-30   0.000000e+00   0.000000e+00
      248000   2.479990e-08   1.013034e-01   2.396286e+00   1.467092e+01   5.285771e+04  -1.265320e+05   5.414276e+04   2.413013e+10   1.080845e+10   1.701996e+09   1.474304e+05   5.436672e-30   0.000000e+00   0.000000e+00
      256000   2.559990e-08   1.013457e-01   2.396184e+00   1.467096e+01   5.287701e+04  -1.265233e+05   5.414412e+04   2.412812e+10   1.081223e+10   1.702424e+09   1.474304e+05   5.436562e-30   0.000000e+00   0.000000e+00
      264000   2.639990e-08   1.013880e-01   2.396083e+00   1.467101e+01   5.289631e+04  -1.265147e+05   5.414548e+04   2.412610e+10   1.081601e+10   1.702852e+09   1.474304e+05   5.436453e-30   0.000000e+00   0.000000e+00
      272000   2.719990e-08   1.014304e-01   2.395982e+00   1.467105e+01   5.291561e+04  -1.265060e+05   5.414685e+04   2.412408e+10   1.081979e+10   1.703280e+09   1.474304e+05   5.436344e-30   0.000000e+00   0.000000e+00
      280000   2.799990e-08   1.014727e-01   2.395881e+00   1.467109e+01   5.293491e+04  -1.264974e+05   5.414821e+04   2.412207e+10   1.082356e+10   1.703709e+09   1.474304e+05   5.436235e-30   0.000000e+00   0.000000e+00
      288000   2.879990e-08   1.015151e-01   2.395780e+00   1.467114e+01   5.295421e+04  -1.264887e+05   5.414957e+04   2.412005e+10   1.082734e+10   1.704137e+09   1.474304e+05   5.436126e-30   0.000000e+00   0.000000e+00
