     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.025588e+00   1.037956e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   9.656837e-02   9.292212e-01   1.037357e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   9.313674e-02   8.328544e-01   1.036757e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   8.970512e-02   7.364876e-01   1.036158e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   8.627349e-02   6.401208e-01   1.035558e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   8.284186e-02   5.437540e-01   1.034959e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   7.941023e-02   4.473872e-01   1.034360e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   7.597860e-02   3.510204e-01   1.033760e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   7.254698e-02   2.546536e-01   1.033161e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.911535e-02   1.582868e-01   1.032561e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   6.568372e-02   6.191999e-02   1.031962e+01  -4.289535e+04  -1.204585e+06  -7.492881e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.207675e+06   0.000000e+00   0.000000e+00   0.000000e+00
